Region,,,EU27,EU27,EU27,EU27,EU27,EU27,EU27,EU27,EU27,EU27,EU27,EU27
Level,,,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by Geothermal,Production of electricity by biomass and waste,Production of electricity by coal,Production of electricity by gas,Production of electricity by hydro,Production of electricity by nuclear,Production of electricity by petroleum and other oil derivatives,Production of electricity by solar photovoltaic,Production of electricity by wind
Region,Level,Item,,,,,,,,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),1.0921526318179079e-10,5.1046760890996244e-11,2.6216359152227356e-11,5.269353655179221e-12,4.5091310478926895e-12,4.870872391669199e-12,5.541250140559673e-12,3.020650262733869e-12,2.6563776684942753e-12,4.9596273079019736e-12,4.648655367771407e-11,1.1607295355739197e-11
China,Activity,Activities of membership organisation n.e.c. (91),1.4664188947853484e-10,3.0864010352062246e-11,1.7258340505388596e-11,3.029790735627613e-12,3.2466095310705115e-12,3.835085277553472e-12,4.3991503618358015e-12,1.9912719455266514e-12,1.8769446260481248e-12,4.014945759232679e-12,6.166587714860754e-11,7.577121997753616e-12
China,Activity,Air transport (62),7.881212609113389e-08,3.3973890483447405e-08,2.00327133465965e-08,3.933671097447366e-09,4.900947954563707e-09,4.611144439538202e-09,5.575227418920348e-09,2.903922322961973e-09,2.9504114893520253e-09,5.103238964460498e-09,3.403675723586899e-08,9.000957570577699e-09
China,Activity,Aluminium production,1.7241357858929118e-08,1.1592101161599594e-08,5.469685674448645e-09,4.998685709454765e-10,5.984176215012196e-10,7.445672397833488e-10,7.555239173411617e-10,3.6209004374292673e-10,3.7107404850807486e-10,6.486277783404973e-10,7.307014823977664e-09,2.3602709666380834e-09
China,Activity,Animal products nec,9.536823146376595e-11,3.554510280256026e-11,2.276129928772066e-11,1.0786814237835117e-11,7.50600762017233e-12,8.559190711042256e-12,8.968890751158766e-12,5.268130654340481e-12,3.8394251985374445e-12,8.791953758788645e-12,4.144213568629178e-11,1.0219196843181262e-11
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,1.4337050244113066e-08,4.502700490324677e-08,1.94340503043983e-08,9.21940773557301e-10,1.2978704218429985e-09,1.59639371212705e-09,1.5701225586813519e-09,7.70352732736139e-10,8.082281022980584e-10,1.3904937043518394e-09,6.295648288483646e-09,8.373182898204798e-09
China,Activity,Cattle farming,1.1560648174426675e-10,4.08685651423757e-11,2.4875657740607944e-11,8.960725333434252e-12,6.387065823115462e-12,7.135186256026044e-12,7.990256617985303e-12,4.490351861206765e-12,3.3486499468179035e-12,7.585254068634329e-12,4.957203371625424e-11,1.08087231265082e-11
China,Activity,Chemicals nec,3.402565093965257e-07,8.341623948130967e-08,4.939997301029844e-08,3.1568885062794215e-08,1.357420402221633e-08,1.1320584778435472e-08,1.6388217802800543e-08,1.1313193026657679e-08,7.098046141990375e-09,1.776201743488156e-08,1.4375092256938702e-07,2.1766958300431617e-08
China,Activity,"Collection, purification and distribution of water (41)",7.451505530692085e-10,2.266421622985613e-10,1.1890891521005037e-10,1.7799694920504752e-11,1.740128509232561e-11,1.9550196691392307e-11,2.1454380425763474e-11,1.1010063315047589e-11,1.0537302550356701e-11,1.9001146628236342e-11,3.1341293016870926e-10,5.052900152171966e-11
