Region,Item,Scope,Direction,Origin,Value,Scenario
China,Activities auxiliary to financial intermediation (67),Direct,Backward,Foreign,0.043157128552688495,baseline
China,Activities auxiliary to financial intermediation (67),Direct,Backward,Local,0.38449490287473875,baseline
China,Activities auxiliary to financial intermediation (67),Direct,Forward,Foreign,0.0023153354718913333,baseline
China,Activities auxiliary to financial intermediation (67),Direct,Forward,Local,0.7297176678863919,baseline
China,Activities auxiliary to financial intermediation (67),Total,Backward,Foreign,0.1783935872136856,baseline
China,Activities auxiliary to financial intermediation (67),Total,Backward,Local,0.8651011870448283,baseline
China,Activities auxiliary to financial intermediation (67),Total,Forward,Foreign,0.17619826453138154,baseline
China,Activities auxiliary to financial intermediation (67),Total,Forward,Local,2.0049339739074323,baseline
China,Activities of membership organisation n.e.c. (91),Direct,Backward,Foreign,0.03775697782201526,baseline
China,Activities of membership organisation n.e.c. (91),Direct,Backward,Local,0.4620252667349057,baseline
China,Activities of membership organisation n.e.c. (91),Direct,Forward,Foreign,0.0002368397130750764,baseline
China,Activities of membership organisation n.e.c. (91),Direct,Forward,Local,0.0037873498810820473,baseline
China,Activities of membership organisation n.e.c. (91),Total,Backward,Foreign,0.16904039722341357,baseline
China,Activities of membership organisation n.e.c. (91),Total,Backward,Local,0.9570327629734678,baseline
China,Activities of membership organisation n.e.c. (91),Total,Forward,Foreign,0.0012417106288637302,baseline
China,Activities of membership organisation n.e.c. (91),Total,Forward,Local,0.0110984333683702,baseline
China,Air transport (62),Direct,Backward,Foreign,0.04034030275816425,baseline
China,Air transport (62),Direct,Backward,Local,0.5302323370400162,baseline
China,Air transport (62),Direct,Forward,Foreign,0.03288443077504477,baseline
China,Air transport (62),Direct,Forward,Local,0.7705789433364302,baseline
China,Air transport (62),Total,Backward,Foreign,0.2753709958090418,baseline
China,Air transport (62),Total,Backward,Local,1.3233982433091713,baseline
China,Air transport (62),Total,Forward,Foreign,0.2089695720959912,baseline
