Region,,,China,EU27,RoW,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption,Final consumption,Final consumption,Final consumption
Region,Level,Item,,,,
China,Sector,Activities auxiliary to financial intermediation (67),12370029595.901098,6317828.334251065,27133359.92082567,0.0
China,Sector,Activities of membership organisation n.e.c. (91),71610563068.25568,16577294.400479155,17483776.74892852,1634701.114842115
China,Sector,Air transport (62),7815967361.723194,1263258436.9755213,1063284068.8648179,514327411.5762861
China,Sector,Aluminium production,1096315702.048444,19842176.496231426,97548735.82511598,1663054.4819700862
China,Sector,Animal products nec,23143045644.89414,60006711.54926726,95565254.85054208,7706431.237457433
China,Sector,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0
China,Sector,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0
China,Sector,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0
China,Sector,Casting of metals,211997773.0130185,0.0,0.0,0.0
China,Sector,Cattle farming,13650953690.024368,0.0,38.910902861252985,0.0
China,Sector,Chemicals nec,90052604.85039158,879718513.3019885,24263750451.368645,5229639453.23794
China,Sector,"Collection, purification and distribution of water (41)",10962324084.621891,0.0,0.0,0.0
China,Sector,"Composting of food waste, incl. land application",209880.493391003,610594.9105040506,904570.8047867038,9095.644093456178
China,Sector,"Composting of paper and wood, incl. land application",47811.95755763486,1.3838765162395645,60.092668650516785,0.0
China,Sector,Computer and related activities (72),115949093225.54953,735771342.0681497,2099730361.0903301,271620606.45152664
China,Sector,Construction (45),1432970228643.5364,1110072209.3615022,3986997287.8132467,169675100.85654938
China,Sector,Copper production,994158933.3803533,6184087.547673178,63262984.52872708,552313.8065026
China,Sector,Cultivation of cereal grains nec,13276142502.069063,1674453.521031479,8798870.216100045,47279.4769634202
China,Sector,Cultivation of crops nec,3443748271.7467985,168187096.01317307,895964383.8893591,8355927.639947862
China,Sector,Cultivation of oil seeds,2138347553.8062027,63641690.30217005,36392331.8970133,64859.615792795325
China,Sector,Cultivation of paddy rice,619954633.9166641,116258.69520139614,14211.683191460212,0.0
China,Sector,Cultivation of plant-based fibers,199988430.87121853,493429.7027310562,378825.0246316062,849.0294681192441
China,Sector,"Cultivation of sugar cane, sugar beet",2836827163.338147,2528.7505125022644,1.1480778066755037,1.8260818883948244
China,Sector,"Cultivation of vegetables, fruit, nuts",101116540150.05772,283818494.2225884,3343391813.000175,152836715.6568644
China,Sector,Cultivation of wheat,3964231024.626205,17489.310943001743,2131426.6015337077,1637.5674516674644
China,Sector,Distribution and trade of electricity,13987867321.862753,0.0,0.0,0.0
China,Sector,Education (80),283667886047.06335,59326804.28360357,90033214.08559272,6707616.4224749375
China,Sector,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0
China,Sector,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",1294370360.0655065,0.0,94362604.00061524,3668491.50507423
China,Sector,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1949125879.1710684,602.9380690581323,599965448.4260355,95719.61076823265
China,Sector,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0
China,Sector,"Financial intermediation, except insurance and pension funding (65)",10609729087.988016,21207998.857666455,80927329.18258011,5276048.833392388
China,Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",842732336.8373578,8238094.693423385,355391172.1272031,9841.083059146664
China,Sector,"Forestry, logging and related service activities (02)",8172259462.420727,8132155.000255534,13881679.265583774,68581.53989040403
China,Sector,Health and social work (85),301156956185.64075,103173549.67875853,160940352.65375236,14803530.721233925
China,Sector,Hotels and restaurants (55),105796169423.94739,5695456934.958034,6511045408.512433,5314459308.245052
China,Sector,Incineration of waste: Food,97747.29159857391,684274.9821192346,1871470.8721511594,503150.6757938639
China,Sector,Incineration of waste: Metals and Inert materials,228154.8847589249,1995649.5935122054,1269124.171149552,4127.639583038428
China,Sector,Incineration of waste: Oil/Hazardous waste,210281.26107128517,906723.7367770441,1563114.5240004007,1954.2851040409591
China,Sector,Incineration of waste: Paper,239336.21244643145,1203187.936375145,1970895.0756894345,472180.981572412
China,Sector,Incineration of waste: Plastic,84518.25606114995,283626.92556525016,274277.03091881174,63328.91504823579
China,Sector,Incineration of waste: Textiles,154711.39715367524,142199.4331420499,132299.89720917252,13202.431394138399
China,Sector,Incineration of waste: Wood,176442.43404686154,381561.2742118499,534319.7079084128,28790.970589508455
China,Sector,Inland water transport,498959196.4112103,1389186.533519729,1704790.5667723555,335995.65823908075
China,Sector,"Insurance and pension funding, except compulsory social security (66)",74899583072.48509,316851182.007943,312467706.0329121,53667806.76156278
China,Sector,Landfill of waste: Food,99965.01737186221,1662575.2254639997,1053197.6800146422,5589.607132443699
China,Sector,Landfill of waste: Inert/metal/hazardous,97018.19051296117,1182144.6382268798,1494435.0003810546,35636.85950728167
China,Sector,Landfill of waste: Paper,96872.86584490904,1090426.1175782913,1092668.7484105744,7378.703415642086
China,Sector,Landfill of waste: Plastic,93704.98459631341,445365.52340767457,256227.35097010725,35164.457965630565
China,Sector,Landfill of waste: Textiles,84601.65031523266,375751.4199068747,110047.85193443747,4136.322226915644
China,Sector,Landfill of waste: Wood,88753.39784668713,419548.05244320625,129769.6614904524,5471.698107373694
China,Sector,"Lead, zinc and tin production",915046344.4658542,8631775.06147718,54392172.62087211,290002.2813344672
China,Sector,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,10837991457.130062,52586766.780661695,614205852.0195101,21835218.718569323
China,Sector,Manufacture of beverages,14554607458.07787,16745826.46827492,803247256.1754,23146094.183655135
China,Sector,"Manufacture of bricks, tiles and construction products, in baked clay",25763481.04991358,178215.14177407583,321361.9840409334,11720.18033690126
China,Sector,"Manufacture of cement, lime and plaster",306935547.2553763,1822498.0370638184,3958417.5824331553,2091978.744818284
China,Sector,Manufacture of ceramic goods,1985004267.1564782,816778767.4308668,1465456277.7432983,834707639.5568197
China,Sector,Manufacture of coke oven products,52879907.91102724,38273080.61766951,21389446.8007285,0.0
China,Sector,Manufacture of electrical machinery and apparatus n.e.c. (31),168888626484.65076,3755556886.7795634,23522034863.39815,5796370245.521521
China,Sector,"Manufacture of fabricated metal products, except machinery and equipment (28)",12696002127.63843,1994537507.2291172,8554306858.3014145,746586546.0094796
China,Sector,Manufacture of fish products,141575166604.76483,286201246.1322762,5184868567.869026,1337008752.7247915
China,Sector,Manufacture of furniture; manufacturing n.e.c. (36),3029851950.643788,12638282690.470083,29004459976.256382,21324493928.352253
China,Sector,Manufacture of gas; distribution of gaseous fuels through mains,9692200747.72108,0.0259340242828889,526.4621264202005,0.0
China,Sector,Manufacture of glass and glass products,1152584986.0828784,16011462.082024692,754905433.0566288,374368519.9814248
China,Sector,Manufacture of machinery and equipment n.e.c. (29),264599403358.88354,13231581675.389154,65457800709.397156,17453135477.116875
China,Sector,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",13851658967.870888,3231599800.5873737,23787587475.463108,3947530566.5276732
China,Sector,"Manufacture of motor vehicles, trailers and semi-trailers (34)",195372046352.98373,1888796152.4917762,15624519695.069881,4640438028.741275
China,Sector,Manufacture of office machinery and computers (30),48001362176.64661,4845637474.508038,38864038617.91039,27087564593.74905
China,Sector,Manufacture of other non-metallic mineral products n.e.c.,1265983669.7179866,378576139.11710495,582364206.1244491,144499401.9299678
China,Sector,Manufacture of other transport equipment (35),97959110385.8963,3718353296.253197,14793975825.771353,1278627429.642766
China,Sector,"Manufacture of radio, television and communication equipment and apparatus (32)",187255.94769382343,14013333995.296926,101291665744.83273,10871178861.303364
China,Sector,Manufacture of rubber and plastic products (25),8786855834.252964,1519070451.0190878,5464197177.275452,2860772237.821935
China,Sector,Manufacture of textiles (17),6367909613.843511,6486955951.545184,24646500858.10658,6598076010.8126135
China,Sector,Manufacture of tobacco products (16),6988057951.125004,16612929.464733535,435323006.4927356,4636852.261874405
China,Sector,Manufacture of wearing apparel; dressing and dyeing of fur (18),83097942723.17734,17626536799.300747,39870932148.20842,14673832043.641584
China,Sector,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",49486276.55114258,373994705.01271147,1545075888.302701,370490305.2514487
China,Sector,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0
China,Sector,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0
China,Sector,Meat animals nec,8945736825.093376,835053.8320171455,2797784.1836820287,9034955.416826148
China,Sector,Mining of aluminium ores and concentrates,48479381.69171305,305002.4781524083,1664217.4838476276,4628.595355328437
China,Sector,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",40407539.74029342,26073083.08420465,35876239.74130909,3740597.9955593282
China,Sector,Mining of coal and lignite; extraction of peat (10),2503776526.597436,100250.8678011644,19387301.329432998,0.0
China,Sector,Mining of copper ores and concentrates,8582.412894824374,0.41382152960481605,12527.81886395878,0.0
China,Sector,Mining of iron ores,415201124.6294762,1605.9222595080698,49307.660305691235,1.3646524064940109
China,Sector,"Mining of lead, zinc and tin ores and concentrates",35522.25724364607,8.963566754534295,655736.3881197749,3.771000965119161
China,Sector,Mining of nickel ores and concentrates,135635886.50099802,0.0,71013.02900424192,0.0
China,Sector,Mining of other non-ferrous metal ores and concentrates,1306866462.34719,100570.01134653561,1525827.7331736572,1023.0005875011864
China,Sector,Mining of precious metal ores and concentrates,2278.8182859657786,7.35084529226618,0.0,0.0
China,Sector,Mining of uranium and thorium ores (12),2096.719945017755,3.1989048334550394,79.29574734079793,0.0
China,Sector,N-fertiliser,2077.1893380092656,4594.22001044578,3131437.5619214624,910.8734742595533
China,Sector,Other business activities (74),59427405121.11381,583575447.8899115,1310663775.7948277,106804661.56054805
China,Sector,Other land transport,14356011245.463667,248233340.63910443,215610396.2579273,18769180.547003295
China,Sector,Other non-ferrous metal production,613903956.7918085,10431123.255033474,45706911.45306897,2331675.747485724
China,Sector,Other service activities (93),67652486813.85163,16827653.377639238,45078019.877222724,5912484.65015435
China,Sector,P- and other fertiliser,729746482.4119116,1217500.0320042023,105416615.78241648,520.8249720231917
China,Sector,Paper,4721402271.477425,118422621.37324187,2534230716.875206,729465.9154997717
China,Sector,Petroleum Refinery,21795022871.312294,188515037.29317695,5355264053.442362,129250215.55683964
China,Sector,Pigs farming,15072013444.615982,0.0,621.8538984611795,0.0
China,Sector,"Plastics, basic",1174931770.512129,228317428.8066261,261216560.77522355,0.0
China,Sector,Post and telecommunications (64),150783358.8421173,110050241.46725482,188067291.9055396,873742.9052527937
China,Sector,Poultry farming,13081026664.94852,0.0,1320.9732207970758,0.0
China,Sector,Precious metals production,444262935.4528358,24161450.82854207,335118296.52590126,31843.149044777892
China,Sector,Private households with employed persons (95),12849368551.583113,1278406894.1603909,9432458978.651377,2274580643.49724
China,Sector,Processed rice,9451738023.510517,1182833.5284743533,41788399.46701497,4145757.8072286313
China,Sector,Processing of Food products nec,134325611956.01239,1452647228.6938756,8784978688.197704,1490632509.6093256
China,Sector,Processing of dairy products,2119921199.618487,5326688.960860031,79509496.69337898,4448826.455663623
China,Sector,Processing of meat cattle,1194869920.4366424,1847098.4820209537,96463260.47043477,0.0
China,Sector,Processing of meat pigs,5001917940.341367,197998.71484884305,224108755.92795366,0.0
China,Sector,Processing of meat poultry,3431901802.605774,25109964.13990131,381822608.0905175,14721975.353720108
China,Sector,Processing of nuclear fuel,2449351.2774406793,106709.45552666632,1948940.4617333661,0.0
China,Sector,Processing vegetable oils and fats,954841187.7135007,4172641.4102495085,99044985.15519896,5244517.743459503
China,Sector,Production of electricity by Geothermal,610567.400709173,0.0,0.0,0.0
China,Sector,Production of electricity by biomass and waste,12049798.528077928,0.0,0.0,0.0
China,Sector,Production of electricity by coal,12539675156.252337,0.0,0.0,0.0
China,Sector,Production of electricity by gas,257504290.01403618,0.0,0.0,0.0
China,Sector,Production of electricity by hydro,2431130187.9204497,0.0,0.0,0.0
China,Sector,Production of electricity by nuclear,309969221.4731891,0.0,0.0,0.0
China,Sector,Production of electricity by other RES,84984930.8386276,0.0,0.0,0.0
China,Sector,Production of electricity by petroleum and other oil derivatives,41121865.36931968,0.0,0.0,0.0
China,Sector,Production of electricity by solar photovoltaic,586311.4354320059,0.0,0.0,0.0
China,Sector,Production of electricity by wind,28717841.04494986,0.0,0.0,0.0
China,Sector,Production of meat products nec,3587258911.4482265,48728259.30027932,394880432.6720959,5527530.313089837
China,Sector,Production of offshore wind plants,0.0,0.0,0.0,0.0
China,Sector,Production of onshore wind plants,0.0,0.0,0.0,0.0
China,Sector,Production of photovoltaic plants,0.0,0.0,0.0,0.0
