Region,,,China,EU27,RoW,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption,Final consumption,Final consumption,Final consumption
Region,Level,Item,,,,
China,Sector,Activities auxiliary to financial intermediation (67),12370029595.901098,6317828.334251066,27133359.920825675,0.0
China,Sector,Activities of membership organisation n.e.c. (91),71610563068.25568,16577294.400479155,17483776.74892852,1634701.114842115
China,Sector,Air transport (62),7815967361.723197,1263258436.9755218,1063284068.8648182,514327411.57628626
China,Sector,Aluminium production,1096315702.0484436,19842176.496231414,97548735.82511593,1663054.4819700855
China,Sector,Animal products nec,23143045644.894127,60006711.54926724,95565254.85054204,7706431.237457429
China,Sector,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0
China,Sector,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0
China,Sector,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0
China,Sector,Casting of metals,211997773.0130184,0.0,0.0,0.0
China,Sector,Cattle farming,13650953690.024363,0.0,38.910902861252964,0.0
China,Sector,Chemicals nec,90052604.85039157,879718513.3019885,24263750451.368645,5229639453.23794
China,Sector,"Collection, purification and distribution of water (41)",10962324084.621891,0.0,0.0,0.0
China,Sector,"Composting of food waste, incl. land application",209880.4933910029,610594.9105040503,904570.8047867034,9095.644093456174
China,Sector,"Composting of paper and wood, incl. land application",47811.95755763485,1.383876516239564,60.09266865051677,0.0
China,Sector,Computer and related activities (72),115949093225.54953,735771342.0681497,2099730361.0903301,271620606.45152664
China,Sector,Construction (45),1432970228643.5369,1110072209.3615026,3986997287.8132486,169675100.85654944
China,Sector,Copper production,994158933.380353,6184087.547673176,63262984.528727055,552313.8065025997
China,Sector,Cultivation of cereal grains nec,13276142502.069063,1674453.521031479,8798870.216100045,47279.4769634202
China,Sector,Cultivation of crops nec,3443748271.7467976,168187096.01317304,895964383.889359,8355927.6399478605
China,Sector,Cultivation of oil seeds,2138347553.8062022,63641690.30217004,36392331.89701329,64859.61579279531
China,Sector,Cultivation of paddy rice,619954633.9166644,116258.6952013962,14211.683191460217,0.0
China,Sector,Cultivation of plant-based fibers,199988430.87121847,493429.7027310561,378825.02463160607,849.029468119244
China,Sector,"Cultivation of sugar cane, sugar beet",2836827163.338147,2528.7505125022644,1.1480778066755037,1.8260818883948244
China,Sector,"Cultivation of vegetables, fruit, nuts",101116540150.05779,283818494.2225886,3343391813.0001774,152836715.6568645
China,Sector,Cultivation of wheat,3964231024.626205,17489.310943001743,2131426.6015337077,1637.5674516674644
China,Sector,Distribution and trade of electricity,13987867321.862753,0.0,0.0,0.0
China,Sector,Education (80),283667886047.0635,59326804.28360359,90033214.08559275,6707616.42247494
China,Sector,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0
China,Sector,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",1294370360.0655072,0.0,94362604.00061527,3668491.5050742314
China,Sector,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1949125879.1710675,602.9380690581321,599965448.4260353,95719.61076823261
China,Sector,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0
China,Sector,"Financial intermediation, except insurance and pension funding (65)",10609729087.988014,21207998.85766645,80927329.18258008,5276048.833392387
China,Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",842732336.8373572,8238094.693423379,355391172.12720287,9841.083059146657
China,Sector,"Forestry, logging and related service activities (02)",8172259462.420727,8132155.000255534,13881679.265583774,68581.53989040403
China,Sector,Health and social work (85),301156956185.6406,103173549.67875849,160940352.6537523,14803530.721233917
China,Sector,Hotels and restaurants (55),105796169423.94737,5695456934.958032,6511045408.512432,5314459308.245051
China,Sector,Incineration of waste: Food,97747.29159857392,684274.9821192347,1871470.87215116,503150.675793864
China,Sector,Incineration of waste: Metals and Inert materials,228154.88475892483,1995649.593512205,1269124.1711495519,4127.639583038427
China,Sector,Incineration of waste: Oil/Hazardous waste,210281.26107128515,906723.7367770439,1563114.5240004004,1954.2851040409587
China,Sector,Incineration of waste: Paper,239336.2124464314,1203187.9363751449,1970895.075689434,472180.9815724119
China,Sector,Incineration of waste: Plastic,84518.25606114995,283626.92556525016,274277.03091881174,63328.91504823579
China,Sector,Incineration of waste: Textiles,154711.39715367518,142199.43314204988,132299.8972091725,13202.431394138395
China,Sector,Incineration of waste: Wood,176442.43404686154,381561.2742118499,534319.7079084128,28790.970589508455
China,Sector,Inland water transport,498959196.41121006,1389186.5335197286,1704790.5667723548,335995.6582390806
China,Sector,"Insurance and pension funding, except compulsory social security (66)",74899583072.48509,316851182.007943,312467706.0329121,53667806.76156278
China,Sector,Landfill of waste: Food,99965.01737186221,1662575.2254639997,1053197.6800146422,5589.607132443699
China,Sector,Landfill of waste: Inert/metal/hazardous,97018.19051296117,1182144.6382268798,1494435.0003810546,35636.85950728167
China,Sector,Landfill of waste: Paper,96872.86584490903,1090426.117578291,1092668.7484105742,7378.703415642084
China,Sector,Landfill of waste: Plastic,93704.98459631346,445365.52340767474,256227.35097010736,35164.45796563058
China,Sector,Landfill of waste: Textiles,84601.65031523265,375751.41990687465,110047.85193443744,4136.322226915643
China,Sector,Landfill of waste: Wood,88753.3978466871,419548.05244320614,129769.66149045237,5471.698107373693
China,Sector,"Lead, zinc and tin production",915046344.4658542,8631775.06147718,54392172.62087211,290002.2813344672
China,Sector,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,10837991457.130054,52586766.780661665,614205852.0195098,21835218.71856931
China,Sector,Manufacture of beverages,14554607458.077875,16745826.468274927,803247256.1754004,23146094.183655147
China,Sector,"Manufacture of bricks, tiles and construction products, in baked clay",25763481.04991359,178215.14177407586,321361.9840409335,11720.180336901263
China,Sector,"Manufacture of cement, lime and plaster",306935547.2553759,1822498.037063816,3958417.58243315,2091978.7448182811
China,Sector,Manufacture of ceramic goods,1985004267.1564782,816778767.4308668,1465456277.7432983,834707639.5568197
China,Sector,Manufacture of coke oven products,52879907.911027245,38273080.617669515,21389446.800728504,0.0
China,Sector,Manufacture of electrical machinery and apparatus n.e.c. (31),168888626484.65067,3755556886.779562,23522034863.398144,5796370245.521519
China,Sector,"Manufacture of fabricated metal products, except machinery and equipment (28)",12696002127.638428,1994537507.2291167,8554306858.301413,746586546.0094795
China,Sector,Manufacture of fish products,141575166604.76483,286201246.13227624,5184868567.869027,1337008752.7247918
China,Sector,Manufacture of furniture; manufacturing n.e.c. (36),3029851950.6437864,12638282690.470078,29004459976.256367,21324493928.352245
China,Sector,Manufacture of gas; distribution of gaseous fuels through mains,9692200747.72108,0.025934024282888893,526.4621264202005,0.0
China,Sector,Manufacture of glass and glass products,1152584986.0828784,16011462.082024692,754905433.0566288,374368519.9814248
China,Sector,Manufacture of machinery and equipment n.e.c. (29),264599403358.88358,13231581675.389156,65457800709.39716,17453135477.116875
China,Sector,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",13851658967.870888,3231599800.5873737,23787587475.463108,3947530566.5276732
China,Sector,"Manufacture of motor vehicles, trailers and semi-trailers (34)",195372046352.98367,1888796152.4917753,15624519695.069876,4640438028.741272
China,Sector,Manufacture of office machinery and computers (30),48001362176.64658,4845637474.508036,38864038617.91037,27087564593.74904
China,Sector,Manufacture of other non-metallic mineral products n.e.c.,1265983669.7179883,378576139.1171054,582364206.1244498,144499401.92996797
China,Sector,Manufacture of other transport equipment (35),97959110385.89633,3718353296.253198,14793975825.771355,1278627429.6427662
China,Sector,"Manufacture of radio, television and communication equipment and apparatus (32)",187255.94769382337,14013333995.29692,101291665744.83269,10871178861.30336
China,Sector,Manufacture of rubber and plastic products (25),8786855834.252964,1519070451.0190878,5464197177.275452,2860772237.821935
China,Sector,Manufacture of textiles (17),6367909613.8435135,6486955951.545187,24646500858.10659,6598076010.812616
China,Sector,Manufacture of tobacco products (16),6988057951.125002,16612929.46473353,435323006.4927355,4636852.261874403
China,Sector,Manufacture of wearing apparel; dressing and dyeing of fur (18),83097942723.17737,17626536799.30075,39870932148.208435,14673832043.641588
China,Sector,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",49486276.55114259,373994705.0127115,1545075888.3027015,370490305.25144875
China,Sector,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0
China,Sector,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0
China,Sector,Meat animals nec,8945736825.09338,835053.8320171458,2797784.18368203,9034955.416826153
China,Sector,Mining of aluminium ores and concentrates,48479381.69171305,305002.4781524083,1664217.4838476276,4628.595355328437
China,Sector,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",40407539.74029339,26073083.08420463,35876239.74130906,3740597.995559325
China,Sector,Mining of coal and lignite; extraction of peat (10),2503776526.597436,100250.86780116441,19387301.329433,0.0
China,Sector,Mining of copper ores and concentrates,8582.412894824372,0.41382152960481605,12527.81886395878,0.0
China,Sector,Mining of iron ores,415201124.6294761,1605.9222595080696,49307.66030569122,1.3646524064940104
China,Sector,"Mining of lead, zinc and tin ores and concentrates",35522.25724364606,8.963566754534293,655736.3881197746,3.77100096511916
China,Sector,Mining of nickel ores and concentrates,135635886.500998,0.0,71013.02900424191,0.0
China,Sector,Mining of other non-ferrous metal ores and concentrates,1306866462.3471897,100570.0113465356,1525827.733173657,1023.0005875011861
China,Sector,Mining of precious metal ores and concentrates,2278.8182859657795,7.350845292266183,0.0,0.0
China,Sector,Mining of uranium and thorium ores (12),2096.719945017755,3.1989048334550394,79.29574734079793,0.0
China,Sector,N-fertiliser,2077.1893380092647,4594.220010445777,3131437.561921461,910.8734742595528
China,Sector,Other business activities (74),59427405121.11378,583575447.8899112,1310663775.794827,106804661.56054801
China,Sector,Other land transport,14356011245.463663,248233340.63910437,215610396.25792724,18769180.54700329
China,Sector,Other non-ferrous metal production,613903956.7918084,10431123.255033473,45706911.453068964,2331675.7474857233
China,Sector,Other service activities (93),67652486813.851616,16827653.377639234,45078019.87722271,5912484.650154348
China,Sector,P- and other fertiliser,729746482.4119112,1217500.0320042018,105416615.78241643,520.8249720231914
China,Sector,Paper,4721402271.477424,118422621.37324184,2534230716.8752055,729465.9154997715
China,Sector,Petroleum Refinery,21795022871.31229,188515037.29317692,5355264053.442361,129250215.55683963
China,Sector,Pigs farming,15072013444.615986,0.0,621.8538984611796,0.0
China,Sector,"Plastics, basic",1174931770.5121286,228317428.806626,261216560.77522343,0.0
China,Sector,Post and telecommunications (64),150783358.84211728,110050241.46725479,188067291.90553954,873742.9052527936
China,Sector,Poultry farming,13081026664.948519,0.0,1320.9732207970756,0.0
China,Sector,Precious metals production,444262935.452836,24161450.82854208,335118296.5259014,31843.149044777907
China,Sector,Private households with employed persons (95),12849368551.583103,1278406894.1603901,9432458978.651371,2274580643.4972386
China,Sector,Processed rice,9451738023.510517,1182833.5284743533,41788399.46701497,4145757.8072286313
China,Sector,Processing of Food products nec,134325611956.01237,1452647228.6938753,8784978688.197704,1490632509.6093254
China,Sector,Processing of dairy products,2119921199.618486,5326688.960860029,79509496.69337894,4448826.455663621
China,Sector,Processing of meat cattle,1194869920.4366426,1847098.4820209541,96463260.4704348,0.0
China,Sector,Processing of meat pigs,5001917940.341365,197998.71484884302,224108755.9279536,0.0
China,Sector,Processing of meat poultry,3431901802.605774,25109964.13990131,381822608.0905175,14721975.353720108
China,Sector,Processing of nuclear fuel,2449351.2774406807,106709.4555266664,1948940.4617333673,0.0
China,Sector,Processing vegetable oils and fats,954841187.7135006,4172641.4102495075,99044985.15519893,5244517.743459502
China,Sector,Production of electricity by Geothermal,610567.4007091728,0.0,0.0,0.0
China,Sector,Production of electricity by biomass and waste,12049798.528077925,0.0,0.0,0.0
China,Sector,Production of electricity by coal,12539675156.252335,0.0,0.0,0.0
China,Sector,Production of electricity by gas,257504290.01403612,0.0,0.0,0.0
China,Sector,Production of electricity by hydro,2431130187.9204493,0.0,0.0,0.0
China,Sector,Production of electricity by nuclear,309969221.47318906,0.0,0.0,0.0
China,Sector,Production of electricity by other RES,84984930.83862756,0.0,0.0,0.0
China,Sector,Production of electricity by petroleum and other oil derivatives,41121865.36931966,0.0,0.0,0.0
China,Sector,Production of electricity by solar photovoltaic,586311.4354320058,0.0,0.0,0.0
China,Sector,Production of electricity by wind,28717841.044949852,0.0,0.0,0.0
China,Sector,Production of meat products nec,3587258911.448225,48728259.3002793,394880432.6720957,5527530.3130898345
China,Sector,Production of offshore wind plants,0.0,0.0,0.0,0.0
China,Sector,Production of onshore wind plants,0.0,0.0,0.0,0.0
China,Sector,Production of photovoltaic plants,0.0,0.0,0.0,0.0
