Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),192079326932.6653
China,Activity,Activities of membership organisation n.e.c. (91),213037396149.70514
China,Activity,Air transport (62),187082054735.69708
China,Activity,Aluminium production,31402969967.263626
China,Activity,Animal products nec,1110085766.5089526
China,Activity,"Biogasification of food waste, incl. land application",2712039465.630602
China,Activity,"Biogasification of paper, incl. land application",323324193.4097034
China,Activity,"Biogasification of sewage slugde, incl. land application",13736682397.656906
China,Activity,Casting of metals,48733247642.18358
China,Activity,Cattle farming,27969838407.797577
China,Activity,Chemicals nec,159045943295.91284
China,Activity,"Collection, purification and distribution of water (41)",84022175769.0117
China,Activity,"Composting of food waste, incl. land application",19875806176.201454
China,Activity,"Composting of paper and wood, incl. land application",64793952.193776086
China,Activity,Computer and related activities (72),394951526628.44617
China,Activity,Construction (45),1844561117881.5535
China,Activity,Copper production,56269551302.56613
China,Activity,Cultivation of cereal grains nec,32748904798.82453
China,Activity,Cultivation of crops nec,32642563400.14592
China,Activity,Cultivation of oil seeds,23596305951.003754
China,Activity,Cultivation of paddy rice,1538033918.7594273
China,Activity,Cultivation of plant-based fibers,958823898.6974792
China,Activity,"Cultivation of sugar cane, sugar beet",4451342043.145975
China,Activity,"Cultivation of vegetables, fruit, nuts",106022193511.77907
China,Activity,Cultivation of wheat,31560991235.779034
China,Activity,Distribution and trade of electricity,233146883279.65503
China,Activity,Education (80),825037750786.1906
China,Activity,Extra-territorial organizations and bodies,18526.548419615763
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",54933664721.52408
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",28980966512.373802
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",151173551.6430381
China,Activity,"Financial intermediation, except insurance and pension funding (65)",697327319792.746
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",16567463254.26538
China,Activity,"Forestry, logging and related service activities (02)",41658246940.56844
China,Activity,Health and social work (85),1340764089851.353
China,Activity,Hotels and restaurants (55),884696919660.6233
China,Activity,Incineration of waste: Food,10691696170.64035
China,Activity,Incineration of waste: Metals and Inert materials,19085445774.54885
China,Activity,Incineration of waste: Oil/Hazardous waste,13457607021.519325
China,Activity,Incineration of waste: Paper,12924417831.447903
China,Activity,Incineration of waste: Plastic,10685857932.479895
China,Activity,Incineration of waste: Textiles,2413278133.905664
China,Activity,Incineration of waste: Wood,5666095416.967929
China,Activity,Inland water transport,9409235812.189785
China,Activity,"Insurance and pension funding, except compulsory social security (66)",330425798891.4704
China,Activity,Landfill of waste: Food,13519912930.487942
China,Activity,Landfill of waste: Inert/metal/hazardous,15066117925.975883
China,Activity,Landfill of waste: Paper,9642696672.224314
China,Activity,Landfill of waste: Plastic,2934978662.0735483
