Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),192063953456.32217
China,Activity,Activities of membership organisation n.e.c. (91),213037237170.37897
China,Activity,Air transport (62),187118703828.65195
China,Activity,Aluminium production,31368034143.757057
China,Activity,Animal products nec,1109881124.5603595
China,Activity,"Biogasification of food waste, incl. land application",2712238000.364324
China,Activity,"Biogasification of paper, incl. land application",323085722.680978
China,Activity,"Biogasification of sewage slugde, incl. land application",13734952743.741453
China,Activity,Casting of metals,48686442647.70008
China,Activity,Cattle farming,27968909211.371864
China,Activity,Chemicals nec,158960903560.36023
China,Activity,"Collection, purification and distribution of water (41)",84040598697.81902
China,Activity,"Composting of food waste, incl. land application",19848993608.32765
China,Activity,"Composting of paper and wood, incl. land application",64589958.88480429
China,Activity,Computer and related activities (72),394912217189.42035
China,Activity,Construction (45),1844283654434.6233
China,Activity,Copper production,56206126671.7927
China,Activity,Cultivation of cereal grains nec,32745278679.62484
China,Activity,Cultivation of crops nec,32657049560.899704
China,Activity,Cultivation of oil seeds,23594458918.395786
China,Activity,Cultivation of paddy rice,1537997164.7288518
China,Activity,Cultivation of plant-based fibers,958415239.5139959
China,Activity,"Cultivation of sugar cane, sugar beet",4450974003.525009
China,Activity,"Cultivation of vegetables, fruit, nuts",106017500844.19023
China,Activity,Cultivation of wheat,31527798689.49759
China,Activity,Distribution and trade of electricity,233198514626.5551
China,Activity,Education (80),825065404897.8094
China,Activity,Extra-territorial organizations and bodies,18535.975517215084
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",54857796464.04476
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",28934090749.115135
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",148471088.786935
China,Activity,"Financial intermediation, except insurance and pension funding (65)",696932235387.1003
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",16570549719.289764
China,Activity,"Forestry, logging and related service activities (02)",41704972649.50522
China,Activity,Health and social work (85),1340759682349.753
China,Activity,Hotels and restaurants (55),884558825619.5225
China,Activity,Incineration of waste: Food,10694225376.503876
China,Activity,Incineration of waste: Metals and Inert materials,19078705549.667446
China,Activity,Incineration of waste: Oil/Hazardous waste,13462233510.388172
China,Activity,Incineration of waste: Paper,12932479343.83634
China,Activity,Incineration of waste: Plastic,10686504896.845558
China,Activity,Incineration of waste: Textiles,2414004283.9769807
China,Activity,Incineration of waste: Wood,5665423162.05543
China,Activity,Inland water transport,9376144563.592428
China,Activity,"Insurance and pension funding, except compulsory social security (66)",330427574891.3816
China,Activity,Landfill of waste: Food,13529169063.80491
China,Activity,Landfill of waste: Inert/metal/hazardous,15063981023.476109
China,Activity,Landfill of waste: Paper,9651222358.046719
China,Activity,Landfill of waste: Plastic,2936975397.871614
China,Activity,Landfill of waste: Textiles,1742914062.990775
China,Activity,Landfill of waste: Wood,3032127489.743026
China,Activity,"Lead, zinc and tin production",9713637547.68083
China,Activity,Manufacture of LFP batteries,0.0
China,Activity,Manufacture of NCA batteries,0.0
China,Activity,Manufacture of NMC batteries,0.0
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,123031531870.75742
China,Activity,Manufacture of beverages,144831891525.62
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",14635555860.267172
China,Activity,"Manufacture of cement, lime and plaster",103515806447.75067
China,Activity,Manufacture of ceramic goods,28318075892.56785
China,Activity,Manufacture of coke oven products,4889929789.649431
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),311108741534.11346
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",527281034352.9188
China,Activity,Manufacture of fish products,26576763502.271255
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),212126546290.64496
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,166760631644.94745
China,Activity,Manufacture of glass and glass products,27106820327.39042
China,Activity,Manufacture of machinery and equipment n.e.c. (29),712420117994.1677
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",174785421226.21454
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",737561310304.6368
China,Activity,Manufacture of office machinery and computers (30),67206154866.23154
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,39570335588.32727
China,Activity,Manufacture of other transport equipment (35),217524825635.00983
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",185586376315.1727
China,Activity,Manufacture of rubber and plastic products (25),284527027100.41125
China,Activity,Manufacture of textiles (17),123474213699.9482
China,Activity,Manufacture of tobacco products (16),23049300429.64299
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),108906533308.70355
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",111049536143.73322
China,Activity,"Manure treatment (biogas), storage and land application",48646.15240665603
China,Activity,"Manure treatment (conventional), storage and land application",48716.00524272896
China,Activity,Meat animals nec,11524109982.885864
China,Activity,Mining of aluminium ores and concentrates,230404599.77753267
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",14936021999.527355
China,Activity,Mining of coal and lignite; extraction of peat (10),19177463818.00372
China,Activity,Mining of copper ores and concentrates,8353981607.2506
China,Activity,Mining of iron ores,537200439.0966802
China,Activity,"Mining of lead, zinc and tin ores and concentrates",1647413428.982263
China,Activity,Mining of nickel ores and concentrates,220937116.7362064
China,Activity,Mining of other non-ferrous metal ores and concentrates,1417900114.6230175
China,Activity,Mining of precious metal ores and concentrates,580016584.3524435
China,Activity,Mining of uranium and thorium ores (12),519100602.8848332
China,Activity,N-fertiliser,881716584.4371076
China,Activity,Other business activities (74),1733171834602.5154
China,Activity,Other land transport,580493263344.6959
China,Activity,Other non-ferrous metal production,11478174150.71255
China,Activity,Other service activities (93),164316346984.93082
China,Activity,P- and other fertiliser,7274079167.3261385
China,Activity,Paper,120510925173.96857
China,Activity,Petroleum Refinery,367051602654.4491
China,Activity,Pigs farming,35514694629.699196
China,Activity,"Plastics, basic",289181041048.2266
China,Activity,Post and telecommunications (64),692530015756.858
China,Activity,Poultry farming,35334186807.19493
China,Activity,Precious metals production,25896038372.658287
China,Activity,Private households with employed persons (95),69756389146.04567
China,Activity,Processed rice,3364437390.2506933
China,Activity,Processing of Food products nec,388955276509.46063
China,Activity,Processing of dairy products,133580684579.38034
China,Activity,Processing of meat cattle,38680819685.0892
China,Activity,Processing of meat pigs,47219765512.05188
China,Activity,Processing of meat poultry,40264928105.94456
China,Activity,Processing of nuclear fuel,5940952871.830765
China,Activity,Processing vegetable oils and fats,33364800078.69342
China,Activity,Production of electricity by Geothermal,896705429.901885
China,Activity,Production of electricity by biomass and waste,9165881794.6179
China,Activity,Production of electricity by coal,30389012169.63338
China,Activity,Production of electricity by gas,15331917060.804134
China,Activity,Production of electricity by hydro,50248632074.18178
China,Activity,Production of electricity by nuclear,131841380467.344
China,Activity,Production of electricity by other RES,1951762735.9662106
China,Activity,Production of electricity by petroleum and other oil derivatives,2164649756.856226
China,Activity,Production of electricity by solar photovoltaic,38542925603.81281
China,Activity,Production of electricity by wind,36167953996.9119
China,Activity,Production of meat products nec,92136654555.98578
China,Activity,Production of offshore wind plants,0.0
China,Activity,Production of onshore wind plants,0.0
China,Activity,Production of photovoltaic plants,0.0
China,Activity,Public administration and defence; compulsory social security (75),1140970970572.6655
China,Activity,"Publishing, printing and reproduction of recorded media (22)",261489027284.15628
China,Activity,Pulp,18052257359.833168
China,Activity,Quarrying of sand and clay,24891377466.612247
China,Activity,Quarrying of stone,21178710913.679432
China,Activity,Raw milk,69264719255.54626
China,Activity,Re-processing of ash into clinker,26696655422.702507
China,Activity,Re-processing of secondary aluminium into new aluminium,30688070831.346916
China,Activity,Re-processing of secondary construction material into aggregates,2401747099.622821
China,Activity,Re-processing of secondary copper into new copper,9247199844.68623
China,Activity,Re-processing of secondary glass into new glass,10391337755.28859
China,Activity,"Re-processing of secondary lead into new lead, zinc and tin",2937415096.0882688
China,Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,1827166.8216195083
China,Activity,Re-processing of secondary paper into new pulp,40282223704.215096
China,Activity,Re-processing of secondary plastic into new plastic,71806252605.84497
China,Activity,Re-processing of secondary preciuos metals into new preciuos metals,322312.00035517674
China,Activity,Re-processing of secondary steel into new steel,75186446303.8498
China,Activity,Re-processing of secondary wood material into new wood material,38725588095.49132
China,Activity,Real estate activities (70),1693406489853.0994
China,Activity,"Recreational, cultural and sporting activities (92)",443406758759.9242
China,Activity,Recycling of bottles by direct reuse,8465423402.336977
China,Activity,Recycling of waste and scrap,26101697998.501698
China,Activity,Renting of machinery and equipment without operator and of personal and household goods (71),226087805570.00006
China,Activity,Research and development (73),146912291337.79306
China,Activity,Retail sale of automotive fuel,36878753461.19043
China,Activity,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",388914737185.51355
China,Activity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",353981864510.9571
China,Activity,Sea and coastal water transport,114995317486.30661
China,Activity,Steam and hot water supply,23591659447.08232
China,Activity,Sugar refining,16646065087.876755
China,Activity,Supporting and auxiliary transport activities; activities of travel agencies (63),684372353008.195
China,Activity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",60407070043.14378
China,Activity,Transmission of electricity,53542922321.648056
China,Activity,Transport via pipelines,18528503307.830997
China,Activity,Transport via railways,175068755749.99725
China,Activity,"Waste water treatment, food",6708256707.439354
China,Activity,"Waste water treatment, other",11504060837.094894
China,Activity,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",813749304916.323
China,Activity,"Wool, silk-worm cocoons",152329543.90585372
EU27,Activity,Activities auxiliary to financial intermediation (67),377382452686.92365
EU27,Activity,Activities of membership organisation n.e.c. (91),156603089473.7797
EU27,Activity,Air transport (62),155123666683.17877
EU27,Activity,Aluminium production,35290365792.67671
EU27,Activity,Animal products nec,8026025828.011174
EU27,Activity,"Biogasification of food waste, incl. land application",0.0
EU27,Activity,"Biogasification of paper, incl. land application",0.0
EU27,Activity,"Biogasification of sewage slugde, incl. land application",17731455065.81202
EU27,Activity,Casting of metals,30412709693.981636
EU27,Activity,Cattle farming,42905117159.15025
EU27,Activity,Chemicals nec,396255447636.29675
EU27,Activity,"Collection, purification and distribution of water (41)",30223801406.384705
EU27,Activity,"Composting of food waste, incl. land application",221779491.37246493
EU27,Activity,"Composting of paper and wood, incl. land application",5811518388.54141
EU27,Activity,Computer and related activities (72),497665384014.96814
EU27,Activity,Construction (45),794906108442.7203
EU27,Activity,Copper production,21797683469.344826
EU27,Activity,Cultivation of cereal grains nec,35927170837.75757
EU27,Activity,Cultivation of crops nec,35385900178.90851
EU27,Activity,Cultivation of oil seeds,15960595036.376522
EU27,Activity,Cultivation of paddy rice,3497084252.3702784
EU27,Activity,Cultivation of plant-based fibers,4620463139.773102
EU27,Activity,"Cultivation of sugar cane, sugar beet",2546674544.2439594
EU27,Activity,"Cultivation of vegetables, fruit, nuts",73196207962.01863
EU27,Activity,Cultivation of wheat,8328940011.289928
EU27,Activity,Distribution and trade of electricity,82624020950.82727
EU27,Activity,Education (80),207338996345.05365
EU27,Activity,Extra-territorial organizations and bodies,0.0
EU27,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",104480248195.98584
EU27,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",102815267125.65186
EU27,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",14167939676.430853
EU27,Activity,"Financial intermediation, except insurance and pension funding (65)",614970283071.1136
EU27,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",4447555436.922864
EU27,Activity,"Forestry, logging and related service activities (02)",54402314170.32127
EU27,Activity,Health and social work (85),1062584599065.2769
EU27,Activity,Hotels and restaurants (55),853525189192.5164
EU27,Activity,Incineration of waste: Food,1835929279.4656696
EU27,Activity,Incineration of waste: Metals and Inert materials,2325898155.407054
EU27,Activity,Incineration of waste: Oil/Hazardous waste,300307141.411801
EU27,Activity,Incineration of waste: Paper,3148214544.6069255
EU27,Activity,Incineration of waste: Plastic,6294630374.067184
EU27,Activity,Incineration of waste: Textiles,891315825.1851466
EU27,Activity,Incineration of waste: Wood,1156797598.4765258
EU27,Activity,Inland water transport,5120180452.027019
EU27,Activity,"Insurance and pension funding, except compulsory social security (66)",471578389171.99725
EU27,Activity,Landfill of waste: Food,4655330383.963338
EU27,Activity,Landfill of waste: Inert/metal/hazardous,7220042089.7635975
EU27,Activity,Landfill of waste: Paper,5593417341.424084
EU27,Activity,Landfill of waste: Plastic,4247951450.8823314
EU27,Activity,Landfill of waste: Textiles,1483140247.4393857
EU27,Activity,Landfill of waste: Wood,1888897012.7641747
EU27,Activity,"Lead, zinc and tin production",870922175.9391104
EU27,Activity,Manufacture of LFP batteries,60936299999.99999
EU27,Activity,Manufacture of NCA batteries,60936299999.99999
EU27,Activity,Manufacture of NMC batteries,60936299999.99999
EU27,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,84933476140.46979
EU27,Activity,Manufacture of beverages,80730655366.56563
EU27,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",6306681921.897783
EU27,Activity,"Manufacture of cement, lime and plaster",50526614914.33507
EU27,Activity,Manufacture of ceramic goods,3477647645.2364564
EU27,Activity,Manufacture of coke oven products,252755039.40389508
EU27,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),102665531633.53813
EU27,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",259341210969.55853
EU27,Activity,Manufacture of fish products,9820878040.41365
EU27,Activity,Manufacture of furniture; manufacturing n.e.c. (36),170809341124.31302
EU27,Activity,Manufacture of gas; distribution of gaseous fuels through mains,65034843313.3725
EU27,Activity,Manufacture of glass and glass products,25985140949.130527
EU27,Activity,Manufacture of machinery and equipment n.e.c. (29),400125527363.50604
EU27,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",188250045847.71362
EU27,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",485281639170.8465
EU27,Activity,Manufacture of office machinery and computers (30),87332636841.82556
EU27,Activity,Manufacture of other non-metallic mineral products n.e.c.,15985832794.34372
EU27,Activity,Manufacture of other transport equipment (35),179065162151.54105
EU27,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",239144432392.9988
EU27,Activity,Manufacture of rubber and plastic products (25),178949930635.4402
EU27,Activity,Manufacture of textiles (17),87893747433.98032
EU27,Activity,Manufacture of tobacco products (16),48390508011.20912
EU27,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),37449996887.16415
EU27,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",82319278862.2979
EU27,Activity,"Manure treatment (biogas), storage and land application",0.0
EU27,Activity,"Manure treatment (conventional), storage and land application",0.0
EU27,Activity,Meat animals nec,136234912.48117474
EU27,Activity,Mining of aluminium ores and concentrates,88334031.211766
EU27,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",4314072662.26098
EU27,Activity,Mining of coal and lignite; extraction of peat (10),16734870799.443872
EU27,Activity,Mining of copper ores and concentrates,4052188235.223148
EU27,Activity,Mining of iron ores,11110369487.411787
EU27,Activity,"Mining of lead, zinc and tin ores and concentrates",598978907.9044704
EU27,Activity,Mining of nickel ores and concentrates,0.0
EU27,Activity,Mining of other non-ferrous metal ores and concentrates,198117307.7073812
EU27,Activity,Mining of precious metal ores and concentrates,4639314247.290703
EU27,Activity,Mining of uranium and thorium ores (12),982340374.6306736
EU27,Activity,N-fertiliser,214033107.77781838
EU27,Activity,Other business activities (74),1779042759826.2827
EU27,Activity,Other land transport,302907471908.83765
EU27,Activity,Other non-ferrous metal production,3581428603.195108
EU27,Activity,Other service activities (93),163924632377.09744
EU27,Activity,P- and other fertiliser,11679784059.862478
EU27,Activity,Paper,158056059015.10846
EU27,Activity,Petroleum Refinery,301348234433.03314
EU27,Activity,Pigs farming,17123797119.319391
EU27,Activity,"Plastics, basic",47730330320.3174
EU27,Activity,Post and telecommunications (64),905834781846.9867
EU27,Activity,Poultry farming,28046358906.90248
EU27,Activity,Precious metals production,11038624745.111889
EU27,Activity,Private households with employed persons (95),17296328795.67214
EU27,Activity,Processed rice,1158527973.085062
EU27,Activity,Processing of Food products nec,270817239835.11798
EU27,Activity,Processing of dairy products,71995166570.78983
EU27,Activity,Processing of meat cattle,44930919744.63029
EU27,Activity,Processing of meat pigs,34742105496.29249
EU27,Activity,Processing of meat poultry,43169346527.58536
EU27,Activity,Processing of nuclear fuel,200305048.33646157
EU27,Activity,Processing vegetable oils and fats,15057883000.072517
EU27,Activity,Production of electricity by Geothermal,2908288608.9247346
EU27,Activity,Production of electricity by biomass and waste,19781256301.259174
EU27,Activity,Production of electricity by coal,979689533.7608528
EU27,Activity,Production of electricity by gas,2639426604.092015
EU27,Activity,Production of electricity by hydro,12487098018.316422
EU27,Activity,Production of electricity by nuclear,47374923296.2739
EU27,Activity,Production of electricity by other RES,3705054374.266118
EU27,Activity,Production of electricity by petroleum and other oil derivatives,389615618.0242525
EU27,Activity,Production of electricity by solar photovoltaic,29370037206.06043
EU27,Activity,Production of electricity by wind,76182796720.06429
EU27,Activity,Production of meat products nec,22450931829.151554
EU27,Activity,Production of offshore wind plants,0.0
