Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),192063846474.84943
China,Activity,Activities of membership organisation n.e.c. (91),213032146217.82867
China,Activity,Air transport (62),187127810254.74283
China,Activity,Aluminium production,31373709794.307495
China,Activity,Animal products nec,1109957949.1081033
China,Activity,"Biogasification of food waste, incl. land application",2712784700.9743547
China,Activity,"Biogasification of paper, incl. land application",323171949.3929415
China,Activity,"Biogasification of sewage slugde, incl. land application",13739617310.313295
China,Activity,Casting of metals,48694819797.46605
China,Activity,Cattle farming,27969939088.666664
China,Activity,Chemicals nec,158950524417.73322
China,Activity,"Collection, purification and distribution of water (41)",84028911044.76468
China,Activity,"Composting of food waste, incl. land application",19844749951.713562
China,Activity,"Composting of paper and wood, incl. land application",64627307.00760322
China,Activity,Computer and related activities (72),394956538296.18866
China,Activity,Construction (45),1844278275880.3567
China,Activity,Copper production,56220352905.96367
China,Activity,Cultivation of cereal grains nec,32745997959.82873
China,Activity,Cultivation of crops nec,32657597542.546143
China,Activity,Cultivation of oil seeds,23594945640.121017
China,Activity,Cultivation of paddy rice,1538011649.2256155
China,Activity,Cultivation of plant-based fibers,958305945.01047
China,Activity,"Cultivation of sugar cane, sugar beet",4451043307.883977
China,Activity,"Cultivation of vegetables, fruit, nuts",106018478577.37416
China,Activity,Cultivation of wheat,31528677786.529682
China,Activity,Distribution and trade of electricity,233243383825.43503
China,Activity,Education (80),825071668865.7233
China,Activity,Extra-territorial organizations and bodies,18544.839655047224
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",54884684533.142944
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",28962280200.178566
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",149000355.1972569
China,Activity,"Financial intermediation, except insurance and pension funding (65)",696900761416.5669
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",16571308903.952269
China,Activity,"Forestry, logging and related service activities (02)",41704831987.947845
China,Activity,Health and social work (85),1340761484499.4968
China,Activity,Hotels and restaurants (55),884562752770.5414
China,Activity,Incineration of waste: Food,10698282717.71474
