Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),192238262538.3431
China,Activity,Activities of membership organisation n.e.c. (91),213051394546.19583
China,Activity,Air transport (62),187150646980.03265
China,Activity,Aluminium production,32754011861.796005
China,Activity,Animal products nec,1111168809.6115155
China,Activity,"Biogasification of food waste, incl. land application",2716508063.0509663
China,Activity,"Biogasification of paper, incl. land application",324437409.88932455
China,Activity,"Biogasification of sewage slugde, incl. land application",13762719829.700882
China,Activity,Casting of metals,48897164022.37605
China,Activity,Cattle farming,27976793836.080948
China,Activity,Chemicals nec,163733348918.36847
China,Activity,"Collection, purification and distribution of water (41)",84122976973.82257
China,Activity,"Composting of food waste, incl. land application",19912363584.67009
China,Activity,"Composting of paper and wood, incl. land application",65173064.25230129
China,Activity,Computer and related activities (72),395367884764.9235
China,Activity,Construction (45),1845400945959.467
China,Activity,Copper production,61801991465.60573
China,Activity,Cultivation of cereal grains nec,32762860951.76807
China,Activity,Cultivation of crops nec,32655082625.819344
China,Activity,Cultivation of oil seeds,23605513648.346836
China,Activity,Cultivation of paddy rice,1538323439.6696396
China,Activity,Cultivation of plant-based fibers,958810467.1543922
China,Activity,"Cultivation of sugar cane, sugar beet",4456079339.766244
China,Activity,"Cultivation of vegetables, fruit, nuts",106038966506.22635
China,Activity,Cultivation of wheat,31580228529.160294
China,Activity,Distribution and trade of electricity,233467939302.4484
China,Activity,Education (80),825099031486.8596
China,Activity,Extra-territorial organizations and bodies,18931.424375372902
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",55182937168.58925
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",29268837498.82724
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",156009309.10076815
China,Activity,"Financial intermediation, except insurance and pension funding (65)",698281643319.2258
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",16569907833.559795
China,Activity,"Forestry, logging and related service activities (02)",41705888601.08229
China,Activity,Health and social work (85),1340800107619.5732
China,Activity,Hotels and restaurants (55),884987930756.4592
China,Activity,Incineration of waste: Food,10713587892.291985
China,Activity,Incineration of waste: Metals and Inert materials,19133247574.1816
China,Activity,Incineration of waste: Oil/Hazardous waste,13485820762.454834
China,Activity,Incineration of waste: Paper,12946202228.351358
China,Activity,Incineration of waste: Plastic,10703698335.221947
China,Activity,Incineration of waste: Textiles,2419428205.4145956
China,Activity,Incineration of waste: Wood,5683619801.8825245
China,Activity,Inland water transport,9461274696.824778
China,Activity,"Insurance and pension funding, except compulsory social security (66)",330515705638.68384
China,Activity,Landfill of waste: Food,13548810219.872555
China,Activity,Landfill of waste: Inert/metal/hazardous,15100572765.111546
China,Activity,Landfill of waste: Paper,9666038630.907288
China,Activity,Landfill of waste: Plastic,2941830762.6317797
China,Activity,Landfill of waste: Textiles,1752780488.1402044
China,Activity,Landfill of waste: Wood,3038752056.9265256
China,Activity,"Lead, zinc and tin production",9750767436.36664
China,Activity,Manufacture of LFP batteries,0.0
China,Activity,Manufacture of NCA batteries,0.0
China,Activity,Manufacture of NMC batteries,0.0
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,123558932138.44846
China,Activity,Manufacture of beverages,144914843031.2131
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",14654194570.928963
China,Activity,"Manufacture of cement, lime and plaster",103691708606.29037
China,Activity,Manufacture of ceramic goods,28355187106.793045
China,Activity,Manufacture of coke oven products,5041367420.7009115
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),312869847595.239
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",529605504867.8296
China,Activity,Manufacture of fish products,26611785902.785156
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),212481125813.7797
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,160019689326.6479
China,Activity,Manufacture of glass and glass products,27218617114.00019
China,Activity,Manufacture of machinery and equipment n.e.c. (29),717330401078.7784
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",175015705481.24768
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",738582657340.098
China,Activity,Manufacture of office machinery and computers (30),67327955202.34321
