Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),192318732094.0901
China,Activity,Activities of membership organisation n.e.c. (91),213042977222.56357
China,Activity,Air transport (62),187163025818.15335
China,Activity,Aluminium production,32856333642.08174
China,Activity,Animal products nec,1111375076.046405
China,Activity,"Biogasification of food waste, incl. land application",2719790755.813264
China,Activity,"Biogasification of paper, incl. land application",325275581.1945081
China,Activity,"Biogasification of sewage slugde, incl. land application",13786334580.847263
China,Activity,Casting of metals,49033593679.71615
China,Activity,Cattle farming,27979351472.320152
China,Activity,Chemicals nec,164044541012.93042
China,Activity,"Collection, purification and distribution of water (41)",84175721937.63045
China,Activity,"Composting of food waste, incl. land application",20015896803.712547
China,Activity,"Composting of paper and wood, incl. land application",65575507.31231475
China,Activity,Computer and related activities (72),395673995559.14734
China,Activity,Construction (45),1846079127953.4124
China,Activity,Copper production,62036619754.24506
China,Activity,Cultivation of cereal grains nec,32770695850.478416
China,Activity,Cultivation of crops nec,32661315955.62184
China,Activity,Cultivation of oil seeds,23608180399.33899
China,Activity,Cultivation of paddy rice,1538450783.0976048
China,Activity,Cultivation of plant-based fibers,958174918.8117989
China,Activity,"Cultivation of sugar cane, sugar beet",4457152455.487062
China,Activity,"Cultivation of vegetables, fruit, nuts",106050474753.00888
China,Activity,Cultivation of wheat,31649023850.456863
China,Activity,Distribution and trade of electricity,233651485128.25546
China,Activity,Education (80),825099819221.9998
China,Activity,Extra-territorial organizations and bodies,18968.7711361916
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",55488934982.63764
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",29462294322.174026
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",160512104.582327
China,Activity,"Financial intermediation, except insurance and pension funding (65)",699289907681.9387
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",16568940349.642761
China,Activity,"Forestry, logging and related service activities (02)",41761879783.64537
China,Activity,Health and social work (85),1340820313414.206
China,Activity,Hotels and restaurants (55),885403996171.4695
China,Activity,Incineration of waste: Food,10727090756.599697
China,Activity,Incineration of waste: Metals and Inert materials,19180628277.742012
China,Activity,Incineration of waste: Oil/Hazardous waste,13501335905.478622
China,Activity,Incineration of waste: Paper,12955238564.98103
China,Activity,Incineration of waste: Plastic,10718365607.065819
China,Activity,Incineration of waste: Textiles,2421790527.5166426
China,Activity,Incineration of waste: Wood,5692347920.849249
China,Activity,Inland water transport,9527032414.0923
China,Activity,"Insurance and pension funding, except compulsory social security (66)",330491029015.9415
China,Activity,Landfill of waste: Food,13573418379.683718
China,Activity,Landfill of waste: Inert/metal/hazardous,15132715555.014685
China,Activity,Landfill of waste: Paper,9679331921.667152
China,Activity,Landfill of waste: Plastic,2946685007.3580923
China,Activity,Landfill of waste: Textiles,1762470311.7591743
China,Activity,Landfill of waste: Wood,3045016385.9314938
China,Activity,"Lead, zinc and tin production",9782658350.928043
China,Activity,Manufacture of LFP batteries,0.0
China,Activity,Manufacture of NCA batteries,0.0
China,Activity,Manufacture of NMC batteries,0.0
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,123961076211.73918
China,Activity,Manufacture of beverages,144950724397.6443
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",14665026292.953142
China,Activity,"Manufacture of cement, lime and plaster",103785440839.68184
China,Activity,Manufacture of ceramic goods,28370430137.828835
China,Activity,Manufacture of coke oven products,5166442870.475528
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),314803914849.2455
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",531105825065.38257
China,Activity,Manufacture of fish products,26626145782.318695
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),212737919547.86377
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,156750906345.31873
China,Activity,Manufacture of glass and glass products,27295737682.910683
China,Activity,Manufacture of machinery and equipment n.e.c. (29),719311177122.6868
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",175230129722.84198
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",739170567104.07
China,Activity,Manufacture of office machinery and computers (30),67396867801.02614
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,39777418450.49037
China,Activity,Manufacture of other transport equipment (35),218059946392.94116
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",186033402736.4098
China,Activity,Manufacture of rubber and plastic products (25),286224492514.69934
China,Activity,Manufacture of textiles (17),124122676217.78703
China,Activity,Manufacture of tobacco products (16),23087347820.715034
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),108997018890.99036
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",111492575878.5966
China,Activity,"Manure treatment (biogas), storage and land application",48660.51461859762
China,Activity,"Manure treatment (conventional), storage and land application",48730.388077909694
China,Activity,Meat animals nec,11532525852.71147
China,Activity,Mining of aluminium ores and concentrates,235668213.42824063
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",14993067489.640373
China,Activity,Mining of coal and lignite; extraction of peat (10),55482154566.7836
China,Activity,Mining of copper ores and concentrates,8759810493.143694
China,Activity,Mining of iron ores,591208701.6011063
China,Activity,"Mining of lead, zinc and tin ores and concentrates",1654661564.3658242
China,Activity,Mining of nickel ores and concentrates,221590383.01100534
China,Activity,Mining of other non-ferrous metal ores and concentrates,1415768375.0183167
China,Activity,Mining of precious metal ores and concentrates,594010071.8877687
China,Activity,Mining of uranium and thorium ores (12),515404685.2605723
China,Activity,N-fertiliser,899246667.5088317
China,Activity,Other business activities (74),1737351034267.9575
China,Activity,Other land transport,585544560450.8657
China,Activity,Other non-ferrous metal production,11529016104.96435
China,Activity,Other service activities (93),164471730147.4524
China,Activity,P- and other fertiliser,7342709215.653416
China,Activity,Paper,120859302792.25551
China,Activity,Petroleum Refinery,370924565152.77576
China,Activity,Pigs farming,35531659980.563896
China,Activity,"Plastics, basic",290018589772.9309
China,Activity,Post and telecommunications (64),693342897695.4497
China,Activity,Poultry farming,35335521896.11112
China,Activity,Precious metals production,26035227895.218666
China,Activity,Private households with employed persons (95),69996189946.5679
China,Activity,Processed rice,3365628544.069437
China,Activity,Processing of Food products nec,389158128253.728
China,Activity,Processing of dairy products,133648233903.80945
China,Activity,Processing of meat cattle,38692116571.88344
China,Activity,Processing of meat pigs,47242476669.23593
China,Activity,Processing of meat poultry,40271182622.81579
China,Activity,Processing of nuclear fuel,5891397176.529728
China,Activity,Processing vegetable oils and fats,33383094765.527565
China,Activity,Production of electricity by Geothermal,24299401.97605505
China,Activity,Production of electricity by biomass and waste,4627601493.476833
China,Activity,Production of electricity by coal,233035289410.68402
China,Activity,Production of electricity by gas,20908036261.17616
China,Activity,Production of electricity by hydro,49249435228.44078
China,Activity,Production of electricity by nuclear,8929663199.330492
China,Activity,Production of electricity by other RES,562048756.4671627
China,Activity,Production of electricity by petroleum and other oil derivatives,3246334399.615092
China,Activity,Production of electricity by solar photovoltaic,85990252.40628606
China,Activity,Production of electricity by wind,3841726980.118986
China,Activity,Production of meat products nec,92156911883.9553
China,Activity,Production of offshore wind plants,0.0
China,Activity,Production of onshore wind plants,0.0
China,Activity,Production of photovoltaic plants,0.0
China,Activity,Public administration and defence; compulsory social security (75),1141314709574.8335
China,Activity,"Publishing, printing and reproduction of recorded media (22)",262138499690.8117
China,Activity,Pulp,18117766347.13909
China,Activity,Quarrying of sand and clay,25043485679.380844
China,Activity,Quarrying of stone,21254695843.038307
China,Activity,Raw milk,69297065657.41159
China,Activity,Re-processing of ash into clinker,26758861021.837456
China,Activity,Re-processing of secondary aluminium into new aluminium,32115532789.52604
China,Activity,Re-processing of secondary construction material into aggregates,2404079717.6550307
China,Activity,Re-processing of secondary copper into new copper,10206883153.414772
China,Activity,Re-processing of secondary glass into new glass,10463762848.821577
China,Activity,"Re-processing of secondary lead into new lead, zinc and tin",2958036925.432177
China,Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,1836395.8120775549
China,Activity,Re-processing of secondary paper into new pulp,40420013414.93265
China,Activity,Re-processing of secondary plastic into new plastic,72009100124.74596
China,Activity,Re-processing of secondary preciuos metals into new preciuos metals,324593.9451456129
China,Activity,Re-processing of secondary steel into new steel,75745810001.81703
China,Activity,Re-processing of secondary wood material into new wood material,38878030190.630714
China,Activity,Real estate activities (70),1694235913944.346
China,Activity,"Recreational, cultural and sporting activities (92)",443523265507.0941
China,Activity,Recycling of bottles by direct reuse,8436695578.277286
China,Activity,Recycling of waste and scrap,26454385965.157
