Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),192296639968.6579
China,Activity,Activities of membership organisation n.e.c. (91),213050440126.32684
China,Activity,Air transport (62),187168274000.33813
China,Activity,Aluminium production,32785799161.82173
China,Activity,Animal products nec,1111342871.9501457
China,Activity,"Biogasification of food waste, incl. land application",2719055946.75354
China,Activity,"Biogasification of paper, incl. land application",325728982.0433041
China,Activity,"Biogasification of sewage slugde, incl. land application",13769962310.529814
China,Activity,Casting of metals,48952266975.443275
China,Activity,Cattle farming,27977682153.476044
China,Activity,Chemicals nec,163858271722.6958
China,Activity,"Collection, purification and distribution of water (41)",84189001595.14285
China,Activity,"Composting of food waste, incl. land application",19945522262.634064
China,Activity,"Composting of paper and wood, incl. land application",66280676.11411777
China,Activity,Computer and related activities (72),395566005781.47504
China,Activity,Construction (45),1845578476747.4321
China,Activity,Copper production,61860667764.959076
China,Activity,Cultivation of cereal grains nec,32765504463.396168
China,Activity,Cultivation of crops nec,32649390660.353592
China,Activity,Cultivation of oil seeds,23607374759.400356
China,Activity,Cultivation of paddy rice,1538395340.8052046
China,Activity,Cultivation of plant-based fibers,958514604.0748425
China,Activity,"Cultivation of sugar cane, sugar beet",4456546154.81301
China,Activity,"Cultivation of vegetables, fruit, nuts",106044068698.0822
China,Activity,Cultivation of wheat,31594085805.625202
China,Activity,Distribution and trade of electricity,233560711467.15497
China,Activity,Education (80),825110232971.8262
China,Activity,Extra-territorial organizations and bodies,18947.555484959274
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",55234767556.500275
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",29623246903.93062
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",175719893.5200097
China,Activity,"Financial intermediation, except insurance and pension funding (65)",698820364774.1731
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",16568965139.944208
China,Activity,"Forestry, logging and related service activities (02)",41695042335.71037
China,Activity,Health and social work (85),1340813694680.763
China,Activity,Hotels and restaurants (55),885108711487.7909
China,Activity,Incineration of waste: Food,10721225297.336523
China,Activity,Incineration of waste: Metals and Inert materials,19154522328.135586
China,Activity,Incineration of waste: Oil/Hazardous waste,13493447709.812899
China,Activity,Incineration of waste: Paper,12953902694.367924
China,Activity,Incineration of waste: Plastic,10711242396.228615
China,Activity,Incineration of waste: Textiles,2421150802.124547
China,Activity,Incineration of waste: Wood,5688247485.790705
China,Activity,Inland water transport,9485039901.149454
China,Activity,"Insurance and pension funding, except compulsory social security (66)",330498756846.41455
China,Activity,Landfill of waste: Food,13563132673.11662
China,Activity,Landfill of waste: Inert/metal/hazardous,15111859627.064222
China,Activity,Landfill of waste: Paper,9677316831.855694
China,Activity,Landfill of waste: Plastic,2946976074.48769
China,Activity,Landfill of waste: Textiles,1757228763.7546976
China,Activity,Landfill of waste: Wood,3043159722.701167
China,Activity,"Lead, zinc and tin production",9759963687.369528
China,Activity,Manufacture of LFP batteries,0.0
China,Activity,Manufacture of NCA batteries,0.0
China,Activity,Manufacture of NMC batteries,0.0
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,123681060143.61198
China,Activity,Manufacture of beverages,144934040077.6294
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",14660358852.02708
