Region,,,China,EU27,RoW,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption,Final consumption,Final consumption,Final consumption
Region,Level,Item,,,,
China,Sector,Activities auxiliary to financial intermediation (67),26710509817.44098,29990887.49874279,1173507051.0257006,7111328.982002909
China,Sector,Activities of membership organisation n.e.c. (91),202851737028.81857,50185641.450669535,358166829.6198971,94420108.8242878
China,Sector,Air transport (62),82934639246.56953,12640522544.550411,12115909695.557484,10576506.92426823
China,Sector,Aluminium production,1552581768.5756652,32066168.839322228,209962723.70630467,17116115.851157933
China,Sector,Animal products nec,386873961.9519864,6510591.55926124,21450178.924837083,3522250.8399316785
China,Sector,"Biogasification of food waste, incl. land application",1102967188.9986455,143020.2548315068,28258460.149558492,1976879.0701656428
China,Sector,"Biogasification of paper, incl. land application",116784915.64058322,18588.319461176456,1772720.6731139084,757621.1848313408
China,Sector,"Biogasification of sewage slugde, incl. land application",6365080091.253823,59496818.75485134,95662267.07533965,6653123.491929895
China,Sector,Casting of metals,2028281302.292133,48498137.34176276,194831564.1687331,18545391.369925153
China,Sector,Cattle farming,5497727170.521841,63635232.0259407,151133163.34762332,39019807.88401185
China,Sector,Chemicals nec,18285963390.85708,7286756215.297352,23657668431.659214,341861970.2830443
China,Sector,"Collection, purification and distribution of water (41)",45791574767.40136,24391284.638809443,154807580.60117233,9076616.649062581
China,Sector,"Composting of food waste, incl. land application",7003234757.467927,9363031.983575847,200265011.51360303,8110016.151171817
China,Sector,"Composting of paper and wood, incl. land application",25491693.333250362,1512.6259003362786,6740.559284800706,590.1518463665898
China,Sector,Computer and related activities (72),138713168364.62772,2642455220.6745734,18413103310.65346,35250173.186758675
China,Sector,Construction (45),1312911200201.9736,1320939413.2320962,16490873364.512836,1953283416.395383
China,Sector,Copper production,2644884820.1597424,45746568.11145823,325993368.72774816,37969856.54349579
China,Sector,Cultivation of cereal grains nec,4798923472.573464,1246371.4211480122,197161613.22158396,396366.2091850004
China,Sector,Cultivation of crops nec,9917238219.189394,108664120.03014876,2258361616.1079073,21943993.923692595
China,Sector,Cultivation of oil seeds,4855785609.120124,68746.49726545025,19901263.78290724,199159.48589789233
China,Sector,Cultivation of paddy rice,835377847.1803417,2361.7072914435116,129065.81882367023,89.881175271705
China,Sector,Cultivation of plant-based fibers,400309234.07451123,61565.33450575697,1254556.0224468696,8586854.58985419
China,Sector,"Cultivation of sugar cane, sugar beet",399530216.56847,14323.283692273611,86424.03729628741,2393.5750850627405
China,Sector,"Cultivation of vegetables, fruit, nuts",69598978068.42801,531150223.77087176,4001269436.0864754,16128044.094010256
China,Sector,Cultivation of wheat,12462735519.015636,3105465.818248584,487411305.36830235,1127596.051053679
China,Sector,Distribution and trade of electricity,93634301250.95258,45829418.01574264,302102724.92174184,24535549.56756816
China,Sector,Education (80),751471832990.6306,733990746.5133063,4801741335.901766,631696061.1072352
China,Sector,Extra-territorial organizations and bodies,5498.982841400342,0.0,0.0,0.0
China,Sector,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",2434443510.397551,116330950.22350267,107825881.9268152,6531014.836324529
China,Sector,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",13494482006.411034,43364829.33453014,170357375.85044846,11808008.279271409
China,Sector,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",40567544.64944003,124017.30123455854,742803.770571829,53626.8936688246
China,Sector,"Financial intermediation, except insurance and pension funding (65)",157769284035.8794,2744495318.787345,20186830110.744648,101580005.1226168
China,Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",10360648885.213278,23641424.331583634,282236682.35314035,7639260.953283789
China,Sector,"Forestry, logging and related service activities (02)",11931550052.514416,9690774.901525065,198530696.80315378,80634196.38837057
China,Sector,Health and social work (85),1250979206700.763,1488957035.96967,7375922298.168231,1020757111.3242229
China,Sector,Hotels and restaurants (55),626440894321.9712,27265149959.729286,63258470618.23934,6891457664.871789
China,Sector,Incineration of waste: Food,3968767439.420205,73299292.16165937,108248428.10177317,198931.57650148036
China,Sector,Incineration of waste: Metals and Inert materials,6429800205.4604645,4366404.031037121,45128603.84369235,16236588.219445989
China,Sector,Incineration of waste: Oil/Hazardous waste,4999279296.414786,1342025.8229236947,84350200.29302303,258953.11491319712
China,Sector,Incineration of waste: Paper,5083020433.589013,71100910.70786823,119569290.92513764,189791.82566372983
China,Sector,Incineration of waste: Plastic,4756190635.465763,18802162.328152437,29485354.113287937,102730.32034664936
China,Sector,Incineration of waste: Textiles,810507134.6850095,1544781.6706966977,11096503.624822281,31226.814037344153
China,Sector,Incineration of waste: Wood,2409716294.378754,5344182.554392083,25185663.87380665,84373.31180189177
China,Sector,Inland water transport,4946552404.110715,26270440.99266417,112577999.15378924,1300500.1992835798
China,Sector,"Insurance and pension funding, except compulsory social security (66)",198722620793.61398,4475262944.355236,4437114522.789048,4468802352.004884
China,Sector,Landfill of waste: Food,5188757899.350463,2062116.806956304,55014106.12216542,420290.5915732396
China,Sector,Landfill of waste: Inert/metal/hazardous,5347071861.977462,6054160.814440401,162007583.58618352,540239.1622109794
China,Sector,Landfill of waste: Paper,3031485847.8452587,1980887.322937754,120034213.37185742,349555.4735617307
China,Sector,Landfill of waste: Plastic,1001840543.8687272,1575260.0497890993,29815915.970487446,85957.73635949359
China,Sector,Landfill of waste: Textiles,469153065.11950445,364554.2763970804,7003187.912414794,56068.3387819705
China,Sector,Landfill of waste: Wood,847119492.7784601,591701.295244559,10098119.448385043,87540.49118086525
China,Sector,"Lead, zinc and tin production",1992725357.1294348,20044924.17216461,138046369.19499874,7389379.679009034
China,Sector,Manufacture of LFP batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of NCA batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of NMC batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,4305201712.926051,143051732.56850377,910951809.2458775,45586679.84406599
China,Sector,Manufacture of beverages,76597225810.9686,3542520946.0454783,10017407176.218658,178344613.0438747
China,Sector,"Manufacture of bricks, tiles and construction products, in baked clay",883659083.7548476,7862350.642877741,35402397.727803014,1997146.3868289413
China,Sector,"Manufacture of cement, lime and plaster",3945030576.2374926,67595961.29865168,298291777.6655868,17675678.298707586
China,Sector,Manufacture of ceramic goods,10216078372.75939,524288607.7320647,1120199901.2997422,4218387.574707333
China,Sector,Manufacture of coke oven products,553223705.8063039,4644414.055784157,105233692.71336323,322425.8622426647
China,Sector,Manufacture of electrical machinery and apparatus n.e.c. (31),69789405372.33511,4371057121.463466,23799895947.69104,1364488784.256601
China,Sector,"Manufacture of fabricated metal products, except machinery and equipment (28)",89582119147.88094,2739480278.4090166,18370459498.19408,1334811085.0291677
China,Sector,Manufacture of fish products,4229792348.085765,169019440.9755322,2222904290.533123,222994248.17547253
China,Sector,Manufacture of furniture; manufacturing n.e.c. (36),115493481848.19191,6341339407.244309,18150172504.555515,547446674.7456768
China,Sector,Manufacture of gas; distribution of gaseous fuels through mains,29636726165.772923,18618094.905160498,116297266.2752968,9431269.81773094
China,Sector,Manufacture of glass and glass products,904524379.1683705,202093303.7829413,296145655.7241661,4578535.694509043
China,Sector,Manufacture of machinery and equipment n.e.c. (29),239415783511.5657,22488557191.809727,124125294891.54228,16622960619.152483
China,Sector,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",64991924839.090416,8364280402.770864,23309956371.808273,285315351.46797794
China,Sector,"Manufacture of motor vehicles, trailers and semi-trailers (34)",285787802030.80536,24723390262.730965,90632087350.47717,20495692386.737404
China,Sector,Manufacture of office machinery and computers (30),21111424088.05311,1327006697.9385138,6388840770.687116,268444647.0365789
China,Sector,Manufacture of other non-metallic mineral products n.e.c.,12066299074.481915,216123904.49169174,1132927108.0386205,6824701.797768956
China,Sector,Manufacture of other transport equipment (35),67557241562.72686,9816221904.79632,31450465476.768337,3828002186.991481
China,Sector,"Manufacture of radio, television and communication equipment and apparatus (32)",64412281781.29353,2189335000.246758,23541388690.92404,325006350.6410527
China,Sector,Manufacture of rubber and plastic products (25),42425928160.45792,1872375302.9072905,6411369708.062401,233186465.97724277
China,Sector,Manufacture of textiles (17),48419488886.42072,1272773937.6167867,7780128074.927406,43396398.77473569
China,Sector,Manufacture of tobacco products (16),16285731717.09718,38573177.0890256,3680179542.7825913,2600716.9053356377
China,Sector,Manufacture of wearing apparel; dressing and dyeing of fur (18),77808979479.82196,1666716284.4463272,12329273332.97198,363410304.50312966
China,Sector,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",21070539195.054317,187396977.44677782,1624971447.995363,12850838.802653221
China,Sector,"Manure treatment (biogas), storage and land application",26424.156317216748,0.036636337643654496,3.792409287284917,0.0
China,Sector,"Manure treatment (conventional), storage and land application",26462.099755048373,0.036688945135945734,3.797854950120722,0.0
China,Sector,Meat animals nec,4397302312.468061,102300503.6056793,188082371.0178623,29706951.24087946
China,Sector,Mining of aluminium ores and concentrates,25895343.546719395,5816.514246055254,88631.15175944079,10440.408290622207
China,Sector,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",3377206343.7479606,329300389.9230058,869990984.2201393,23000575.275477882
China,Sector,Mining of coal and lignite; extraction of peat (10),6047835134.890634,13919495.06186325,83100082.60481279,2565882.7049384792
China,Sector,Mining of copper ores and concentrates,426942059.48868084,2715507.690344938,122212252.52954727,623359.8942656909
China,Sector,Mining of iron ores,39751072.81418301,29631.53040456203,470336.35856961494,12020.116654136837
China,Sector,"Mining of lead, zinc and tin ores and concentrates",896420160.6274753,279985.684133653,20665528.388385136,58385.391102445035
China,Sector,Mining of nickel ores and concentrates,1488710.1701821694,2582.923357230988,124376.55505898478,71669.08524086329
China,Sector,Mining of other non-ferrous metal ores and concentrates,75540309.14240004,140757.4663941812,3980101.9240309363,811106.3559218926
China,Sector,Mining of precious metal ores and concentrates,32286023.607318863,92475.50793975813,1149598.7255456727,77806.12838649318
China,Sector,Mining of uranium and thorium ores (12),81727949.25653316,869570.8106363916,2895912.390733469,76227.01483341161
China,Sector,N-fertiliser,94263788.99667516,811383.2717167484,11167140.69119508,59490.07991570134
China,Sector,Other business activities (74),271849412863.17322,2536958344.8810544,16075144344.795668,1533581046.4424748
China,Sector,Other land transport,195445683939.45694,1212693196.7597313,7575343570.601676,210198733.8941185
China,Sector,Other non-ferrous metal production,559802344.8099911,18188480.71381832,104887377.54096256,10004688.318923462
China,Sector,Other service activities (93),125275839548.1944,1765926337.8404462,3898995247.1410866,369549395.84928495
China,Sector,P- and other fertiliser,747155003.7632227,3908538.788016881,94496018.04224817,724837.61532186
China,Sector,Paper,18671560217.862583,45495878.54603328,5938373847.27814,39561663.96054855
China,Sector,Petroleum Refinery,155204094281.73746,7705351289.643977,17046551836.958586,65492639.59641493
China,Sector,Pigs farming,6116644179.489996,28189602.79186943,48209638.51233196,21197329.48143623
China,Sector,"Plastics, basic",139015323525.08066,419920972.3696946,1994808093.8864775,57035872.67010373
China,Sector,Post and telecommunications (64),292423145577.306,266852227.93940496,7077163019.373655,52454472.7958734
China,Sector,Poultry farming,21978873791.67043,19430727.14451287,45469244.017065875,14548718.923165452
China,Sector,Precious metals production,1195650122.6306105,15879166.06948254,277391095.625813,4331373.856767281
China,Sector,Private households with employed persons (95),25997905352.454414,10652834246.670784,20182777354.749283,2355363198.9754763
China,Sector,Processed rice,2022779918.0040212,18411345.693416808,158929938.27500182,3594760.203046256
China,Sector,Processing of Food products nec,251845034850.83362,3501673912.3680987,19037805428.462097,529972001.49327934
China,Sector,Processing of dairy products,81759614738.71701,466053957.2817127,5765324910.182333,15161011.768019455
China,Sector,Processing of meat cattle,28019910365.923336,72702367.74395676,1334986492.8113778,23613778.583831854
China,Sector,Processing of meat pigs,33780687477.85794,83582773.09143582,2139730939.9750857,135747535.87850618
China,Sector,Processing of meat poultry,36648078601.85429,12163482.94874223,931656713.8973402,8251417.915185387
China,Sector,Processing of nuclear fuel,3360183295.414424,1579557.2320158153,422542462.38325185,119288.82530045217
China,Sector,Processing vegetable oils and fats,11773937270.143867,194751349.99406567,1331285441.6787453,26062706.50529734
China,Sector,Production of electricity by Geothermal,280861871.5286038,90294.28247243936,453434.5895105878,16636.327439604527
China,Sector,Production of electricity by biomass and waste,2411146665.303714,1193275.87663219,8306570.917921286,594655.1713366847
China,Sector,Production of electricity by coal,14145153188.992712,16389412.101651967,111449467.81823562,9108784.61279458
China,Sector,Production of electricity by gas,6122711273.3847685,24599342.862462316,140259693.17149797,9622938.077248147
China,Sector,Production of electricity by hydro,15880636721.970877,2464713.6612081733,15508373.290012406,1097000.6745937539
