Region,,,China,EU27,RoW,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption,Final consumption,Final consumption,Final consumption
Region,Level,Item,,,,
China,Sector,Activities auxiliary to financial intermediation (67),26710509817.441032,29990887.49874278,1173507051.0257025,7111328.982002913
China,Sector,Activities of membership organisation n.e.c. (91),202851737028.81845,50185641.45066951,358166829.61989695,94420108.82428776
China,Sector,Air transport (62),82934639246.56943,12640522544.550396,12115909695.557468,10576506.924268235
China,Sector,Aluminium production,1552581768.5756652,32066168.83932224,209962723.70630467,17116115.85115794
China,Sector,Animal products nec,386873961.9519863,6510591.559261242,21450178.924837094,3522250.839931679
China,Sector,"Biogasification of food waste, incl. land application",1102967188.9986453,143020.25483150693,28258460.14955849,1976879.0701656428
China,Sector,"Biogasification of paper, incl. land application",116784915.64058325,18588.31946117647,1772720.673113909,757621.1848313409
China,Sector,"Biogasification of sewage slugde, incl. land application",6365080091.253823,59496818.75485134,95662267.07533965,6653123.491929896
China,Sector,Casting of metals,2028281302.2921343,48498137.34176279,194831564.1687332,18545391.369925167
China,Sector,Cattle farming,5497727170.521853,63635232.02594085,151133163.3476235,39019807.88401186
China,Sector,Chemicals nec,18285963390.857086,7286756215.297356,23657668431.659225,341861970.28304446
China,Sector,"Collection, purification and distribution of water (41)",45791574767.401306,24391284.638809443,154807580.6011724,9076616.649062583
China,Sector,"Composting of food waste, incl. land application",7003234757.467912,9363031.983575834,200265011.5136026,8110016.151171802
China,Sector,"Composting of paper and wood, incl. land application",25491693.33325035,1512.6259003362788,6740.559284800707,590.1518463665898
China,Sector,Computer and related activities (72),138713168364.6277,2642455220.674573,18413103310.65346,35250173.186758675
China,Sector,Construction (45),1312911200201.973,1320939413.2320962,16490873364.51283,1953283416.395382
China,Sector,Copper production,2644884820.1597414,45746568.11145825,325993368.7277481,37969856.543495774
China,Sector,Cultivation of cereal grains nec,4798923472.5734625,1246371.4211480122,197161613.2215839,396366.20918500033
China,Sector,Cultivation of crops nec,9917238219.189392,108664120.03014873,2258361616.107907,21943993.923692595
China,Sector,Cultivation of oil seeds,4855785609.120118,68746.49726545022,19901263.782907218,199159.48589789213
China,Sector,Cultivation of paddy rice,835377847.1803408,2361.707291443511,129065.81882367008,89.88117527170503
China,Sector,Cultivation of plant-based fibers,400309234.07451105,61565.33450575694,1254556.022446869,8586854.589854186
China,Sector,"Cultivation of sugar cane, sugar beet",399530216.56846917,14323.28369227361,86424.03729628741,2393.575085062742
China,Sector,"Cultivation of vegetables, fruit, nuts",69598978068.42796,531150223.7708715,4001269436.086472,16128044.094010245
China,Sector,Cultivation of wheat,12462735519.01566,3105465.8182485886,487411305.3683031,1127596.051053681
China,Sector,Distribution and trade of electricity,93634301250.95259,45829418.01574266,302102724.92174196,24535549.567568164
China,Sector,Education (80),751471832990.63,733990746.5133059,4801741335.901762,631696061.1072346
China,Sector,Extra-territorial organizations and bodies,5498.982841400343,0.0,0.0,0.0
China,Sector,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",2434443510.3975506,116330950.22350264,107825881.92681523,6531014.836324528
China,Sector,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",13494482006.411045,43364829.33453012,170357375.85044846,11808008.279271405
China,Sector,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",40567544.64943999,124017.30123455866,742803.7705718298,53626.89366882465
China,Sector,"Financial intermediation, except insurance and pension funding (65)",157769284035.87952,2744495318.7873473,20186830110.744663,101580005.12261686
China,Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",10360648885.21328,23641424.331583627,282236682.35314035,7639260.95328379
China,Sector,"Forestry, logging and related service activities (02)",11931550052.514414,9690774.901525062,198530696.80315375,80634196.38837057
China,Sector,Health and social work (85),1250979206700.7598,1488957035.9696662,7375922298.168213,1020757111.3242202
China,Sector,Hotels and restaurants (55),626440894321.9708,27265149959.729267,63258470618.23929,6891457664.871784
China,Sector,Incineration of waste: Food,3968767439.420203,73299292.16165933,108248428.10177311,198931.57650148045
China,Sector,Incineration of waste: Metals and Inert materials,6429800205.460461,4366404.03103712,45128603.84369234,16236588.21944598
China,Sector,Incineration of waste: Oil/Hazardous waste,4999279296.414779,1342025.8229236943,84350200.29302293,258953.11491319732
China,Sector,Incineration of waste: Paper,5083020433.589011,71100910.70786822,119569290.9251376,189791.8256637299
China,Sector,Incineration of waste: Plastic,4756190635.465768,18802162.328152455,29485354.113287967,102730.32034664946
China,Sector,Incineration of waste: Textiles,810507134.6850094,1544781.6706966977,11096503.62482228,31226.814037344167
China,Sector,Incineration of waste: Wood,2409716294.3787537,5344182.554392082,25185663.873806648,84373.31180189183
China,Sector,Inland water transport,4946552404.11071,26270440.992664155,112577999.15378915,1300500.199283579
China,Sector,"Insurance and pension funding, except compulsory social security (66)",198722620793.61386,4475262944.355232,4437114522.789045,4468802352.00488
China,Sector,Landfill of waste: Food,5188757899.350463,2062116.8069563038,55014106.12216543,420290.5915732396
China,Sector,Landfill of waste: Inert/metal/hazardous,5347071861.977457,6054160.814440397,162007583.58618334,540239.1622109793
China,Sector,Landfill of waste: Paper,3031485847.845257,1980887.3229377535,120034213.37185735,349555.47356173064
China,Sector,Landfill of waste: Plastic,1001840543.8687282,1575260.0497891004,29815915.970487475,85957.73635949362
China,Sector,Landfill of waste: Textiles,469153065.1195048,364554.27639708057,7003187.912414799,56068.3387819705
China,Sector,Landfill of waste: Wood,847119492.77846,591701.295244559,10098119.448385045,87540.49118086527
China,Sector,"Lead, zinc and tin production",1992725357.1294363,20044924.17216462,138046369.19499886,7389379.679009039
China,Sector,Manufacture of LFP batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of NCA batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of NMC batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,4305201712.926053,143051732.5685039,910951809.2458783,45586679.84406602
China,Sector,Manufacture of beverages,76597225810.96855,3542520946.0454764,10017407176.218653,178344613.04387465
China,Sector,"Manufacture of bricks, tiles and construction products, in baked clay",883659083.7548482,7862350.6428777445,35402397.72780304,1997146.386828943
China,Sector,"Manufacture of cement, lime and plaster",3945030576.2374935,67595961.29865171,298291777.66558695,17675678.2987076
China,Sector,Manufacture of ceramic goods,10216078372.759396,524288607.732065,1120199901.2997427,4218387.574707335
China,Sector,Manufacture of coke oven products,553223705.8063037,4644414.055784158,105233692.71336316,322425.86224266473
China,Sector,Manufacture of electrical machinery and apparatus n.e.c. (31),69789405372.3352,4371057121.46347,23799895947.691074,1364488784.2566028
China,Sector,"Manufacture of fabricated metal products, except machinery and equipment (28)",89582119147.881,2739480278.4090185,18370459498.1941,1334811085.0291688
China,Sector,Manufacture of fish products,4229792348.0857673,169019440.97553232,2222904290.533124,222994248.17547265
China,Sector,Manufacture of furniture; manufacturing n.e.c. (36),115493481848.19194,6341339407.244312,18150172504.555527,547446674.7456771
China,Sector,Manufacture of gas; distribution of gaseous fuels through mains,29636726165.77293,18618094.90516051,116297266.27529687,9431269.81773094
China,Sector,Manufacture of glass and glass products,904524379.168371,202093303.7829414,296145655.72416633,4578535.694509047
China,Sector,Manufacture of machinery and equipment n.e.c. (29),239415783511.56595,22488557191.809746,124125294891.54242,16622960619.1525
China,Sector,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",64991924839.090416,8364280402.7708645,23309956371.80828,285315351.46797824
China,Sector,"Manufacture of motor vehicles, trailers and semi-trailers (34)",285787802030.8055,24723390262.730976,90632087350.47723,20495692386.73742
China,Sector,Manufacture of office machinery and computers (30),21111424088.053093,1327006697.938513,6388840770.687112,268444647.03657895
China,Sector,Manufacture of other non-metallic mineral products n.e.c.,12066299074.48193,216123904.491692,1132927108.038622,6824701.7977689635
China,Sector,Manufacture of other transport equipment (35),67557241562.726944,9816221904.796333,31450465476.76838,3828002186.991486
China,Sector,"Manufacture of radio, television and communication equipment and apparatus (32)",64412281781.293564,2189335000.246759,23541388690.92405,325006350.64105296
China,Sector,Manufacture of rubber and plastic products (25),42425928160.45793,1872375302.9072914,6411369708.062405,233186465.97724295
China,Sector,Manufacture of textiles (17),48419488886.42064,1272773937.6167846,7780128074.927393,43396398.774735674
China,Sector,Manufacture of tobacco products (16),16285731717.097193,38573177.08902563,3680179542.7825947,2600716.9053356396
China,Sector,Manufacture of wearing apparel; dressing and dyeing of fur (18),77808979479.82191,1666716284.4463263,12329273332.971972,363410304.5031295
China,Sector,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",21070539195.054306,187396977.4467778,1624971447.9953623,12850838.802653223
China,Sector,"Manure treatment (biogas), storage and land application",26424.156317216726,0.03663633764365446,3.7924092872849138,0.0
China,Sector,"Manure treatment (conventional), storage and land application",26462.09975504835,0.0366889451359457,3.7978549501207186,0.0
China,Sector,Meat animals nec,4397302312.468065,102300503.60567945,188082371.01786235,29706951.240879465
China,Sector,Mining of aluminium ores and concentrates,25895343.546719406,5816.514246055251,88631.15175944079,10440.408290622196
China,Sector,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",3377206343.7479587,329300389.9230057,869990984.220139,23000575.275477894
China,Sector,Mining of coal and lignite; extraction of peat (10),6047835134.89063,13919495.06186325,83100082.60481277,2565882.7049384792
China,Sector,Mining of copper ores and concentrates,426942059.48868096,2715507.69034494,122212252.52954736,623359.894265691
China,Sector,Mining of iron ores,39751072.814183034,29631.530404562025,470336.35856961476,12020.11665413683
China,Sector,"Mining of lead, zinc and tin ores and concentrates",896420160.6274745,279985.68413365306,20665528.388385117,58385.391102445035
China,Sector,Mining of nickel ores and concentrates,1488710.1701821678,2582.9233572309886,124376.55505898464,71669.08524086316
China,Sector,Mining of other non-ferrous metal ores and concentrates,75540309.1424001,140757.46639418125,3980101.92403094,811106.3559218936
China,Sector,Mining of precious metal ores and concentrates,32286023.607318882,92475.50793975816,1149598.7255456727,77806.12838649313
China,Sector,Mining of uranium and thorium ores (12),81727949.25653315,869570.8106363917,2895912.3907334697,76227.0148334116
China,Sector,N-fertiliser,94263788.99667513,811383.2717167485,11167140.691195078,59490.07991570135
China,Sector,Other business activities (74),271849412863.17343,2536958344.8810563,16075144344.79568,1533581046.442476
China,Sector,Other land transport,195445683939.45712,1212693196.7597325,7575343570.601683,210198733.89411867
China,Sector,Other non-ferrous metal production,559802344.8099914,18188480.71381833,104887377.5409626,10004688.31892347
China,Sector,Other service activities (93),125275839548.1944,1765926337.840449,3898995247.141092,369549395.84928554
China,Sector,P- and other fertiliser,747155003.763224,3908538.7880168823,94496018.04224835,724837.6153218604
China,Sector,Paper,18671560217.862576,45495878.54603328,5938373847.278136,39561663.96054855
China,Sector,Petroleum Refinery,155204094281.73755,7705351289.643982,17046551836.9586,65492639.596415
China,Sector,Pigs farming,6116644179.489996,28189602.79186949,48209638.512331985,21197329.48143623
China,Sector,"Plastics, basic",139015323525.08087,419920972.3696946,1994808093.8864794,57035872.67010376
China,Sector,Post and telecommunications (64),292423145577.30585,266852227.93940493,7077163019.3736515,52454472.79587339
China,Sector,Poultry farming,21978873791.6704,19430727.144512907,45469244.01706587,14548718.923165452
China,Sector,Precious metals production,1195650122.630611,15879166.06948255,277391095.6258131,4331373.856767285
China,Sector,Private households with employed persons (95),25997905352.45446,10652834246.670803,20182777354.749317,2355363198.9754806
China,Sector,Processed rice,2022779918.0040207,18411345.693416804,158929938.2750018,3594760.203046255
China,Sector,Processing of Food products nec,251845034850.83356,3501673912.368097,19037805428.462086,529972001.49327904
China,Sector,Processing of dairy products,81759614738.71692,466053957.2817123,5765324910.182327,15161011.768019447
China,Sector,Processing of meat cattle,28019910365.923347,72702367.74395671,1334986492.811378,23613778.58383184
China,Sector,Processing of meat pigs,33780687477.85791,83582773.09143579,2139730939.975084,135747535.87850603
China,Sector,Processing of meat poultry,36648078601.85429,12163482.948742228,931656713.8973403,8251417.915185387
China,Sector,Processing of nuclear fuel,3360183295.414427,1579557.2320158158,422542462.38325226,119288.82530045221
China,Sector,Processing vegetable oils and fats,11773937270.143864,194751349.99406564,1331285441.6787448,26062706.50529733
China,Sector,Production of electricity by Geothermal,257634352.30297154,90294.28247243946,453434.5895105884,16636.327439604545
China,Sector,Production of electricity by biomass and waste,1460188636.2108693,1193275.8766321903,8306570.917921287,594655.1713366848
China,Sector,Production of electricity by coal,39275302748.50048,16389412.101651968,111449467.81823567,9108784.612794584
China,Sector,Production of electricity by gas,9736012933.777546,24599342.862462327,140259693.17149803,9622938.077248152
China,Sector,Production of electricity by hydro,14583345998.628391,2464713.6612081747,15508373.290012415,1097000.674593754
