Region,,,China,EU27,RoW,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption,Final consumption,Final consumption,Final consumption
Region,Level,Item,,,,
China,Sector,Activities auxiliary to financial intermediation (67),26710509817.441017,29990887.498742767,1173507051.0257018,7111328.982002914
China,Sector,Activities of membership organisation n.e.c. (91),202851737028.81854,50185641.45066952,358166829.619897,94420108.82428779
China,Sector,Air transport (62),82934639246.5696,12640522544.550423,12115909695.557493,10576506.92426823
China,Sector,Aluminium production,1552581768.575665,32066168.839322224,209962723.70630464,17116115.851157937
China,Sector,Animal products nec,386873961.9519863,6510591.55926124,21450178.924837083,3522250.8399316766
China,Sector,"Biogasification of food waste, incl. land application",1102967188.998645,143020.2548315069,28258460.149558477,1976879.0701656418
China,Sector,"Biogasification of paper, incl. land application",116784915.64058317,18588.319461176467,1772720.6731139082,757621.1848313404
China,Sector,"Biogasification of sewage slugde, incl. land application",6365080091.253832,59496818.75485141,95662267.07533976,6653123.491929904
China,Sector,Casting of metals,2028281302.2921352,48498137.34176277,194831564.16873315,18545391.369925156
China,Sector,Cattle farming,5497727170.52185,63635232.02594075,151133163.34762338,39019807.88401181
China,Sector,Chemicals nec,18285963390.857086,7286756215.297357,23657668431.65923,341861970.28304446
China,Sector,"Collection, purification and distribution of water (41)",45791574767.40136,24391284.63880943,154807580.6011723,9076616.649062581
China,Sector,"Composting of food waste, incl. land application",7003234757.467924,9363031.983575843,200265011.51360294,8110016.151171815
China,Sector,"Composting of paper and wood, incl. land application",25491693.33325035,1512.6259003362786,6740.559284800706,590.1518463665898
China,Sector,Computer and related activities (72),138713168364.62753,2642455220.6745706,18413103310.65344,35250173.18675867
China,Sector,Construction (45),1312911200201.9734,1320939413.2320962,16490873364.512835,1953283416.3953826
China,Sector,Copper production,2644884820.1597424,45746568.11145825,325993368.7277483,37969856.5434958
China,Sector,Cultivation of cereal grains nec,4798923472.573468,1246371.421148012,197161613.22158396,396366.20918500016
China,Sector,Cultivation of crops nec,9917238219.189386,108664120.03014879,2258361616.1079054,21943993.923692588
China,Sector,Cultivation of oil seeds,4855785609.120128,68746.49726545029,19901263.78290726,199159.4858978925
China,Sector,Cultivation of paddy rice,835377847.1803417,2361.707291443512,129065.81882367024,89.88117527170493
China,Sector,Cultivation of plant-based fibers,400309234.0745105,61565.33450575687,1254556.0224468673,8586854.589854175
China,Sector,"Cultivation of sugar cane, sugar beet",399530216.56846994,14323.283692273606,86424.03729628735,2393.5750850627414
China,Sector,"Cultivation of vegetables, fruit, nuts",69598978068.42798,531150223.77087206,4001269436.086474,16128044.09401025
China,Sector,Cultivation of wheat,12462735519.015657,3105465.8182485877,487411305.368303,1127596.0510536805
China,Sector,Distribution and trade of electricity,93634301250.95258,45829418.01574263,302102724.9217418,24535549.567568164
China,Sector,Education (80),751471832990.6302,733990746.513306,4801741335.901764,631696061.107235
China,Sector,Extra-territorial organizations and bodies,5498.982841400337,0.0,0.0,0.0
China,Sector,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",2434443510.3975506,116330950.22350259,107825881.9268152,6531014.836324529
China,Sector,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",13494482006.411041,43364829.334530145,170357375.8504485,11808008.279271409
China,Sector,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",40567544.649440005,124017.30123455862,742803.7705718294,53626.89366882463
China,Sector,"Financial intermediation, except insurance and pension funding (65)",157769284035.87936,2744495318.7873445,20186830110.744644,101580005.12261677
China,Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",10360648885.213268,23641424.33158365,282236682.3531402,7639260.953283784
China,Sector,"Forestry, logging and related service activities (02)",11931550052.514412,9690774.901525063,198530696.8031537,80634196.38837056
China,Sector,Health and social work (85),1250979206700.761,1488957035.9696677,7375922298.1682205,1020757111.3242214
China,Sector,Hotels and restaurants (55),626440894321.9711,27265149959.72928,63258470618.23932,6891457664.871788
China,Sector,Incineration of waste: Food,3968767439.4202023,73299292.16165932,108248428.1017731,198931.57650148042
China,Sector,Incineration of waste: Metals and Inert materials,6429800205.460465,4366404.031037121,45128603.84369236,16236588.219445992
China,Sector,Incineration of waste: Oil/Hazardous waste,4999279296.414779,1342025.8229236945,84350200.29302293,258953.1149131972
China,Sector,Incineration of waste: Paper,5083020433.589011,71100910.70786822,119569290.9251376,189791.82566372986
China,Sector,Incineration of waste: Plastic,4756190635.465766,18802162.328152448,29485354.113287956,102730.3203466494
China,Sector,Incineration of waste: Textiles,810507134.6850092,1544781.6706966977,11096503.624822278,31226.81403734416
China,Sector,Incineration of waste: Wood,2409716294.378753,5344182.554392081,25185663.873806648,84373.3118018918
China,Sector,Inland water transport,4946552404.110713,26270440.992664166,112577999.1537892,1300500.1992835794
China,Sector,"Insurance and pension funding, except compulsory social security (66)",198722620793.61404,4475262944.355237,4437114522.789049,4468802352.004885
China,Sector,Landfill of waste: Food,5188757899.35047,2062116.8069563045,55014106.12216549,420290.59157323965
China,Sector,Landfill of waste: Inert/metal/hazardous,5347071861.977455,6054160.814440396,162007583.5861833,540239.1622109794
China,Sector,Landfill of waste: Paper,3031485847.8452563,1980887.3229377533,120034213.37185733,349555.47356173064
China,Sector,Landfill of waste: Plastic,1001840543.8687265,1575260.0497890986,29815915.970487423,85957.7363594936
China,Sector,Landfill of waste: Textiles,469153065.11950433,364554.2763970804,7003187.912414793,56068.3387819705
China,Sector,Landfill of waste: Wood,847119492.7784605,591701.2952445591,10098119.448385049,87540.49118086527
China,Sector,"Lead, zinc and tin production",1992725357.1294339,20044924.172164615,138046369.19499874,7389379.679009034
China,Sector,Manufacture of LFP batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of NCA batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of NMC batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,4305201712.926054,143051732.5685039,910951809.2458787,45586679.844066024
China,Sector,Manufacture of beverages,76597225810.96857,3542520946.0454807,10017407176.21866,178344613.0438746
China,Sector,"Manufacture of bricks, tiles and construction products, in baked clay",883659083.7548481,7862350.642877744,35402397.72780303,1997146.386828942
China,Sector,"Manufacture of cement, lime and plaster",3945030576.2374945,67595961.29865171,298291777.66558695,17675678.29870759
China,Sector,Manufacture of ceramic goods,10216078372.75939,524288607.7320647,1120199901.299742,4218387.574707334
China,Sector,Manufacture of coke oven products,553223705.806304,4644414.055784159,105233692.71336325,322425.8622426648
China,Sector,Manufacture of electrical machinery and apparatus n.e.c. (31),69789405372.3351,4371057121.463464,23799895947.691032,1364488784.2566006
China,Sector,"Manufacture of fabricated metal products, except machinery and equipment (28)",89582119147.88098,2739480278.4090176,18370459498.194088,1334811085.0291681
China,Sector,Manufacture of fish products,4229792348.0857606,169019440.97553208,2222904290.5331206,222994248.1754723
China,Sector,Manufacture of furniture; manufacturing n.e.c. (36),115493481848.19202,6341339407.244315,18150172504.55553,547446674.7456771
China,Sector,Manufacture of gas; distribution of gaseous fuels through mains,29636726165.772934,18618094.905160498,116297266.2752968,9431269.81773094
China,Sector,Manufacture of glass and glass products,904524379.1683707,202093303.7829413,296145655.7241661,4578535.694509045
China,Sector,Manufacture of machinery and equipment n.e.c. (29),239415783511.5658,22488557191.809734,124125294891.54234,16622960619.15249
China,Sector,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",64991924839.09038,8364280402.770859,23309956371.808258,285315351.467978
China,Sector,"Manufacture of motor vehicles, trailers and semi-trailers (34)",285787802030.80536,24723390262.730965,90632087350.47717,20495692386.737408
China,Sector,Manufacture of office machinery and computers (30),21111424088.053097,1327006697.9385128,6388840770.687111,268444647.0365789
China,Sector,Manufacture of other non-metallic mineral products n.e.c.,12066299074.481915,216123904.4916917,1132927108.0386202,6824701.797768958
China,Sector,Manufacture of other transport equipment (35),67557241562.72687,9816221904.796322,31450465476.76835,3828002186.9914813
China,Sector,"Manufacture of radio, television and communication equipment and apparatus (32)",64412281781.29362,2189335000.2467604,23541388690.924076,325006350.6410528
China,Sector,Manufacture of rubber and plastic products (25),42425928160.45798,1872375302.907293,6411369708.062409,233186465.97724295
China,Sector,Manufacture of textiles (17),48419488886.42066,1272773937.616785,7780128074.927396,43396398.774735674
China,Sector,Manufacture of tobacco products (16),16285731717.097178,38573177.089025594,3680179542.7825913,2600716.9053356377
China,Sector,Manufacture of wearing apparel; dressing and dyeing of fur (18),77808979479.82193,1666716284.4463267,12329273332.971975,363410304.5031296
China,Sector,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",21070539195.054302,187396977.44677785,1624971447.9953623,12850838.802653223
China,Sector,"Manure treatment (biogas), storage and land application",26424.15631721675,0.0366363376436545,3.7924092872849178,0.0
China,Sector,"Manure treatment (conventional), storage and land application",26462.099755048377,0.03668894513594574,3.797854950120723,0.0
China,Sector,Meat animals nec,4397302312.468062,102300503.60567933,188082371.01786223,29706951.240879443
China,Sector,Mining of aluminium ores and concentrates,25895343.54671939,5816.514246055251,88631.15175944079,10440.408290622201
China,Sector,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",3377206343.747961,329300389.9230062,869990984.2201395,23000575.27547786
China,Sector,Mining of coal and lignite; extraction of peat (10),6047835134.890635,13919495.061863251,83100082.60481277,2565882.7049384797
China,Sector,Mining of copper ores and concentrates,426942059.48868096,2715507.6903449404,122212252.52954735,623359.8942656914
China,Sector,Mining of iron ores,39751072.814183004,29631.53040456203,470336.358569615,12020.116654136835
China,Sector,"Mining of lead, zinc and tin ores and concentrates",896420160.6274742,279985.68413365306,20665528.388385113,58385.391102445064
China,Sector,Mining of nickel ores and concentrates,1488710.1701821687,2582.923357230989,124376.55505898476,71669.08524086323
China,Sector,Mining of other non-ferrous metal ores and concentrates,75540309.14240009,140757.46639418128,3980101.92403094,811106.3559218934
China,Sector,Mining of precious metal ores and concentrates,32286023.60731888,92475.50793975817,1149598.7255456732,77806.12838649318
China,Sector,Mining of uranium and thorium ores (12),81727949.25653315,869570.810636392,2895912.3907334697,76227.01483341161
China,Sector,N-fertiliser,94263788.99667512,811383.2717167486,11167140.691195074,59490.079915701346
China,Sector,Other business activities (74),271849412863.17343,2536958344.8810563,16075144344.795677,1533581046.442476
China,Sector,Other land transport,195445683939.45706,1212693196.7597322,7575343570.601681,210198733.8941186
China,Sector,Other non-ferrous metal production,559802344.8099914,18188480.713818327,104887377.54096259,10004688.318923468
China,Sector,Other service activities (93),125275839548.19437,1765926337.840447,3898995247.1410875,369549395.84928507
China,Sector,P- and other fertiliser,747155003.763223,3908538.7880168823,94496018.04224825,724837.6153218602
China,Sector,Paper,18671560217.862576,45495878.5460333,5938373847.278137,39561663.96054855
China,Sector,Petroleum Refinery,155204094281.73758,7705351289.643983,17046551836.958595,65492639.596414976
China,Sector,Pigs farming,6116644179.489994,28189602.79186945,48209638.512331925,21197329.481436204
China,Sector,"Plastics, basic",139015323525.0808,419920972.3696947,1994808093.8864784,57035872.67010374
China,Sector,Post and telecommunications (64),292423145577.30585,266852227.93940485,7077163019.373651,52454472.7958734
China,Sector,Poultry farming,21978873791.670414,19430727.144512884,45469244.01706585,14548718.92316544
China,Sector,Precious metals production,1195650122.630611,15879166.06948255,277391095.6258132,4331373.856767283
China,Sector,Private households with employed persons (95),25997905352.45443,10652834246.67079,20182777354.749294,2355363198.9754777
China,Sector,Processed rice,2022779918.0040212,18411345.69341681,158929938.27500182,3594760.203046254
China,Sector,Processing of Food products nec,251845034850.83347,3501673912.368099,19037805428.46209,529972001.49327886
China,Sector,Processing of dairy products,81759614738.71695,466053957.28171235,5765324910.182329,15161011.768019445
China,Sector,Processing of meat cattle,28019910365.923332,72702367.7439567,1334986492.8113775,23613778.583831836
China,Sector,Processing of meat pigs,33780687477.857933,83582773.09143578,2139730939.9750855,135747535.87850618
China,Sector,Processing of meat poultry,36648078601.85425,12163482.948742226,931656713.8973392,8251417.915185381
China,Sector,Processing of nuclear fuel,3360183295.4144206,1579557.232015816,422542462.3832515,119288.8253004522
China,Sector,Processing vegetable oils and fats,11773937270.143866,194751349.99406576,1331285441.6787457,26062706.505297326
China,Sector,Production of electricity by Geothermal,206602732.4259308,90294.28247243936,453434.58951058774,16636.32743960452
China,Sector,Production of electricity by biomass and waste,2832980835.14894,1193275.8766321896,8306570.917921285,594655.1713366848
China,Sector,Production of electricity by coal,12633926803.341042,16389412.101651965,111449467.81823562,9108784.61279458
China,Sector,Production of electricity by gas,6013666655.35129,24599342.86246231,140259693.17149788,9622938.077248145
China,Sector,Production of electricity by hydro,11731978145.278723,2464713.6612081733,15508373.290012412,1097000.6745937539
