Region,,,China,EU27,RoW,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption,Final consumption,Final consumption,Final consumption
Region,Level,Item,,,,
China,Sector,Activities auxiliary to financial intermediation (67),26710509817.440994,29990887.498742774,1173507051.0257008,7111328.982002912
China,Sector,Activities of membership organisation n.e.c. (91),202851737028.81854,50185641.45066952,358166829.619897,94420108.82428779
China,Sector,Air transport (62),82934639246.56947,12640522544.550402,12115909695.557474,10576506.924268233
China,Sector,Aluminium production,1552581768.5756652,32066168.839322235,209962723.70630467,17116115.851157937
China,Sector,Animal products nec,386873961.9519863,6510591.559261241,21450178.924837094,3522250.8399316794
China,Sector,"Biogasification of food waste, incl. land application",1102967188.9986448,143020.2548315069,28258460.14955847,1976879.0701656414
China,Sector,"Biogasification of paper, incl. land application",116784915.6405832,18588.319461176467,1772720.6731139084,757621.1848313407
China,Sector,"Biogasification of sewage slugde, incl. land application",6365080091.253826,59496818.75485136,95662267.07533967,6653123.491929898
China,Sector,Casting of metals,2028281302.2921333,48498137.34176278,194831564.1687332,18545391.36992516
China,Sector,Cattle farming,5497727170.521846,63635232.025940746,151133163.3476234,39019807.88401187
China,Sector,Chemicals nec,18285963390.85709,7286756215.297358,23657668431.659233,341861970.2830445
China,Sector,"Collection, purification and distribution of water (41)",45791574767.401344,24391284.638809443,154807580.6011723,9076616.64906258
China,Sector,"Composting of food waste, incl. land application",7003234757.467922,9363031.983575843,200265011.51360294,8110016.151171814
China,Sector,"Composting of paper and wood, incl. land application",25491693.33325036,1512.6259003362782,6740.559284800706,590.1518463665898
China,Sector,Computer and related activities (72),138713168364.6276,2642455220.674572,18413103310.653446,35250173.18675867
China,Sector,Construction (45),1312911200201.9734,1320939413.2320964,16490873364.512835,1953283416.3953826
China,Sector,Copper production,2644884820.159743,45746568.11145825,325993368.72774833,37969856.543495804
China,Sector,Cultivation of cereal grains nec,4798923472.573463,1246371.4211480115,197161613.2215838,396366.20918500004
China,Sector,Cultivation of crops nec,9917238219.189383,108664120.03014877,2258361616.1079044,21943993.92369259
China,Sector,Cultivation of oil seeds,4855785609.120124,68746.49726545026,19901263.78290724,199159.48589789233
China,Sector,Cultivation of paddy rice,835377847.1803414,2361.707291443511,129065.81882367018,89.881175271705
China,Sector,Cultivation of plant-based fibers,400309234.07451093,61565.334505756924,1254556.0224468687,8586854.589854183
China,Sector,"Cultivation of sugar cane, sugar beet",399530216.5684696,14323.283692273608,86424.03729628738,2393.575085062742
China,Sector,"Cultivation of vegetables, fruit, nuts",69598978068.42795,531150223.7708718,4001269436.0864725,16128044.094010245
China,Sector,Cultivation of wheat,12462735519.015648,3105465.818248586,487411305.3683027,1127596.05105368
China,Sector,Distribution and trade of electricity,93634301250.95255,45829418.01574263,302102724.9217418,24535549.567568164
China,Sector,Education (80),751471832990.6299,733990746.5133059,4801741335.901761,631696061.1072346
China,Sector,Extra-territorial organizations and bodies,5498.982841400341,0.0,0.0,0.0
China,Sector,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",2434443510.397551,116330950.22350264,107825881.92681523,6531014.836324531
China,Sector,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",13494482006.411045,43364829.33453014,170357375.85044852,11808008.279271413
China,Sector,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",40567544.64944002,124017.30123455865,742803.7705718295,53626.89366882465
China,Sector,"Financial intermediation, except insurance and pension funding (65)",157769284035.87936,2744495318.787344,20186830110.74464,101580005.12261677
China,Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",10360648885.213276,23641424.331583645,282236682.3531403,7639260.953283789
China,Sector,"Forestry, logging and related service activities (02)",11931550052.514414,9690774.901525065,198530696.8031537,80634196.38837057
China,Sector,Health and social work (85),1250979206700.7617,1488957035.9696686,7375922298.168224,1020757111.3242218
China,Sector,Hotels and restaurants (55),626440894321.9712,27265149959.729286,63258470618.239334,6891457664.871788
China,Sector,Incineration of waste: Food,3968767439.4202046,73299292.16165936,108248428.10177316,198931.57650148048
China,Sector,Incineration of waste: Metals and Inert materials,6429800205.4604645,4366404.031037121,45128603.84369236,16236588.219445989
China,Sector,Incineration of waste: Oil/Hazardous waste,4999279296.414783,1342025.8229236945,84350200.29302298,258953.11491319732
China,Sector,Incineration of waste: Paper,5083020433.589012,71100910.70786823,119569290.92513764,189791.82566372992
China,Sector,Incineration of waste: Plastic,4756190635.465763,18802162.328152437,29485354.113287937,102730.32034664945
China,Sector,Incineration of waste: Textiles,810507134.6850095,1544781.6706966977,11096503.624822281,31226.814037344167
China,Sector,Incineration of waste: Wood,2409716294.378753,5344182.554392081,25185663.873806648,84373.31180189183
China,Sector,Inland water transport,4946552404.110715,26270440.992664177,112577999.15378925,1300500.1992835798
China,Sector,"Insurance and pension funding, except compulsory social security (66)",198722620793.61392,4475262944.355234,4437114522.789047,4468802352.004882
China,Sector,Landfill of waste: Food,5188757899.350462,2062116.8069563038,55014106.12216542,420290.5915732397
China,Sector,Landfill of waste: Inert/metal/hazardous,5347071861.977455,6054160.814440396,162007583.5861833,540239.1622109794
China,Sector,Landfill of waste: Paper,3031485847.8452578,1980887.322937754,120034213.37185739,349555.47356173076
China,Sector,Landfill of waste: Plastic,1001840543.8687273,1575260.0497890997,29815915.97048745,85957.73635949363
China,Sector,Landfill of waste: Textiles,469153065.11950433,364554.2763970804,7003187.912414793,56068.33878197051
China,Sector,Landfill of waste: Wood,847119492.7784604,591701.295244559,10098119.448385047,87540.49118086528
China,Sector,"Lead, zinc and tin production",1992725357.1294355,20044924.17216462,138046369.19499883,7389379.679009036
China,Sector,Manufacture of LFP batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of NCA batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of NMC batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,4305201712.926054,143051732.56850386,910951809.2458783,45586679.844066024
China,Sector,Manufacture of beverages,76597225810.96857,3542520946.0454793,10017407176.218657,178344613.04387462
China,Sector,"Manufacture of bricks, tiles and construction products, in baked clay",883659083.7548481,7862350.6428777445,35402397.72780304,1997146.3868289425
China,Sector,"Manufacture of cement, lime and plaster",3945030576.2374935,67595961.29865171,298291777.665587,17675678.298707597
China,Sector,Manufacture of ceramic goods,10216078372.759392,524288607.7320648,1120199901.2997422,4218387.574707335
China,Sector,Manufacture of coke oven products,553223705.8063037,4644414.055784159,105233692.7133632,322425.86224266485
China,Sector,Manufacture of electrical machinery and apparatus n.e.c. (31),69789405372.3351,4371057121.463465,23799895947.691036,1364488784.256601
China,Sector,"Manufacture of fabricated metal products, except machinery and equipment (28)",89582119147.88097,2739480278.4090176,18370459498.19409,1334811085.0291684
China,Sector,Manufacture of fish products,4229792348.085765,169019440.97553223,2222904290.533123,222994248.17547253
China,Sector,Manufacture of furniture; manufacturing n.e.c. (36),115493481848.19197,6341339407.244313,18150172504.555527,547446674.745677
China,Sector,Manufacture of gas; distribution of gaseous fuels through mains,29636726165.772923,18618094.9051605,116297266.2752968,9431269.81773094
China,Sector,Manufacture of glass and glass products,904524379.1683708,202093303.78294137,296145655.72416615,4578535.694509046
China,Sector,Manufacture of machinery and equipment n.e.c. (29),239415783511.56598,22488557191.80975,124125294891.54243,16622960619.152504
China,Sector,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",64991924839.0904,8364280402.770864,23309956371.80827,285315351.4679782
China,Sector,"Manufacture of motor vehicles, trailers and semi-trailers (34)",285787802030.80536,24723390262.730965,90632087350.47719,20495692386.737408
China,Sector,Manufacture of office machinery and computers (30),21111424088.05309,1327006697.9385126,6388840770.68711,268444647.03657883
China,Sector,Manufacture of other non-metallic mineral products n.e.c.,12066299074.481918,216123904.49169183,1132927108.0386207,6824701.797768961
China,Sector,Manufacture of other transport equipment (35),67557241562.72688,9816221904.796322,31450465476.76835,3828002186.991482
China,Sector,"Manufacture of radio, television and communication equipment and apparatus (32)",64412281781.29358,2189335000.2467594,23541388690.92406,325006350.6410528
China,Sector,Manufacture of rubber and plastic products (25),42425928160.45797,1872375302.9072926,6411369708.062408,233186465.97724298
China,Sector,Manufacture of textiles (17),48419488886.42069,1272773937.6167858,7780128074.927401,43396398.77473569
China,Sector,Manufacture of tobacco products (16),16285731717.097178,38573177.089025594,3680179542.7825913,2600716.9053356387
China,Sector,Manufacture of wearing apparel; dressing and dyeing of fur (18),77808979479.82196,1666716284.4463272,12329273332.97198,363410304.50312966
China,Sector,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",21070539195.05431,187396977.44677788,1624971447.9953628,12850838.802653225
China,Sector,"Manure treatment (biogas), storage and land application",26424.15631721674,0.03663633764365449,3.792409287284916,0.0
China,Sector,"Manure treatment (conventional), storage and land application",26462.099755048366,0.03668894513594573,3.7978549501207213,0.0
China,Sector,Meat animals nec,4397302312.468063,102300503.60567933,188082371.01786232,29706951.240879465
China,Sector,Mining of aluminium ores and concentrates,25895343.546719402,5816.514246055251,88631.1517594408,10440.408290622207
China,Sector,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",3377206343.74796,329300389.923006,869990984.2201395,23000575.275477882
China,Sector,Mining of coal and lignite; extraction of peat (10),6047835134.890635,13919495.061863253,83100082.6048128,2565882.70493848
China,Sector,Mining of copper ores and concentrates,426942059.48868096,2715507.6903449404,122212252.52954736,623359.8942656914
China,Sector,Mining of iron ores,39751072.814183034,29631.530404562025,470336.3585696149,12020.116654136838
China,Sector,"Mining of lead, zinc and tin ores and concentrates",896420160.627475,279985.68413365306,20665528.38838513,58385.39110244507
China,Sector,Mining of nickel ores and concentrates,1488710.1701821692,2582.923357230989,124376.55505898478,71669.08524086329
China,Sector,Mining of other non-ferrous metal ores and concentrates,75540309.1424001,140757.46639418125,3980101.92403094,811106.3559218936
China,Sector,Mining of precious metal ores and concentrates,32286023.607318863,92475.50793975819,1149598.7255456732,77806.12838649318
China,Sector,Mining of uranium and thorium ores (12),81727949.25653313,869570.810636392,2895912.3907334707,76227.01483341164
China,Sector,N-fertiliser,94263788.99667513,811383.2717167485,11167140.691195078,59490.07991570136
China,Sector,Other business activities (74),271849412863.1734,2536958344.8810563,16075144344.795677,1533581046.442476
China,Sector,Other land transport,195445683939.45712,1212693196.7597325,7575343570.601684,210198733.89411867
China,Sector,Other non-ferrous metal production,559802344.8099914,18188480.71381833,104887377.54096259,10004688.31892347
China,Sector,Other service activities (93),125275839548.19455,1765926337.8404472,3898995247.1410894,369549395.8492851
China,Sector,P- and other fertiliser,747155003.7632232,3908538.7880168827,94496018.04224826,724837.6153218604
China,Sector,Paper,18671560217.86258,45495878.54603329,5938373847.278138,39561663.96054855
China,Sector,Petroleum Refinery,155204094281.73755,7705351289.643982,17046551836.958597,65492639.59641499
China,Sector,Pigs farming,6116644179.489998,28189602.791869454,48209638.51233198,21197329.481436238
China,Sector,"Plastics, basic",139015323525.08075,419920972.36969477,1994808093.8864784,57035872.67010376
China,Sector,Post and telecommunications (64),292423145577.3059,266852227.9394049,7077163019.373652,52454472.79587341
China,Sector,Poultry farming,21978873791.670418,19430727.14451288,45469244.01706588,14548718.923165457
China,Sector,Precious metals production,1195650122.630611,15879166.069482554,277391095.6258132,4331373.856767285
China,Sector,Private households with employed persons (95),25997905352.454433,10652834246.670794,20182777354.749302,2355363198.975478
China,Sector,Processed rice,2022779918.0040207,18411345.693416804,158929938.2750018,3594760.203046254
China,Sector,Processing of Food products nec,251845034850.83356,3501673912.3680983,19037805428.46209,529972001.493279
China,Sector,Processing of dairy products,81759614738.71692,466053957.28171223,5765324910.182327,15161011.768019445
China,Sector,Processing of meat cattle,28019910365.92334,72702367.7439567,1334986492.8113775,23613778.583831836
China,Sector,Processing of meat pigs,33780687477.857925,83582773.09143579,2139730939.9750848,135747535.87850612
China,Sector,Processing of meat poultry,36648078601.85427,12163482.948742228,931656713.8973399,8251417.915185384
China,Sector,Processing of nuclear fuel,3360183295.4144235,1579557.2320158165,422542462.3832518,119288.82530045221
China,Sector,Processing vegetable oils and fats,11773937270.143864,194751349.9940657,1331285441.6787453,26062706.505297333
China,Sector,Production of electricity by Geothermal,170994273.80325878,90294.28247243934,453434.5895105877,16636.32743960452
China,Sector,Production of electricity by biomass and waste,3305131067.5029793,1193275.87663219,8306570.917921286,594655.171336685
China,Sector,Production of electricity by coal,25091582704.514008,16389412.101651965,111449467.81823564,9108784.612794582
China,Sector,Production of electricity by gas,31202207897.57754,24599342.862462312,140259693.17149794,9622938.077248147
China,Sector,Production of electricity by hydro,7424151232.941987,2464713.6612081737,15508373.29001241,1097000.674593754
