,,unit
Sector,Activities auxiliary to financial intermediation (67),EUR
Sector,Activities of membership organisation n.e.c. (91),EUR
Sector,Air transport (62),EUR
Sector,Aluminium production,EUR
Sector,Animal products nec,EUR
Sector,"Biogasification of food waste, incl. land application",EUR
Sector,"Biogasification of paper, incl. land application",EUR
Sector,"Biogasification of sewage slugde, incl. land application",EUR
Sector,Casting of metals,EUR
Sector,Cattle farming,EUR
Sector,Chemicals nec,EUR
Sector,"Collection, purification and distribution of water (41)",EUR
Sector,"Composting of food waste, incl. land application",EUR
Sector,"Composting of paper and wood, incl. land application",EUR
Sector,Computer and related activities (72),EUR
Sector,Construction (45),EUR
Sector,Copper production,EUR
Sector,Cultivation of cereal grains nec,EUR
Sector,Cultivation of crops nec,EUR
Sector,Cultivation of oil seeds,EUR
Sector,Cultivation of paddy rice,EUR
Sector,Cultivation of plant-based fibers,EUR
Sector,"Cultivation of sugar cane, sugar beet",EUR
Sector,"Cultivation of vegetables, fruit, nuts",EUR
Sector,Cultivation of wheat,EUR
Sector,Distribution and trade of electricity,EUR
Sector,Education (80),EUR
Sector,Extra-territorial organizations and bodies,EUR
Sector,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",EUR
Sector,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",EUR
Sector,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",EUR
Sector,"Financial intermediation, except insurance and pension funding (65)",EUR
Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",EUR
Sector,"Forestry, logging and related service activities (02)",EUR
Sector,Health and social work (85),EUR
Sector,Hotels and restaurants (55),EUR
Sector,Incineration of waste: Food,EUR
Sector,Incineration of waste: Metals and Inert materials,EUR
Sector,Incineration of waste: Oil/Hazardous waste,EUR
Sector,Incineration of waste: Paper,EUR
Sector,Incineration of waste: Plastic,EUR
Sector,Incineration of waste: Textiles,EUR
Sector,Incineration of waste: Wood,EUR
Sector,Inland water transport,EUR
Sector,"Insurance and pension funding, except compulsory social security (66)",EUR
Sector,Landfill of waste: Food,EUR
Sector,Landfill of waste: Inert/metal/hazardous,EUR
Sector,Landfill of waste: Paper,EUR
Sector,Landfill of waste: Plastic,EUR
Sector,Landfill of waste: Textiles,EUR
Sector,Landfill of waste: Wood,EUR
Sector,"Lead, zinc and tin production",EUR
Sector,Manufacture of LFP batteries,EUR
Sector,Manufacture of NCA batteries,EUR
Sector,Manufacture of NMC batteries,EUR
Sector,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,EUR
Sector,Manufacture of beverages,EUR
Sector,"Manufacture of bricks, tiles and construction products, in baked clay",EUR
Sector,"Manufacture of cement, lime and plaster",EUR
Sector,Manufacture of ceramic goods,EUR
Sector,Manufacture of coke oven products,EUR
Sector,Manufacture of electrical machinery and apparatus n.e.c. (31),EUR
Sector,"Manufacture of fabricated metal products, except machinery and equipment (28)",EUR
Sector,Manufacture of fish products,EUR
Sector,Manufacture of furniture; manufacturing n.e.c. (36),EUR
Sector,Manufacture of gas; distribution of gaseous fuels through mains,EUR
Sector,Manufacture of glass and glass products,EUR
Sector,Manufacture of machinery and equipment n.e.c. (29),EUR
Sector,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",EUR
Sector,"Manufacture of motor vehicles, trailers and semi-trailers (34)",EUR
Sector,Manufacture of office machinery and computers (30),EUR
Sector,Manufacture of other non-metallic mineral products n.e.c.,EUR
Sector,Manufacture of other transport equipment (35),EUR
Sector,"Manufacture of radio, television and communication equipment and apparatus (32)",EUR
Sector,Manufacture of rubber and plastic products (25),EUR
Sector,Manufacture of textiles (17),EUR
Sector,Manufacture of tobacco products (16),EUR
Sector,Manufacture of wearing apparel; dressing and dyeing of fur (18),EUR
Sector,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",EUR
Sector,"Manure treatment (biogas), storage and land application",EUR
Sector,"Manure treatment (conventional), storage and land application",EUR
Sector,Meat animals nec,EUR
Sector,Mining of aluminium ores and concentrates,EUR
Sector,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",EUR
Sector,Mining of coal and lignite; extraction of peat (10),EUR
Sector,Mining of copper ores and concentrates,EUR
Sector,Mining of iron ores,EUR
Sector,"Mining of lead, zinc and tin ores and concentrates",EUR
Sector,Mining of nickel ores and concentrates,EUR
Sector,Mining of other non-ferrous metal ores and concentrates,EUR
Sector,Mining of precious metal ores and concentrates,EUR
Sector,Mining of uranium and thorium ores (12),EUR
Sector,N-fertiliser,EUR
Sector,Other business activities (74),EUR
Sector,Other land transport,EUR
Sector,Other non-ferrous metal production,EUR
Sector,Other service activities (93),EUR
Sector,P- and other fertiliser,EUR
Sector,Paper,EUR
Sector,Petroleum Refinery,EUR
Sector,Pigs farming,EUR
Sector,"Plastics, basic",EUR
Sector,Post and telecommunications (64),EUR
Sector,Poultry farming,EUR
Sector,Precious metals production,EUR
Sector,Private households with employed persons (95),EUR
Sector,Processed rice,EUR
Sector,Processing of Food products nec,EUR
Sector,Processing of dairy products,EUR
Sector,Processing of meat cattle,EUR
Sector,Processing of meat pigs,EUR
Sector,Processing of meat poultry,EUR
Sector,Processing of nuclear fuel,EUR
Sector,Processing vegetable oils and fats,EUR
Sector,Production of electricity by Geothermal,EUR
Sector,Production of electricity by biomass and waste,EUR
Sector,Production of electricity by coal,EUR
Sector,Production of electricity by gas,EUR
Sector,Production of electricity by hydro,EUR
Sector,Production of electricity by nuclear,EUR
Sector,Production of electricity by other RES,EUR
Sector,Production of electricity by petroleum and other oil derivatives,EUR
Sector,Production of electricity by solar photovoltaic,EUR
Sector,Production of electricity by wind,EUR
Sector,Production of meat products nec,EUR
Sector,Production of offshore wind plants,EUR
Sector,Production of onshore wind plants,EUR
Sector,Production of photovoltaic plants,EUR
Sector,Public administration and defence; compulsory social security (75),EUR
Sector,"Publishing, printing and reproduction of recorded media (22)",EUR
Sector,Pulp,EUR
Sector,Quarrying of sand and clay,EUR
Sector,Quarrying of stone,EUR
Sector,Raw milk,EUR
Sector,Re-processing of ash into clinker,EUR
Sector,Re-processing of secondary aluminium into new aluminium,EUR
Sector,Re-processing of secondary construction material into aggregates,EUR
Sector,Re-processing of secondary copper into new copper,EUR
Sector,Re-processing of secondary glass into new glass,EUR
Sector,"Re-processing of secondary lead into new lead, zinc and tin",EUR
Sector,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,EUR
Sector,Re-processing of secondary paper into new pulp,EUR
Sector,Re-processing of secondary plastic into new plastic,EUR
Sector,Re-processing of secondary preciuos metals into new preciuos metals,EUR
Sector,Re-processing of secondary steel into new steel,EUR
Sector,Re-processing of secondary wood material into new wood material,EUR
Sector,Real estate activities (70),EUR
Sector,"Recreational, cultural and sporting activities (92)",EUR
Sector,Recycling of bottles by direct reuse,EUR
Sector,Recycling of waste and scrap,EUR
Sector,Renting of machinery and equipment without operator and of personal and household goods (71),EUR
Sector,Research and development (73),EUR
Sector,Retail sale of automotive fuel,EUR
Sector,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",EUR
Sector,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",EUR
Sector,Sea and coastal water transport,EUR
Sector,Steam and hot water supply,EUR
Sector,Sugar refining,EUR
Sector,Supporting and auxiliary transport activities; activities of travel agencies (63),EUR
Sector,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",EUR
Sector,Transmission of electricity,EUR
Sector,Transport via pipelines,EUR
Sector,Transport via railways,EUR
Sector,"Waste water treatment, food",EUR
Sector,"Waste water treatment, other",EUR
Sector,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",EUR
Sector,"Wool, silk-worm cocoons",EUR
Factor of production,Value added,EUR
Satellite account,CH4,kg
Satellite account,CO2,kg
Satellite account,N2O,kg
