Region,,,China,EU27,RoW,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption,Final consumption,Final consumption,Final consumption
Region,Level,Item,,,,
China,Sector,Activities auxiliary to financial intermediation (67),26710509817.44103,29990887.498742744,1173507051.0257022,7111328.982002915
China,Sector,Activities of membership organisation n.e.c. (91),202851737028.8183,50185641.45066949,358166829.61989665,94420108.82428767
China,Sector,Air transport (62),82934639246.56964,12640522544.55043,12115909695.557499,10576506.924268235
China,Sector,Aluminium production,1552581768.5756645,32066168.839322224,209962723.70630455,17116115.851157922
China,Sector,Animal products nec,386873961.9519863,6510591.559261245,21450178.924837098,3522250.83993168
China,Sector,"Biogasification of food waste, incl. land application",1102967188.9986436,143020.2548315068,28258460.14955844,1976879.0701656393
China,Sector,"Biogasification of paper, incl. land application",116784915.64058341,18588.319461176456,1772720.6731139114,757621.1848313421
China,Sector,"Biogasification of sewage slugde, incl. land application",6365080091.2538185,59496818.75485129,95662267.07533957,6653123.49192989
China,Sector,Casting of metals,2028281302.2921324,48498137.34176277,194831564.16873315,18545391.369925145
China,Sector,Cattle farming,5497727170.521845,63635232.025940716,151133163.34762338,39019807.88401187
China,Sector,Chemicals nec,18285963390.857094,7286756215.2973585,23657668431.659237,341861970.2830446
China,Sector,"Collection, purification and distribution of water (41)",45791574767.40129,24391284.63880942,154807580.60117218,9076616.649062574
China,Sector,"Composting of food waste, incl. land application",7003234757.46792,9363031.983575843,200265011.51360288,8110016.151171812
China,Sector,"Composting of paper and wood, incl. land application",25491693.33325038,1512.6259003362768,6740.559284800702,590.1518463665892
China,Sector,Computer and related activities (72),138713168364.62732,2642455220.674566,18413103310.6534,35250173.186758645
China,Sector,Construction (45),1312911200201.972,1320939413.232095,16490873364.512817,1953283416.3953805
China,Sector,Copper production,2644884820.159742,45746568.111458234,325993368.7277481,37969856.54349577
China,Sector,Cultivation of cereal grains nec,4798923472.573452,1246371.4211480105,197161613.2215836,396366.20918499987
China,Sector,Cultivation of crops nec,9917238219.189384,108664120.03014886,2258361616.107905,21943993.92369258
China,Sector,Cultivation of oil seeds,4855785609.120112,68746.49726545015,19901263.782907195,199159.4858978919
China,Sector,Cultivation of paddy rice,835377847.1803409,2361.7072914435107,129065.81882367011,89.88117527170489
China,Sector,Cultivation of plant-based fibers,400309234.07451046,61565.334505756866,1254556.0224468673,8586854.589854173
China,Sector,"Cultivation of sugar cane, sugar beet",399530216.56846946,14323.28369227359,86424.03729628722,2393.575085062739
China,Sector,"Cultivation of vegetables, fruit, nuts",69598978068.4281,531150223.7708727,4001269436.086481,16128044.09401028
China,Sector,Cultivation of wheat,12462735519.015673,3105465.818248591,487411305.36830354,1127596.0510536816
China,Sector,Distribution and trade of electricity,93634301250.95259,45829418.0157426,302102724.92174155,24535549.567568146
China,Sector,Education (80),751471832990.6307,733990746.5133066,4801741335.901767,631696061.1072353
China,Sector,Extra-territorial organizations and bodies,5498.982841400346,0.0,0.0,0.0
China,Sector,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",2434443510.3975487,116330950.2235025,107825881.92681518,6531014.8363245325
China,Sector,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",13494482006.411053,43364829.334530175,170357375.85044855,11808008.279271415
China,Sector,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",40567544.649439976,124017.30123455853,742803.7705718287,53626.893668824574
China,Sector,"Financial intermediation, except insurance and pension funding (65)",157769284035.87958,2744495318.7873483,20186830110.74467,101580005.12261692
China,Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",10360648885.213263,23641424.331583682,282236682.3531401,7639260.953283784
China,Sector,"Forestry, logging and related service activities (02)",11931550052.514408,9690774.901525069,198530696.8031537,80634196.38837053
China,Sector,Health and social work (85),1250979206700.7593,1488957035.969666,7375922298.168211,1020757111.32422
China,Sector,Hotels and restaurants (55),626440894321.9723,27265149959.729336,63258470618.23945,6891457664.8718
China,Sector,Incineration of waste: Food,3968767439.420212,73299292.1616595,108248428.10177335,198931.57650148033
China,Sector,Incineration of waste: Metals and Inert materials,6429800205.460454,4366404.03103712,45128603.8436923,16236588.219445962
China,Sector,Incineration of waste: Oil/Hazardous waste,4999279296.414777,1342025.8229236938,84350200.29302289,258953.114913197
China,Sector,Incineration of waste: Paper,5083020433.589004,71100910.70786813,119569290.92513745,189791.82566372975
China,Sector,Incineration of waste: Plastic,4756190635.465764,18802162.328152444,29485354.113287948,102730.32034664933
China,Sector,Incineration of waste: Textiles,810507134.6850079,1544781.670696695,11096503.62482226,31226.814037344135
China,Sector,Incineration of waste: Wood,2409716294.378754,5344182.554392083,25185663.873806655,84373.31180189174
China,Sector,Inland water transport,4946552404.110712,26270440.992664166,112577999.1537892,1300500.1992835798
China,Sector,"Insurance and pension funding, except compulsory social security (66)",198722620793.6136,4475262944.355227,4437114522.78904,4468802352.004875
China,Sector,Landfill of waste: Food,5188757899.350459,2062116.8069563042,55014106.122165404,420290.5915732396
China,Sector,Landfill of waste: Inert/metal/hazardous,5347071861.977457,6054160.8144403985,162007583.58618337,540239.1622109795
China,Sector,Landfill of waste: Paper,3031485847.845255,1980887.3229377538,120034213.37185727,349555.47356173076
China,Sector,Landfill of waste: Plastic,1001840543.868727,1575260.049789099,29815915.970487434,85957.73635949356
China,Sector,Landfill of waste: Textiles,469153065.1195048,364554.2763970806,7003187.9124148,56068.33878197049
China,Sector,Landfill of waste: Wood,847119492.7784607,591701.2952445592,10098119.44838505,87540.49118086525
China,Sector,"Lead, zinc and tin production",1992725357.1294343,20044924.172164615,138046369.19499874,7389379.6790090315
China,Sector,Manufacture of LFP batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of NCA batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of NMC batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,4305201712.926058,143051732.56850398,910951809.2458798,45586679.84406604
China,Sector,Manufacture of beverages,76597225810.96857,3542520946.0454836,10017407176.218664,178344613.04387453
China,Sector,"Manufacture of bricks, tiles and construction products, in baked clay",883659083.754849,7862350.642877744,35402397.72780302,1997146.3868289404
China,Sector,"Manufacture of cement, lime and plaster",3945030576.2374926,67595961.29865171,298291777.6655868,17675678.298707582
China,Sector,Manufacture of ceramic goods,10216078372.759375,524288607.7320639,1120199901.2997403,4218387.574707331
China,Sector,Manufacture of coke oven products,553223705.8063029,4644414.055784159,105233692.71336296,322425.8622426649
China,Sector,Manufacture of electrical machinery and apparatus n.e.c. (31),69789405372.335,4371057121.463459,23799895947.691006,1364488784.2565994
China,Sector,"Manufacture of fabricated metal products, except machinery and equipment (28)",89582119147.88101,2739480278.409017,18370459498.194096,1334811085.029168
China,Sector,Manufacture of fish products,4229792348.085758,169019440.97553197,2222904290.533119,222994248.17547214
China,Sector,Manufacture of furniture; manufacturing n.e.c. (36),115493481848.19205,6341339407.244318,18150172504.555542,547446674.7456771
China,Sector,Manufacture of gas; distribution of gaseous fuels through mains,29636726165.772938,18618094.905160487,116297266.27529669,9431269.81773093
China,Sector,Manufacture of glass and glass products,904524379.1683705,202093303.78294146,296145655.7241662,4578535.694509042
China,Sector,Manufacture of machinery and equipment n.e.c. (29),239415783511.56567,22488557191.809723,124125294891.54227,16622960619.15248
China,Sector,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",64991924839.09044,8364280402.770867,23309956371.80828,285315351.4679779
China,Sector,"Manufacture of motor vehicles, trailers and semi-trailers (34)",285787802030.8051,24723390262.730938,90632087350.4771,20495692386.737385
China,Sector,Manufacture of office machinery and computers (30),21111424088.053055,1327006697.9385102,6388840770.6870985,268444647.0365785
China,Sector,Manufacture of other non-metallic mineral products n.e.c.,12066299074.481924,216123904.4916919,1132927108.0386212,6824701.797768957
China,Sector,Manufacture of other transport equipment (35),67557241562.72692,9816221904.796331,31450465476.768368,3828002186.9914846
China,Sector,"Manufacture of radio, television and communication equipment and apparatus (32)",64412281781.29357,2189335000.246759,23541388690.924053,325006350.6410525
China,Sector,Manufacture of rubber and plastic products (25),42425928160.45796,1872375302.9072926,6411369708.062408,233186465.97724286
China,Sector,Manufacture of textiles (17),48419488886.42066,1272773937.6167853,7780128074.927397,43396398.774735674
China,Sector,Manufacture of tobacco products (16),16285731717.097158,38573177.089025564,3680179542.782587,2600716.905335636
China,Sector,Manufacture of wearing apparel; dressing and dyeing of fur (18),77808979479.82204,1666716284.4463289,12329273332.97199,363410304.50313
China,Sector,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",21070539195.054314,187396977.44677794,1624971447.9953632,12850838.802653221
China,Sector,"Manure treatment (biogas), storage and land application",26424.156317216726,0.03663633764365446,3.7924092872849138,0.0
China,Sector,"Manure treatment (conventional), storage and land application",26462.099755048355,0.03668894513594571,3.7978549501207195,0.0
China,Sector,Meat animals nec,4397302312.468062,102300503.60567933,188082371.01786223,29706951.240879465
China,Sector,Mining of aluminium ores and concentrates,25895343.546719432,5816.514246055245,88631.15175944078,10440.4082906222
China,Sector,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",3377206343.747962,329300389.9230064,869990984.2201397,23000575.27547784
China,Sector,Mining of coal and lignite; extraction of peat (10),6047835134.890623,13919495.061863262,83100082.60481277,2565882.7049384816
China,Sector,Mining of copper ores and concentrates,426942059.4886807,2715507.6903449404,122212252.52954727,623359.8942656914
China,Sector,Mining of iron ores,39751072.81418297,29631.53040456202,470336.3585696146,12020.116654136826
China,Sector,"Mining of lead, zinc and tin ores and concentrates",896420160.6274732,279985.68413365295,20665528.388385095,58385.39110244505
China,Sector,Mining of nickel ores and concentrates,1488710.1701821687,2582.9233572309886,124376.55505898474,71669.08524086326
China,Sector,Mining of other non-ferrous metal ores and concentrates,75540309.14240012,140757.4663941812,3980101.924030941,811106.3559218941
China,Sector,Mining of precious metal ores and concentrates,32286023.60731889,92475.50793975819,1149598.7255456732,77806.12838649315
China,Sector,Mining of uranium and thorium ores (12),81727949.25653316,869570.810636392,2895912.390733469,76227.0148334116
China,Sector,N-fertiliser,94263788.99667513,811383.2717167487,11167140.69119508,59490.07991570132
China,Sector,Other business activities (74),271849412863.17303,2536958344.881053,16075144344.795658,1533581046.4424741
China,Sector,Other land transport,195445683939.4571,1212693196.7597325,7575343570.601683,210198733.89411867
China,Sector,Other non-ferrous metal production,559802344.8099918,18188480.713818334,104887377.54096267,10004688.318923471
China,Sector,Other service activities (93),125275839548.19464,1765926337.8404498,3898995247.141095,369549395.84928566
China,Sector,P- and other fertiliser,747155003.7632228,3908538.7880168827,94496018.04224819,724837.6153218596
China,Sector,Paper,18671560217.862595,45495878.54603328,5938373847.278143,39561663.960548565
China,Sector,Petroleum Refinery,155204094281.73755,7705351289.643983,17046551836.958595,65492639.59641497
China,Sector,Pigs farming,6116644179.490002,28189602.791869454,48209638.51233198,21197329.481436245
China,Sector,"Plastics, basic",139015323525.08075,419920972.36969495,1994808093.886479,57035872.67010374
China,Sector,Post and telecommunications (64),292423145577.30615,266852227.93940485,7077163019.373657,52454472.795873374
China,Sector,Poultry farming,21978873791.67042,19430727.144512873,45469244.01706589,14548718.923165465
China,Sector,Precious metals production,1195650122.630609,15879166.069482544,277391095.6258127,4331373.856767281
China,Sector,Private households with employed persons (95),25997905352.454468,10652834246.670807,20182777354.749325,2355363198.9754815
China,Sector,Processed rice,2022779918.0040197,18411345.693416797,158929938.2750017,3594760.2030462506
China,Sector,Processing of Food products nec,251845034850.83347,3501673912.3681006,19037805428.462086,529972001.4932787
China,Sector,Processing of dairy products,81759614738.71698,466053957.2817126,5765324910.182331,15161011.768019442
China,Sector,Processing of meat cattle,28019910365.923313,72702367.74395667,1334986492.8113766,23613778.583831828
China,Sector,Processing of meat pigs,33780687477.857903,83582773.09143575,2139730939.9750836,135747535.87850603
China,Sector,Processing of meat poultry,36648078601.85434,12163482.948742226,931656713.8973416,8251417.915185394
China,Sector,Processing of nuclear fuel,3360183295.4144187,1579557.2320158165,422542462.38325125,119288.82530045221
China,Sector,Processing vegetable oils and fats,11773937270.143852,194751349.99406546,1331285441.6787438,26062706.505297307
China,Sector,Production of electricity by Geothermal,9366648.985743433,90294.28247243926,453434.5895105872,16636.327439604498
China,Sector,Production of electricity by biomass and waste,1021777217.3481654,1193275.8766321884,8306570.917921276,594655.1713366843
China,Sector,Production of electricity by coal,70852675075.93706,16389412.101651948,111449467.81823553,9108784.612794574
China,Sector,Production of electricity by gas,6134333447.469116,24599342.862462297,140259693.1714978,9622938.077248143
China,Sector,Production of electricity by hydro,13514389656.21529,2464713.6612081714,15508373.290012397,1097000.674593753
