Region,,,China,EU27,RoW,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption,Final consumption,Final consumption,Final consumption
Region,Level,Item,,,,
China,Sector,Activities auxiliary to financial intermediation (67),26710509817.44106,29990887.49874276,1173507051.0257034,7111328.982002916
China,Sector,Activities of membership organisation n.e.c. (91),202851737028.8184,50185641.4506695,358166829.61989677,94420108.82428771
China,Sector,Air transport (62),82934639246.56947,12640522544.550406,12115909695.557474,10576506.924268235
China,Sector,Aluminium production,1552581768.5756657,32066168.83932222,209962723.7063046,17116115.851157922
China,Sector,Animal products nec,386873961.9519862,6510591.559261242,21450178.92483708,3522250.8399316785
China,Sector,"Biogasification of food waste, incl. land application",1102967188.9986434,143020.25483150687,28258460.149558436,1976879.070165639
China,Sector,"Biogasification of paper, incl. land application",116784915.64058341,18588.31946117646,1772720.6731139114,757621.1848313421
China,Sector,"Biogasification of sewage slugde, incl. land application",6365080091.253833,59496818.75485142,95662267.07533978,6653123.491929905
China,Sector,Casting of metals,2028281302.2921336,48498137.341762766,194831564.1687331,18545391.369925138
China,Sector,Cattle farming,5497727170.521845,63635232.025940716,151133163.34762338,39019807.884011865
China,Sector,Chemicals nec,18285963390.857094,7286756215.29736,23657668431.65924,341861970.28304464
China,Sector,"Collection, purification and distribution of water (41)",45791574767.4013,24391284.638809435,154807580.6011722,9076616.649062574
China,Sector,"Composting of food waste, incl. land application",7003234757.467917,9363031.98357584,200265011.5136028,8110016.151171808
China,Sector,"Composting of paper and wood, incl. land application",25491693.33325038,1512.6259003362775,6740.559284800704,590.1518463665893
China,Sector,Computer and related activities (72),138713168364.6275,2642455220.6745696,18413103310.653423,35250173.18675866
China,Sector,Construction (45),1312911200201.972,1320939413.2320955,16490873364.51282,1953283416.3953807
China,Sector,Copper production,2644884820.1597424,45746568.11145823,325993368.72774816,37969856.543495774
China,Sector,Cultivation of cereal grains nec,4798923472.573457,1246371.4211480098,197161613.2215836,396366.2091849996
China,Sector,Cultivation of crops nec,9917238219.189377,108664120.03014883,2258361616.1079025,21943993.923692565
China,Sector,Cultivation of oil seeds,4855785609.12012,68746.49726545022,19901263.782907225,199159.48589789218
China,Sector,Cultivation of paddy rice,835377847.1803416,2361.7072914435116,129065.81882367021,89.88117527170499
China,Sector,Cultivation of plant-based fibers,400309234.07451034,61565.334505756844,1254556.0224468668,8586854.589854171
China,Sector,"Cultivation of sugar cane, sugar beet",399530216.56846964,14323.283692273599,86424.0372962873,2393.575085062741
China,Sector,"Cultivation of vegetables, fruit, nuts",69598978068.42802,531150223.7708724,4001269436.0864773,16128044.094010262
China,Sector,Cultivation of wheat,12462735519.015676,3105465.818248591,487411305.3683036,1127596.0510536816
China,Sector,Distribution and trade of electricity,93634301250.95271,45829418.015742615,302102724.9217416,24535549.567568146
China,Sector,Education (80),751471832990.6313,733990746.5133071,4801741335.90177,631696061.1072358
China,Sector,Extra-territorial organizations and bodies,5498.982841400347,0.0,0.0,0.0
China,Sector,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",2434443510.3975477,116330950.22350241,107825881.92681515,6531014.836324531
China,Sector,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",13494482006.411043,43364829.33453016,170357375.85044852,11808008.279271413
China,Sector,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",40567544.649439946,124017.30123455849,742803.7705718286,53626.89366882455
China,Sector,"Financial intermediation, except insurance and pension funding (65)",157769284035.8793,2744495318.7873435,20186830110.744637,101580005.12261674
China,Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",10360648885.21329,23641424.33158367,282236682.35314065,7639260.953283796
China,Sector,"Forestry, logging and related service activities (02)",11931550052.514416,9690774.901525069,198530696.8031537,80634196.38837059
China,Sector,Health and social work (85),1250979206700.758,1488957035.9696646,7375922298.168204,1020757111.3242189
China,Sector,Hotels and restaurants (55),626440894321.9717,27265149959.72931,63258470618.23939,6891457664.871795
China,Sector,Incineration of waste: Food,3968767439.42021,73299292.16165946,108248428.1017733,198931.5765014803
China,Sector,Incineration of waste: Metals and Inert materials,6429800205.460461,4366404.031037122,45128603.84369235,16236588.21944598
China,Sector,Incineration of waste: Oil/Hazardous waste,4999279296.414783,1342025.8229236945,84350200.29302298,258953.114913197
China,Sector,Incineration of waste: Paper,5083020433.589004,71100910.70786813,119569290.92513745,189791.82566372966
China,Sector,Incineration of waste: Plastic,4756190635.465776,18802162.32815249,29485354.113288015,102730.32034664929
China,Sector,Incineration of waste: Textiles,810507134.6850079,1544781.6706966949,11096503.624822259,31226.814037344135
China,Sector,Incineration of waste: Wood,2409716294.3787527,5344182.55439208,25185663.87380664,84373.31180189172
China,Sector,Inland water transport,4946552404.110718,26270440.992664184,112577999.15378931,1300500.1992835803
China,Sector,"Insurance and pension funding, except compulsory social security (66)",198722620793.61392,4475262944.355234,4437114522.789046,4468802352.004882
China,Sector,Landfill of waste: Food,5188757899.350466,2062116.8069563047,55014106.12216546,420290.5915732396
China,Sector,Landfill of waste: Inert/metal/hazardous,5347071861.977463,6054160.814440402,162007583.58618352,540239.1622109794
China,Sector,Landfill of waste: Paper,3031485847.8452563,1980887.3229377538,120034213.37185732,349555.47356173076
China,Sector,Landfill of waste: Plastic,1001840543.8687276,1575260.0497891,29815915.970487457,85957.73635949356
China,Sector,Landfill of waste: Textiles,469153065.11950505,364554.2763970806,7003187.912414803,56068.33878197049
China,Sector,Landfill of waste: Wood,847119492.7784612,591701.2952445594,10098119.448385056,87540.49118086527
China,Sector,"Lead, zinc and tin production",1992725357.1294317,20044924.172164608,138046369.19499865,7389379.679009027
China,Sector,Manufacture of LFP batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of NCA batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of NMC batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,4305201712.92606,143051732.56850398,910951809.2458804,45586679.84406604
China,Sector,Manufacture of beverages,76597225810.96858,3542520946.045482,10017407176.218662,178344613.04387465
China,Sector,"Manufacture of bricks, tiles and construction products, in baked clay",883659083.7548484,7862350.642877746,35402397.72780303,1997146.38682894
China,Sector,"Manufacture of cement, lime and plaster",3945030576.2374945,67595961.29865171,298291777.66558695,17675678.298707575
China,Sector,Manufacture of ceramic goods,10216078372.759378,524288607.73206407,1120199901.2997406,4218387.57470733
China,Sector,Manufacture of coke oven products,553223705.8063029,4644414.05578416,105233692.71336295,322425.86224266485
China,Sector,Manufacture of electrical machinery and apparatus n.e.c. (31),69789405372.33505,4371057121.463461,23799895947.691017,1364488784.2565997
China,Sector,"Manufacture of fabricated metal products, except machinery and equipment (28)",89582119147.88103,2739480278.4090176,18370459498.19409,1334811085.0291672
China,Sector,Manufacture of fish products,4229792348.0857534,169019440.97553176,2222904290.533116,222994248.1754718
China,Sector,Manufacture of furniture; manufacturing n.e.c. (36),115493481848.19221,6341339407.244326,18150172504.55556,547446674.7456775
China,Sector,Manufacture of gas; distribution of gaseous fuels through mains,29636726165.772987,18618094.90516049,116297266.27529675,9431269.817730933
China,Sector,Manufacture of glass and glass products,904524379.1683707,202093303.7829415,296145655.7241663,4578535.6945090415
China,Sector,Manufacture of machinery and equipment n.e.c. (29),239415783511.5655,22488557191.809704,124125294891.54216,16622960619.152464
China,Sector,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",64991924839.090485,8364280402.770875,23309956371.808304,285315351.4679777
China,Sector,"Manufacture of motor vehicles, trailers and semi-trailers (34)",285787802030.80493,24723390262.73093,90632087350.47705,20495692386.737377
China,Sector,Manufacture of office machinery and computers (30),21111424088.053062,1327006697.9385104,6388840770.687101,268444647.0365785
China,Sector,Manufacture of other non-metallic mineral products n.e.c.,12066299074.481924,216123904.4916919,1132927108.0386214,6824701.797768955
China,Sector,Manufacture of other transport equipment (35),67557241562.72687,9816221904.79632,31450465476.768337,3828002186.99148
China,Sector,"Manufacture of radio, television and communication equipment and apparatus (32)",64412281781.29362,2189335000.24676,23541388690.924072,325006350.6410524
China,Sector,Manufacture of rubber and plastic products (25),42425928160.45794,1872375302.9072914,6411369708.062404,233186465.9772427
China,Sector,Manufacture of textiles (17),48419488886.42069,1272773937.6167862,7780128074.9274025,43396398.77473567
China,Sector,Manufacture of tobacco products (16),16285731717.097168,38573177.08902558,3680179542.782589,2600716.905335636
China,Sector,Manufacture of wearing apparel; dressing and dyeing of fur (18),77808979479.82188,1666716284.4463255,12329273332.971968,363410304.5031293
China,Sector,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",21070539195.05432,187396977.44677803,1624971447.9953637,12850838.802653223
China,Sector,"Manure treatment (biogas), storage and land application",26424.156317216748,0.036636337643654496,3.792409287284917,0.0
China,Sector,"Manure treatment (conventional), storage and land application",26462.099755048373,0.036688945135945734,3.797854950120722,0.0
China,Sector,Meat animals nec,4397302312.468061,102300503.60567932,188082371.01786217,29706951.240879457
China,Sector,Mining of aluminium ores and concentrates,25895343.546719395,5816.514246055249,88631.15175944075,10440.408290622203
China,Sector,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",3377206343.747961,329300389.92300624,869990984.2201393,23000575.275477823
China,Sector,Mining of coal and lignite; extraction of peat (10),6047835134.890629,13919495.061863255,83100082.60481279,2565882.7049384797
China,Sector,Mining of copper ores and concentrates,426942059.48868084,2715507.6903449413,122212252.52954733,623359.894265692
China,Sector,Mining of iron ores,39751072.814182974,29631.53040456202,470336.35856961453,12020.11665413683
China,Sector,"Mining of lead, zinc and tin ores and concentrates",896420160.627474,279985.68413365306,20665528.38838511,58385.39110244508
China,Sector,Mining of nickel ores and concentrates,1488710.1701821692,2582.9233572309895,124376.55505898478,71669.08524086329
China,Sector,Mining of other non-ferrous metal ores and concentrates,75540309.14240015,140757.46639418125,3980101.924030942,811106.3559218943
China,Sector,Mining of precious metal ores and concentrates,32286023.607318874,92475.5079397582,1149598.7255456732,77806.12838649316
China,Sector,Mining of uranium and thorium ores (12),81727949.25653315,869570.810636392,2895912.3907334693,76227.0148334116
China,Sector,N-fertiliser,94263788.99667525,811383.271716749,11167140.691195093,59490.07991570132
China,Sector,Other business activities (74),271849412863.17328,2536958344.8810554,16075144344.79567,1533581046.442475
China,Sector,Other land transport,195445683939.45697,1212693196.7597318,7575343570.601677,210198733.89411852
China,Sector,Other non-ferrous metal production,559802344.8099918,18188480.71381833,104887377.54096262,10004688.318923466
China,Sector,Other service activities (93),125275839548.19493,1765926337.8404474,3898995247.1410913,369549395.8492851
China,Sector,P- and other fertiliser,747155003.7632227,3908538.7880168823,94496018.04224819,724837.6153218593
China,Sector,Paper,18671560217.86261,45495878.546033286,5938373847.278149,39561663.96054859
China,Sector,Petroleum Refinery,155204094281.73746,7705351289.643978,17046551836.958588,65492639.59641494
China,Sector,Pigs farming,6116644179.489992,28189602.791869454,48209638.512331985,21197329.48143624
China,Sector,"Plastics, basic",139015323525.08066,419920972.3696948,1994808093.886478,57035872.67010372
China,Sector,Post and telecommunications (64),292423145577.3062,266852227.93940493,7077163019.373659,52454472.795873374
China,Sector,Poultry farming,21978873791.670403,19430727.144512873,45469244.01706587,14548718.92316546
China,Sector,Precious metals production,1195650122.6306088,15879166.069482535,277391095.6258126,4331373.856767277
China,Sector,Private households with employed persons (95),25997905352.454433,10652834246.670794,20182777354.749302,2355363198.975478
China,Sector,Processed rice,2022779918.0040202,18411345.6934168,158929938.27500176,3594760.2030462525
China,Sector,Processing of Food products nec,251845034850.83353,3501673912.3680997,19037805428.462086,529972001.49327874
China,Sector,Processing of dairy products,81759614738.71692,466053957.28171223,5765324910.182327,15161011.768019443
China,Sector,Processing of meat cattle,28019910365.923355,72702367.74395671,1334986492.811378,23613778.58383184
China,Sector,Processing of meat pigs,33780687477.857914,83582773.09143579,2139730939.975084,135747535.87850606
China,Sector,Processing of meat poultry,36648078601.85429,12163482.94874223,931656713.8973402,8251417.915185385
China,Sector,Processing of nuclear fuel,3360183295.414424,1579557.2320158165,422542462.3832519,119288.82530045223
China,Sector,Processing vegetable oils and fats,11773937270.14386,194751349.99406558,1331285441.6787446,26062706.505297318
China,Sector,Production of electricity by Geothermal,256679505.40345934,90294.28247243927,453434.5895105874,16636.32743960451
China,Sector,Production of electricity by biomass and waste,2377503925.722929,1193275.8766321891,8306570.917921279,594655.1713366844
China,Sector,Production of electricity by coal,11036492436.531727,16389412.101651957,111449467.81823556,9108784.612794576
China,Sector,Production of electricity by gas,5842919985.049206,24599342.862462305,140259693.17149782,9622938.077248141
China,Sector,Production of electricity by hydro,14529632901.537693,2464713.6612081723,15508373.2900124,1097000.674593753
