Region,,,China,EU27,RoW,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption,Final consumption,Final consumption,Final consumption
Region,Level,Item,,,,
China,Sector,Activities auxiliary to financial intermediation (67),26710509817.441044,29990887.49874277,1173507051.025703,7111328.982002914
China,Sector,Activities of membership organisation n.e.c. (91),202851737028.81854,50185641.450669535,358166829.61989707,94420108.82428779
China,Sector,Air transport (62),82934639246.56958,12640522544.550419,12115909695.557491,10576506.92426823
China,Sector,Aluminium production,1552581768.5756652,32066168.839322213,209962723.7063046,17116115.851157926
China,Sector,Animal products nec,386873961.9519864,6510591.559261242,21450178.924837083,3522250.839931679
China,Sector,"Biogasification of food waste, incl. land application",1102967188.9986434,143020.25483150687,28258460.149558436,1976879.070165639
China,Sector,"Biogasification of paper, incl. land application",116784915.64058338,18588.31946117646,1772720.673113911,757621.1848313418
China,Sector,"Biogasification of sewage slugde, incl. land application",6365080091.253825,59496818.754851356,95662267.07533967,6653123.491929896
China,Sector,Casting of metals,2028281302.2921345,48498137.34176275,194831564.1687331,18545391.36992514
China,Sector,Cattle farming,5497727170.521842,63635232.02594077,151133163.3476234,39019807.8840119
China,Sector,Chemicals nec,18285963390.857098,7286756215.29736,23657668431.65924,341861970.28304464
China,Sector,"Collection, purification and distribution of water (41)",45791574767.40128,24391284.638809435,154807580.60117227,9076616.649062578
China,Sector,"Composting of food waste, incl. land application",7003234757.467916,9363031.983575838,200265011.51360273,8110016.151171806
China,Sector,"Composting of paper and wood, incl. land application",25491693.333250374,1512.6259003362784,6740.559284800706,590.1518463665898
China,Sector,Computer and related activities (72),138713168364.62756,2642455220.674571,18413103310.653435,35250173.18675866
China,Sector,Construction (45),1312911200201.9731,1320939413.2320962,16490873364.51283,1953283416.3953824
China,Sector,Copper production,2644884820.1597424,45746568.11145822,325993368.72774816,37969856.54349578
China,Sector,Cultivation of cereal grains nec,4798923472.57346,1246371.421148011,197161613.22158372,396366.2091849999
China,Sector,Cultivation of crops nec,9917238219.189384,108664120.03014877,2258361616.1079044,21943993.923692573
China,Sector,Cultivation of oil seeds,4855785609.120105,68746.49726545013,19901263.78290716,199159.4858978916
China,Sector,Cultivation of paddy rice,835377847.1803416,2361.707291443512,129065.81882367021,89.88117527170499
China,Sector,Cultivation of plant-based fibers,400309234.07451063,61565.33450575688,1254556.0224468675,8586854.589854177
China,Sector,"Cultivation of sugar cane, sugar beet",399530216.5684697,14323.2836922736,86424.03729628732,2393.5750850627414
China,Sector,"Cultivation of vegetables, fruit, nuts",69598978068.42802,531150223.770872,4001269436.0864763,16128044.094010262
China,Sector,Cultivation of wheat,12462735519.015657,3105465.8182485877,487411305.36830306,1127596.0510536805
China,Sector,Distribution and trade of electricity,93634301250.95251,45829418.01574261,302102724.9217417,24535549.567568153
China,Sector,Education (80),751471832990.6315,733990746.513307,4801741335.901771,631696061.1072359
China,Sector,Extra-territorial organizations and bodies,5498.982841400349,0.0,0.0,0.0
China,Sector,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",2434443510.3975496,116330950.22350252,107825881.92681518,6531014.836324529
China,Sector,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",13494482006.411043,43364829.334530145,170357375.85044852,11808008.27927141
China,Sector,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",40567544.64943997,124017.30123455852,742803.7705718289,53626.89366882458
China,Sector,"Financial intermediation, except insurance and pension funding (65)",157769284035.8793,2744495318.787343,20186830110.744633,101580005.12261672
China,Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",10360648885.213282,23641424.33158365,282236682.3531405,7639260.9532837905
China,Sector,"Forestry, logging and related service activities (02)",11931550052.514416,9690774.901525069,198530696.80315372,80634196.38837057
China,Sector,Health and social work (85),1250979206700.759,1488957035.9696655,7375922298.168208,1020757111.3242197
China,Sector,Hotels and restaurants (55),626440894321.9713,27265149959.729294,63258470618.23935,6891457664.871791
China,Sector,Incineration of waste: Food,3968767439.420209,73299292.16165943,108248428.10177328,198931.5765014804
China,Sector,Incineration of waste: Metals and Inert materials,6429800205.460462,4366404.03103712,45128603.84369235,16236588.219445983
China,Sector,Incineration of waste: Oil/Hazardous waste,4999279296.414777,1342025.8229236938,84350200.29302286,258953.11491319703
China,Sector,Incineration of waste: Paper,5083020433.5890045,71100910.70786813,119569290.92513746,189791.82566372975
China,Sector,Incineration of waste: Plastic,4756190635.46576,18802162.328152426,29485354.113287922,102730.32034664933
China,Sector,Incineration of waste: Textiles,810507134.6850083,1544781.6706966956,11096503.624822265,31226.814037344142
China,Sector,Incineration of waste: Wood,2409716294.378753,5344182.554392081,25185663.873806644,84373.31180189176
China,Sector,Inland water transport,4946552404.110713,26270440.992664162,112577999.15378919,1300500.1992835794
China,Sector,"Insurance and pension funding, except compulsory social security (66)",198722620793.61383,4475262944.355233,4437114522.789045,4468802352.004881
China,Sector,Landfill of waste: Food,5188757899.350471,2062116.8069563042,55014106.1221655,420290.5915732396
China,Sector,Landfill of waste: Inert/metal/hazardous,5347071861.9774685,6054160.814440406,162007583.5861837,540239.1622109794
China,Sector,Landfill of waste: Paper,3031485847.845253,1980887.3229377526,120034213.37185718,349555.4735617307
China,Sector,Landfill of waste: Plastic,1001840543.8687277,1575260.0497891,29815915.97048746,85957.73635949357
China,Sector,Landfill of waste: Textiles,469153065.119505,364554.27639708057,7003187.912414801,56068.338781970495
China,Sector,Landfill of waste: Wood,847119492.7784609,591701.2952445592,10098119.448385052,87540.49118086527
China,Sector,"Lead, zinc and tin production",1992725357.129432,20044924.172164604,138046369.19499868,7389379.679009028
China,Sector,Manufacture of LFP batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of NCA batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of NMC batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,4305201712.92606,143051732.56850398,910951809.2458804,45586679.844066046
China,Sector,Manufacture of beverages,76597225810.96858,3542520946.04548,10017407176.21866,178344613.04387465
China,Sector,"Manufacture of bricks, tiles and construction products, in baked clay",883659083.754848,7862350.642877743,35402397.72780302,1997146.3868289404
China,Sector,"Manufacture of cement, lime and plaster",3945030576.237497,67595961.29865171,298291777.6655869,17675678.298707582
China,Sector,Manufacture of ceramic goods,10216078372.759396,524288607.73206496,1120199901.2997427,4218387.574707332
China,Sector,Manufacture of coke oven products,553223705.8063024,4644414.055784161,105233692.71336286,322425.8622426649
China,Sector,Manufacture of electrical machinery and apparatus n.e.c. (31),69789405372.33504,4371057121.46346,23799895947.69101,1364488784.2565994
China,Sector,"Manufacture of fabricated metal products, except machinery and equipment (28)",89582119147.881,2739480278.409016,18370459498.194088,1334811085.0291674
China,Sector,Manufacture of fish products,4229792348.085757,169019440.9755319,2222904290.5331182,222994248.17547205
China,Sector,Manufacture of furniture; manufacturing n.e.c. (36),115493481848.1921,6341339407.244321,18150172504.555546,547446674.7456771
China,Sector,Manufacture of gas; distribution of gaseous fuels through mains,29636726165.772984,18618094.905160494,116297266.27529675,9431269.817730937
China,Sector,Manufacture of glass and glass products,904524379.168371,202093303.78294158,296145655.7241664,4578535.694509042
China,Sector,Manufacture of machinery and equipment n.e.c. (29),239415783511.56567,22488557191.809723,124125294891.54225,16622960619.15248
China,Sector,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",64991924839.090355,8364280402.770856,23309956371.808254,285315351.46797776
China,Sector,"Manufacture of motor vehicles, trailers and semi-trailers (34)",285787802030.80493,24723390262.73093,90632087350.47704,20495692386.737373
China,Sector,Manufacture of office machinery and computers (30),21111424088.05305,1327006697.93851,6388840770.6870985,268444647.0365784
China,Sector,Manufacture of other non-metallic mineral products n.e.c.,12066299074.481934,216123904.49169204,1132927108.0386221,6824701.797768958
China,Sector,Manufacture of other transport equipment (35),67557241562.72682,9816221904.79631,31450465476.76831,3828002186.991477
China,Sector,"Manufacture of radio, television and communication equipment and apparatus (32)",64412281781.293564,2189335000.2467585,23541388690.92405,325006350.64105237
China,Sector,Manufacture of rubber and plastic products (25),42425928160.45796,1872375302.9072928,6411369708.062408,233186465.97724283
China,Sector,Manufacture of textiles (17),48419488886.420746,1272773937.6167872,7780128074.927409,43396398.7747357
China,Sector,Manufacture of tobacco products (16),16285731717.097183,38573177.08902561,3680179542.7825923,2600716.9053356377
China,Sector,Manufacture of wearing apparel; dressing and dyeing of fur (18),77808979479.82199,1666716284.4463277,12329273332.971983,363410304.5031298
China,Sector,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",21070539195.05433,187396977.44677803,1624971447.9953642,12850838.802653223
China,Sector,"Manure treatment (biogas), storage and land application",26424.156317216748,0.036636337643654496,3.792409287284917,0.0
China,Sector,"Manure treatment (conventional), storage and land application",26462.099755048373,0.036688945135945734,3.797854950120722,0.0
China,Sector,Meat animals nec,4397302312.468063,102300503.60567935,188082371.01786223,29706951.24087947
China,Sector,Mining of aluminium ores and concentrates,25895343.54671945,5816.514246055249,88631.15175944082,10440.408290622203
China,Sector,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",3377206343.747959,329300389.923006,869990984.220139,23000575.27547784
China,Sector,Mining of coal and lignite; extraction of peat (10),6047835134.890626,13919495.061863255,83100082.60481279,2565882.70493848
China,Sector,Mining of copper ores and concentrates,426942059.488681,2715507.690344942,122212252.52954738,623359.894265692
China,Sector,Mining of iron ores,39751072.814182945,29631.53040456202,470336.3585696142,12020.11665413683
China,Sector,"Mining of lead, zinc and tin ores and concentrates",896420160.6274745,279985.6841336532,20665528.38838512,58385.39110244509
China,Sector,Mining of nickel ores and concentrates,1488710.1701821687,2582.92335723099,124376.5550589847,71669.08524086326
China,Sector,Mining of other non-ferrous metal ores and concentrates,75540309.14240012,140757.4663941812,3980101.924030942,811106.3559218942
China,Sector,Mining of precious metal ores and concentrates,32286023.6073189,92475.50793975819,1149598.7255456736,77806.12838649319
China,Sector,Mining of uranium and thorium ores (12),81727949.25653315,869570.8106363921,2895912.39073347,76227.01483341164
China,Sector,N-fertiliser,94263788.99667516,811383.2717167486,11167140.69119508,59490.079915701324
China,Sector,Other business activities (74),271849412863.17328,2536958344.8810554,16075144344.79567,1533581046.442475
China,Sector,Other land transport,195445683939.4571,1212693196.7597322,7575343570.601682,210198733.8941186
China,Sector,Other non-ferrous metal production,559802344.8099917,18188480.713818327,104887377.54096262,10004688.318923468
China,Sector,Other service activities (93),125275839548.19464,1765926337.840448,3898995247.1410913,369549395.8492853
China,Sector,P- and other fertiliser,747155003.7632227,3908538.788016882,94496018.04224817,724837.6153218596
China,Sector,Paper,18671560217.862617,45495878.54603328,5938373847.2781515,39561663.9605486
China,Sector,Petroleum Refinery,155204094281.7376,7705351289.643982,17046551836.958595,65492639.59641496
China,Sector,Pigs farming,6116644179.489997,28189602.791869473,48209638.51233202,21197329.481436256
China,Sector,"Plastics, basic",139015323525.08078,419920972.3696947,1994808093.886478,57035872.670103736
China,Sector,Post and telecommunications (64),292423145577.3064,266852227.939405,7077163019.373663,52454472.7958734
China,Sector,Poultry farming,21978873791.670414,19430727.144512884,45469244.0170659,14548718.92316547
China,Sector,Precious metals production,1195650122.6306095,15879166.069482543,277391095.6258128,4331373.856767278
China,Sector,Private households with employed persons (95),25997905352.45444,10652834246.670795,20182777354.749306,2355363198.9754786
China,Sector,Processed rice,2022779918.0040214,18411345.69341681,158929938.27500182,3594760.203046254
China,Sector,Processing of Food products nec,251845034850.83356,3501673912.3680987,19037805428.46209,529972001.49327904
China,Sector,Processing of dairy products,81759614738.71701,466053957.2817127,5765324910.182334,15161011.768019449
China,Sector,Processing of meat cattle,28019910365.92334,72702367.74395673,1334986492.8113778,23613778.583831843
China,Sector,Processing of meat pigs,33780687477.857906,83582773.09143582,2139730939.9750838,135747535.87850603
China,Sector,Processing of meat poultry,36648078601.85425,12163482.94874223,931656713.8973393,8251417.915185381
China,Sector,Processing of nuclear fuel,3360183295.414423,1579557.2320158165,422542462.3832518,119288.82530045226
China,Sector,Processing vegetable oils and fats,11773937270.143862,194751349.9940656,1331285441.6787448,26062706.505297326
China,Sector,Production of electricity by Geothermal,268398679.24871135,90294.2824724393,453434.5895105875,16636.327439604505
China,Sector,Production of electricity by biomass and waste,1736717514.9274535,1193275.8766321894,8306570.917921281,594655.1713366846
China,Sector,Production of electricity by coal,37444213134.051315,16389412.101651955,111449467.81823559,9108784.61279458
China,Sector,Production of electricity by gas,10717074867.582735,24599342.862462293,140259693.17149785,9622938.077248143
China,Sector,Production of electricity by hydro,15184735755.446943,2464713.661208172,15508373.290012404,1097000.6745937534
