Region,,,China,EU27,RoW,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption,Final consumption,Final consumption,Final consumption
Region,Level,Item,,,,
China,Sector,Activities auxiliary to financial intermediation (67),26710509817.441032,29990887.49874275,1173507051.0257025,7111328.982002914
China,Sector,Activities of membership organisation n.e.c. (91),202851737028.81848,50185641.45066952,358166829.61989695,94420108.82428776
China,Sector,Air transport (62),82934639246.56955,12640522544.550413,12115909695.557486,10576506.924268235
China,Sector,Aluminium production,1552581768.575665,32066168.839322224,209962723.7063046,17116115.851157926
China,Sector,Animal products nec,386873961.95198625,6510591.559261242,21450178.92483708,3522250.839931678
China,Sector,"Biogasification of food waste, incl. land application",1102967188.9986436,143020.25483150687,28258460.14955844,1976879.0701656393
China,Sector,"Biogasification of paper, incl. land application",116784915.64058337,18588.319461176463,1772720.6731139107,757621.1848313418
China,Sector,"Biogasification of sewage slugde, incl. land application",6365080091.253826,59496818.75485136,95662267.07533967,6653123.491929897
China,Sector,Casting of metals,2028281302.2921333,48498137.341762766,194831564.16873315,18545391.369925145
China,Sector,Cattle farming,5497727170.521843,63635232.02594074,151133163.34762335,39019807.88401186
China,Sector,Chemicals nec,18285963390.857094,7286756215.2973585,23657668431.659237,341861970.2830446
China,Sector,"Collection, purification and distribution of water (41)",45791574767.401306,24391284.63880943,154807580.60117227,9076616.64906258
China,Sector,"Composting of food waste, incl. land application",7003234757.4679165,9363031.983575838,200265011.51360276,8110016.151171807
China,Sector,"Composting of paper and wood, incl. land application",25491693.33325038,1512.625900336277,6740.559284800704,590.1518463665894
China,Sector,Computer and related activities (72),138713168364.6274,2642455220.674568,18413103310.653416,35250173.18675866
China,Sector,Construction (45),1312911200201.9731,1320939413.232096,16490873364.512829,1953283416.3953822
China,Sector,Copper production,2644884820.159742,45746568.111458234,325993368.7277481,37969856.543495774
China,Sector,Cultivation of cereal grains nec,4798923472.573459,1246371.4211480105,197161613.22158366,396366.2091849998
China,Sector,Cultivation of crops nec,9917238219.189383,108664120.03014879,2258361616.107904,21943993.923692577
China,Sector,Cultivation of oil seeds,4855785609.120113,68746.49726545018,19901263.7829072,199159.48589789195
China,Sector,Cultivation of paddy rice,835377847.1803414,2361.7072914435116,129065.81882367018,89.88117527170489
China,Sector,Cultivation of plant-based fibers,400309234.07451046,61565.33450575686,1254556.022446867,8586854.589854173
China,Sector,"Cultivation of sugar cane, sugar beet",399530216.56846946,14323.283692273595,86424.03729628726,2393.5750850627414
China,Sector,"Cultivation of vegetables, fruit, nuts",69598978068.42802,531150223.77087224,4001269436.0864773,16128044.094010262
China,Sector,Cultivation of wheat,12462735519.01567,3105465.81824859,487411305.3683034,1127596.0510536814
China,Sector,Distribution and trade of electricity,93634301250.95259,45829418.015742615,302102724.9217417,24535549.56756816
China,Sector,Education (80),751471832990.6305,733990746.5133064,4801741335.901765,631696061.1072352
China,Sector,Extra-territorial organizations and bodies,5498.982841400348,0.0,0.0,0.0
China,Sector,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",2434443510.3975487,116330950.22350249,107825881.92681518,6531014.836324531
China,Sector,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",13494482006.411047,43364829.33453015,170357375.85044852,11808008.27927141
China,Sector,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",40567544.64943996,124017.30123455854,742803.770571829,53626.893668824596
China,Sector,"Financial intermediation, except insurance and pension funding (65)",157769284035.8794,2744495318.787345,20186830110.744644,101580005.12261678
China,Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",10360648885.213266,23641424.331583656,282236682.3531401,7639260.953283784
China,Sector,"Forestry, logging and related service activities (02)",11931550052.514406,9690774.901525067,198530696.80315363,80634196.38837051
China,Sector,Health and social work (85),1250979206700.759,1488957035.9696658,7375922298.168209,1020757111.3242198
China,Sector,Hotels and restaurants (55),626440894321.9716,27265149959.7293,63258470618.239365,6891457664.871792
China,Sector,Incineration of waste: Food,3968767439.420209,73299292.16165943,108248428.10177328,198931.57650148042
China,Sector,Incineration of waste: Metals and Inert materials,6429800205.460461,4366404.03103712,45128603.84369233,16236588.21944598
China,Sector,Incineration of waste: Oil/Hazardous waste,4999279296.41478,1342025.8229236943,84350200.29302292,258953.1149131971
China,Sector,Incineration of waste: Paper,5083020433.589001,71100910.70786807,119569290.92513736,189791.82566372977
China,Sector,Incineration of waste: Plastic,4756190635.465764,18802162.32815244,29485354.113287944,102730.32034664936
China,Sector,Incineration of waste: Textiles,810507134.6850078,1544781.6706966946,11096503.624822259,31226.81403734415
China,Sector,Incineration of waste: Wood,2409716294.3787527,5344182.55439208,25185663.87380664,84373.31180189177
China,Sector,Inland water transport,4946552404.110713,26270440.992664166,112577999.1537892,1300500.1992835794
China,Sector,"Insurance and pension funding, except compulsory social security (66)",198722620793.61383,4475262944.355233,4437114522.789045,4468802352.004881
China,Sector,Landfill of waste: Food,5188757899.350465,2062116.8069563042,55014106.12216545,420290.5915732396
China,Sector,Landfill of waste: Inert/metal/hazardous,5347071861.977461,6054160.8144404,162007583.58618346,540239.1622109795
China,Sector,Landfill of waste: Paper,3031485847.8452535,1980887.322937753,120034213.37185721,349555.47356173076
China,Sector,Landfill of waste: Plastic,1001840543.868728,1575260.0497891004,29815915.970487468,85957.73635949357
China,Sector,Landfill of waste: Textiles,469153065.11950487,364554.27639708057,7003187.9124148,56068.3387819705
China,Sector,Landfill of waste: Wood,847119492.7784606,591701.2952445592,10098119.448385049,87540.49118086527
China,Sector,"Lead, zinc and tin production",1992725357.1294339,20044924.172164608,138046369.1949987,7389379.6790090315
China,Sector,Manufacture of LFP batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of NCA batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of NMC batteries,0.0,0.0,0.0,0.0
China,Sector,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,4305201712.926058,143051732.56850398,910951809.2458799,45586679.84406604
China,Sector,Manufacture of beverages,76597225810.96858,3542520946.045481,10017407176.21866,178344613.04387465
China,Sector,"Manufacture of bricks, tiles and construction products, in baked clay",883659083.7548486,7862350.6428777445,35402397.72780303,1997146.3868289415
China,Sector,"Manufacture of cement, lime and plaster",3945030576.237496,67595961.29865171,298291777.66558695,17675678.298707586
China,Sector,Manufacture of ceramic goods,10216078372.759382,524288607.7320643,1120199901.299741,4218387.574707332
China,Sector,Manufacture of coke oven products,553223705.8063027,4644414.055784159,105233692.71336292,322425.8622426649
China,Sector,Manufacture of electrical machinery and apparatus n.e.c. (31),69789405372.33507,4371057121.463462,23799895947.69103,1364488784.2566004
China,Sector,"Manufacture of fabricated metal products, except machinery and equipment (28)",89582119147.881,2739480278.4090166,18370459498.194096,1334811085.029168
China,Sector,Manufacture of fish products,4229792348.085755,169019440.97553182,2222904290.533117,222994248.17547193
China,Sector,Manufacture of furniture; manufacturing n.e.c. (36),115493481848.19205,6341339407.244318,18150172504.555542,547446674.7456772
China,Sector,Manufacture of gas; distribution of gaseous fuels through mains,29636726165.77296,18618094.905160494,116297266.27529678,9431269.817730937
China,Sector,Manufacture of glass and glass products,904524379.1683707,202093303.7829415,296145655.7241663,4578535.694509043
China,Sector,Manufacture of machinery and equipment n.e.c. (29),239415783511.5658,22488557191.809734,124125294891.54233,16622960619.152487
China,Sector,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",64991924839.090385,8364280402.77086,23309956371.80826,285315351.467978
China,Sector,"Manufacture of motor vehicles, trailers and semi-trailers (34)",285787802030.805,24723390262.73093,90632087350.47707,20495692386.737377
China,Sector,Manufacture of office machinery and computers (30),21111424088.053066,1327006697.938511,6388840770.687102,268444647.03657854
China,Sector,Manufacture of other non-metallic mineral products n.e.c.,12066299074.481928,216123904.49169198,1132927108.0386217,6824701.797768958
China,Sector,Manufacture of other transport equipment (35),67557241562.72689,9816221904.796324,31450465476.76835,3828002186.991482
China,Sector,"Manufacture of radio, television and communication equipment and apparatus (32)",64412281781.293594,2189335000.2467594,23541388690.92406,325006350.6410525
China,Sector,Manufacture of rubber and plastic products (25),42425928160.45797,1872375302.9072926,6411369708.062408,233186465.9772429
China,Sector,Manufacture of textiles (17),48419488886.42071,1272773937.6167862,7780128074.927403,43396398.77473569
China,Sector,Manufacture of tobacco products (16),16285731717.097181,38573177.0890256,3680179542.782592,2600716.9053356377
China,Sector,Manufacture of wearing apparel; dressing and dyeing of fur (18),77808979479.82199,1666716284.4463277,12329273332.971983,363410304.5031298
China,Sector,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",21070539195.05431,187396977.44677788,1624971447.995363,12850838.802653221
China,Sector,"Manure treatment (biogas), storage and land application",26424.15631721674,0.03663633764365449,3.792409287284916,0.0
China,Sector,"Manure treatment (conventional), storage and land application",26462.099755048366,0.03668894513594573,3.7978549501207213,0.0
China,Sector,Meat animals nec,4397302312.468061,102300503.60567932,188082371.01786217,29706951.240879454
China,Sector,Mining of aluminium ores and concentrates,25895343.546719417,5816.514246055248,88631.15175944078,10440.408290622203
China,Sector,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",3377206343.74796,329300389.9230061,869990984.2201391,23000575.27547783
China,Sector,Mining of coal and lignite; extraction of peat (10),6047835134.890626,13919495.061863257,83100082.60481279,2565882.7049384806
China,Sector,Mining of copper ores and concentrates,426942059.4886809,2715507.690344941,122212252.5295473,623359.8942656919
China,Sector,Mining of iron ores,39751072.81418296,29631.530404562018,470336.35856961453,12020.116654136827
China,Sector,"Mining of lead, zinc and tin ores and concentrates",896420160.6274741,279985.68413365306,20665528.388385113,58385.39110244507
China,Sector,Mining of nickel ores and concentrates,1488710.1701821687,2582.923357230989,124376.55505898474,71669.08524086326
China,Sector,Mining of other non-ferrous metal ores and concentrates,75540309.1424001,140757.4663941812,3980101.9240309405,811106.3559218938
China,Sector,Mining of precious metal ores and concentrates,32286023.607318893,92475.50793975819,1149598.7255456732,77806.12838649316
China,Sector,Mining of uranium and thorium ores (12),81727949.25653313,869570.8106363921,2895912.39073347,76227.01483341164
China,Sector,N-fertiliser,94263788.99667521,811383.2717167487,11167140.691195086,59490.079915701324
China,Sector,Other business activities (74),271849412863.17328,2536958344.881055,16075144344.79567,1533581046.442475
China,Sector,Other land transport,195445683939.45703,1212693196.759732,7575343570.60168,210198733.89411855
China,Sector,Other non-ferrous metal production,559802344.8099917,18188480.713818334,104887377.54096265,10004688.318923471
China,Sector,Other service activities (93),125275839548.19472,1765926337.8404489,3898995247.1410933,369549395.8492855
China,Sector,P- and other fertiliser,747155003.7632228,3908538.788016882,94496018.04224819,724837.6153218597
China,Sector,Paper,18671560217.86261,45495878.546033286,5938373847.278148,39561663.960548595
China,Sector,Petroleum Refinery,155204094281.73758,7705351289.643984,17046551836.9586,65492639.59641498
China,Sector,Pigs farming,6116644179.489998,28189602.79186946,48209638.51233198,21197329.481436234
China,Sector,"Plastics, basic",139015323525.08072,419920972.3696948,1994808093.886478,57035872.67010374
China,Sector,Post and telecommunications (64),292423145577.30615,266852227.9394049,7077163019.373657,52454472.795873396
China,Sector,Poultry farming,21978873791.670414,19430727.144512877,45469244.01706587,14548718.923165455
China,Sector,Precious metals production,1195650122.630609,15879166.069482546,277391095.6258127,4331373.85676728
China,Sector,Private households with employed persons (95),25997905352.454456,10652834246.670801,20182777354.749317,2355363198.97548
China,Sector,Processed rice,2022779918.0040202,18411345.6934168,158929938.27500176,3594760.2030462525
China,Sector,Processing of Food products nec,251845034850.8335,3501673912.368099,19037805428.46209,529972001.49327886
China,Sector,Processing of dairy products,81759614738.71695,466053957.2817124,5765324910.18233,15161011.768019445
China,Sector,Processing of meat cattle,28019910365.92333,72702367.74395671,1334986492.811377,23613778.58383184
China,Sector,Processing of meat pigs,33780687477.8579,83582773.0914358,2139730939.9750834,135747535.878506
China,Sector,Processing of meat poultry,36648078601.85429,12163482.94874223,931656713.8973404,8251417.915185387
China,Sector,Processing of nuclear fuel,3360183295.414422,1579557.2320158163,422542462.3832516,119288.82530045224
China,Sector,Processing vegetable oils and fats,11773937270.14386,194751349.99406558,1331285441.6787446,26062706.505297318
China,Sector,Production of electricity by Geothermal,170994273.80325902,90294.2824724393,453434.5895105876,16636.327439604516
China,Sector,Production of electricity by biomass and waste,3305131067.502982,1193275.8766321894,8306570.91792128,594655.1713366846
China,Sector,Production of electricity by coal,25091582704.51403,16389412.101651957,111449467.81823559,9108784.612794578
China,Sector,Production of electricity by gas,31202207897.577576,24599342.862462297,140259693.17149788,9622938.077248147
China,Sector,Production of electricity by hydro,7424151232.941996,2464713.661208173,15508373.290012404,1097000.6745937536
