Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),68140.07981980637
China,Activity,Activities of membership organisation n.e.c. (91),74770.13218797164
China,Activity,Air transport (62),60677.04620391063
China,Activity,Aluminium production,18128429.65523845
China,Activity,Animal products nec,328770.88251771295
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",538820.1211748108
China,Activity,Casting of metals,11319388.495488713
China,Activity,Cattle farming,3231908.046189582
China,Activity,Chemicals nec,268772403.8001265
China,Activity,"Collection, purification and distribution of water (41)",13514.493284077062
China,Activity,"Composting of food waste, incl. land application",1241990.3021278498
China,Activity,"Composting of paper and wood, incl. land application",183034.8538559077
China,Activity,Computer and related activities (72),222154.7695522168
China,Activity,Construction (45),1390172.8136596482
China,Activity,Copper production,3075765.352316883
China,Activity,Cultivation of cereal grains nec,172459750.6024208
China,Activity,Cultivation of crops nec,1806140.6929667783
China,Activity,Cultivation of oil seeds,32381893.316643383
China,Activity,Cultivation of paddy rice,172306676.91992632
China,Activity,Cultivation of plant-based fibers,13570226.296703318
China,Activity,"Cultivation of sugar cane, sugar beet",36920768.981630154
China,Activity,"Cultivation of vegetables, fruit, nuts",223888993.95220646
China,Activity,Cultivation of wheat,99816183.93622793
China,Activity,Distribution and trade of electricity,82774.33284498811
China,Activity,Distribution of gaseous fuels through mains,11314.586708476487
China,Activity,Education (80),326659.69377762877
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",203759665.74742255
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",86376515.69516894
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",269089.8602572816
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3424051.620792628
China,Activity,"Forestry, logging and related service activities (02)",199210773.14389637
China,Activity,Health and social work (85),301003.59956538776
China,Activity,Hotels and restaurants (55),331222.14453316724
China,Activity,Hydrogen production with electrolysis,0.0
China,Activity,Hydrogen production with steam reforming,0.0
China,Activity,Incineration of waste: Food,677254.934098626
China,Activity,Incineration of waste: Metals and Inert materials,501471.1770740691
China,Activity,Incineration of waste: Oil/Hazardous waste,2418831.6075785565
China,Activity,Incineration of waste: Paper,24271828.058100354
China,Activity,Incineration of waste: Plastic,66467428.583748996
China,Activity,Incineration of waste: Textiles,412866.3235327913
China,Activity,Incineration of waste: Wood,144483.76756425799
China,Activity,Inland water transport,3492.7702207710413
China,Activity,"Insurance and pension funding, except compulsory social security (66)",124411.89224031895
China,Activity,Landfill of waste: Food,83188415.67910866
China,Activity,Landfill of waste: Inert/metal/hazardous,2207273547.136436
China,Activity,Landfill of waste: Paper,37741535.01717972
China,Activity,Landfill of waste: Plastic,9296560.078108218
China,Activity,Landfill of waste: Textiles,8825672.292444611
China,Activity,Landfill of waste: Wood,6549039.151971776
China,Activity,"Lead, zinc and tin production",9843848.25337499
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,2397527852.388607
China,Activity,Manufacture of beverages,16610628.783816062
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",45485792.5690378
China,Activity,"Manufacture of cement, lime and plaster",787115106.1538864
China,Activity,Manufacture of ceramic goods,9200726.632208887
China,Activity,Manufacture of coke oven products,482431737.2728302
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),179164797.93807968
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",155389773.4864197
China,Activity,Manufacture of fish products,1987830.6487917022
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),72791546.38838604
China,Activity,Manufacture of gas;,6748696.708501874
China,Activity,Manufacture of glass and glass products,12765553.86849409
China,Activity,Manufacture of machinery and equipment n.e.c. (29),261109848.2384562
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",6969914.001797089
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",428482.59152174514
China,Activity,Manufacture of office machinery and computers (30),25619633.71157154
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,107557448.9985049
China,Activity,Manufacture of other transport equipment (35),322764.3009931396
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",40559431.643634535
China,Activity,Manufacture of rubber and plastic products (25),83217485.72311834
China,Activity,Manufacture of textiles (17),24547401.18549775
China,Activity,Manufacture of tobacco products (16),1979164.9688327748
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),8560819.787286356
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",84259477.3984018
China,Activity,Manufacturing of electrolyser,0.0
China,Activity,Manufacturing of steam reformer,0.0
China,Activity,"Manure treatment (biogas), storage and land application",0.0
China,Activity,"Manure treatment (conventional), storage and land application",277747067.5945114
China,Activity,Meat animals nec,4950084.174816057
China,Activity,Mining of aluminium ores and concentrates,14349099.44821632
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",257391942.37662086
China,Activity,Mining of coal and lignite; extraction of peat (10),3381360639.251789
China,Activity,Mining of copper ores and concentrates,1295537.0755630431
China,Activity,Mining of iron ores,440083059.86615896
China,Activity,"Mining of lead, zinc and tin ores and concentrates",6584316.436681608
