Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),68098.63208456746
China,Activity,Activities of membership organisation n.e.c. (91),74769.92442728173
China,Activity,Air transport (62),60625.62254493959
China,Activity,Aluminium production,18114742.20572592
China,Activity,Animal products nec,328767.0137293123
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",538688.2389751319
China,Activity,Casting of metals,11312598.68678218
China,Activity,Cattle farming,3230723.800441415
China,Activity,Chemicals nec,267890792.25471604
China,Activity,"Collection, purification and distribution of water (41)",13511.7252090225
China,Activity,"Composting of food waste, incl. land application",1241687.9737880793
China,Activity,"Composting of paper and wood, incl. land application",182904.9722630906
China,Activity,Computer and related activities (72),222076.66316198945
China,Activity,Construction (45),1390156.2313100663
China,Activity,Copper production,3073285.827857251
China,Activity,Cultivation of cereal grains nec,172418454.86920482
China,Activity,Cultivation of crops nec,1801753.805464288
China,Activity,Cultivation of oil seeds,32368922.94821985
China,Activity,Cultivation of paddy rice,172262022.04882526
China,Activity,Cultivation of plant-based fibers,13564906.113837473
China,Activity,"Cultivation of sugar cane, sugar beet",36896457.94942988
China,Activity,"Cultivation of vegetables, fruit, nuts",223844301.45207167
China,Activity,Cultivation of wheat,99796539.6892522
China,Activity,Distribution and trade of electricity,82734.46122442448
China,Activity,Distribution of gaseous fuels through mains,11312.329083258468
China,Activity,Education (80),326659.5698287349
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",203523380.5711932
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",85528025.43060851
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",268947.94076467777
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3423992.026468272
China,Activity,"Forestry, logging and related service activities (02)",199037266.254958
China,Activity,Health and social work (85),300999.08223864064
China,Activity,Hotels and restaurants (55),331052.75360613025
China,Activity,Hydrogen production with electrolysis,0.0
China,Activity,Hydrogen production with steam reforming,0.0
China,Activity,Incineration of waste: Food,677083.3127746751
China,Activity,Incineration of waste: Metals and Inert materials,501465.1953930308
China,Activity,Incineration of waste: Oil/Hazardous waste,2415585.0054476047
China,Activity,Incineration of waste: Paper,24258914.18184676
China,Activity,Incineration of waste: Plastic,66427078.9825351
China,Activity,Incineration of waste: Textiles,412769.4949290615
China,Activity,Incineration of waste: Wood,144325.4863085863
China,Activity,Inland water transport,3490.914915773149
China,Activity,"Insurance and pension funding, except compulsory social security (66)",124367.87788561822
China,Activity,Landfill of waste: Food,83174718.61208129
China,Activity,Landfill of waste: Inert/metal/hazardous,2205258283.3487287
China,Activity,Landfill of waste: Paper,37721681.46105031
China,Activity,Landfill of waste: Plastic,9289523.458286677
China,Activity,Landfill of waste: Textiles,8823612.018300712
China,Activity,Landfill of waste: Wood,6541628.970574401
China,Activity,"Lead, zinc and tin production",9841684.25271219
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,2396268861.318864
China,Activity,Manufacture of beverages,16607582.915638454
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",45484476.05795375
China,Activity,"Manufacture of cement, lime and plaster",785991322.1409435
China,Activity,Manufacture of ceramic goods,9192157.514927955
China,Activity,Manufacture of coke oven products,474837282.3981347
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),178962779.96967795
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",155250726.95462722
China,Activity,Manufacture of fish products,1987796.4836814376
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),72764815.48389661
China,Activity,Manufacture of gas;,6746438.118908638
China,Activity,Manufacture of glass and glass products,12759182.226423398
China,Activity,Manufacture of machinery and equipment n.e.c. (29),260990890.5980118
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",6966041.112720295
