,,unit
Sector,Activities auxiliary to financial intermediation (67),None
Sector,Activities of membership organisation n.e.c. (91),None
Sector,Air transport (62),None
Sector,Aluminium production,None
Sector,Animal products nec,None
Sector,"Biogasification of food waste, incl. land application",None
Sector,"Biogasification of paper, incl. land application",None
Sector,"Biogasification of sewage slugde, incl. land application",None
Sector,Casting of metals,None
Sector,Cattle farming,None
Sector,Chemicals nec,None
Sector,"Collection, purification and distribution of water (41)",None
Sector,"Composting of food waste, incl. land application",None
Sector,"Composting of paper and wood, incl. land application",None
Sector,Computer and related activities (72),None
Sector,Construction (45),None
Sector,Copper production,None
Sector,Cultivation of cereal grains nec,None
Sector,Cultivation of crops nec,None
Sector,Cultivation of oil seeds,None
Sector,Cultivation of paddy rice,None
Sector,Cultivation of plant-based fibers,None
Sector,"Cultivation of sugar cane, sugar beet",None
Sector,"Cultivation of vegetables, fruit, nuts",None
Sector,Cultivation of wheat,None
Sector,Distribution and trade of electricity,None
Sector,Distribution of gaseous fuels through mains,None
Sector,Education (80),None
Sector,Extra-territorial organizations and bodies,None
Sector,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",None
Sector,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",None
Sector,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",None
Sector,"Financial intermediation, except insurance and pension funding (65)",None
Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",None
Sector,"Forestry, logging and related service activities (02)",None
Sector,Health and social work (85),None
Sector,Hotels and restaurants (55),None
Sector,Hydrogen production with electrolysis,kgH2
Sector,Hydrogen production with steam reforming,kgH2
Sector,Incineration of waste: Food,None
Sector,Incineration of waste: Metals and Inert materials,None
Sector,Incineration of waste: Oil/Hazardous waste,None
Sector,Incineration of waste: Paper,None
Sector,Incineration of waste: Plastic,None
Sector,Incineration of waste: Textiles,None
Sector,Incineration of waste: Wood,None
Sector,Inland water transport,None
Sector,"Insurance and pension funding, except compulsory social security (66)",None
Sector,Landfill of waste: Food,None
Sector,Landfill of waste: Inert/metal/hazardous,None
Sector,Landfill of waste: Paper,None
Sector,Landfill of waste: Plastic,None
Sector,Landfill of waste: Textiles,None
Sector,Landfill of waste: Wood,None
Sector,"Lead, zinc and tin production",None
Sector,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,None
Sector,Manufacture of beverages,None
Sector,"Manufacture of bricks, tiles and construction products, in baked clay",None
Sector,"Manufacture of cement, lime and plaster",None
Sector,Manufacture of ceramic goods,None
Sector,Manufacture of coke oven products,None
Sector,Manufacture of electrical machinery and apparatus n.e.c. (31),None
Sector,"Manufacture of fabricated metal products, except machinery and equipment (28)",None
Sector,Manufacture of fish products,None
Sector,Manufacture of furniture; manufacturing n.e.c. (36),None
Sector,Manufacture of gas;,None
Sector,Manufacture of glass and glass products,None
Sector,Manufacture of machinery and equipment n.e.c. (29),None
Sector,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",None
Sector,"Manufacture of motor vehicles, trailers and semi-trailers (34)",None
Sector,Manufacture of office machinery and computers (30),None
Sector,Manufacture of other non-metallic mineral products n.e.c.,None
Sector,Manufacture of other transport equipment (35),None
Sector,"Manufacture of radio, television and communication equipment and apparatus (32)",None
Sector,Manufacture of rubber and plastic products (25),None
Sector,Manufacture of textiles (17),None
Sector,Manufacture of tobacco products (16),None
Sector,Manufacture of wearing apparel; dressing and dyeing of fur (18),None
Sector,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",None
Sector,Manufacturing of electrolyser,no.
Sector,Manufacturing of steam reformer,no.
Sector,"Manure treatment (biogas), storage and land application",None
Sector,"Manure treatment (conventional), storage and land application",None
Sector,Meat animals nec,None
Sector,Mining of aluminium ores and concentrates,None
Sector,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",None
Sector,Mining of coal and lignite; extraction of peat (10),None
Sector,Mining of copper ores and concentrates,None
Sector,Mining of iron ores,None
Sector,"Mining of lead, zinc and tin ores and concentrates",None
Sector,Mining of nickel ores and concentrates,None
Sector,Mining of other non-ferrous metal ores and concentrates,None
Sector,Mining of precious metal ores and concentrates,None
Sector,Mining of uranium and thorium ores (12),None
Sector,N-fertiliser,None
Sector,Other business activities (74),None
Sector,Other land transport,None
Sector,Other non-ferrous metal production,None
Sector,Other service activities (93),None
Sector,P- and other fertiliser,None
Sector,Paper,None
Sector,Petroleum Refinery,None
Sector,Pigs farming,None
Sector,"Plastics, basic",None
Sector,Post and telecommunications (64),None
Sector,Poultry farming,None
Sector,Precious metals production,None
Sector,Private households with employed persons (95),None
Sector,Processed rice,None
Sector,Processing of Food products nec,None
Sector,Processing of dairy products,None
Sector,Processing of meat cattle,None
Sector,Processing of meat pigs,None
Sector,Processing of meat poultry,None
Sector,Processing of nuclear fuel,None
Sector,Processing vegetable oils and fats,None
Sector,Production of electricity by Geothermal,None
Sector,Production of electricity by biomass and waste,None
Sector,Production of electricity by coal,None
Sector,Production of electricity by gas,None
Sector,Production of electricity by hydro,None
Sector,Production of electricity by nuclear,None
Sector,Production of electricity by petroleum and other oil derivatives,None
Sector,Production of electricity by solar photovoltaic,None
Sector,Production of electricity by solar thermal,None
Sector,"Production of electricity by tide, wave, ocean",None
Sector,Production of electricity by wind,None
Sector,Production of electricity nec,None
Sector,Production of meat products nec,None
Sector,Public administration and defence; compulsory social security (75),None
Sector,"Publishing, printing and reproduction of recorded media (22)",None
Sector,Pulp,None
Sector,Quarrying of sand and clay,None
Sector,Quarrying of stone,None
Sector,Raw milk,None
Sector,Re-processing of ash into clinker,None
Sector,Re-processing of secondary aluminium into new aluminium,None
Sector,Re-processing of secondary construction material into aggregates,None
Sector,Re-processing of secondary copper into new copper,None
Sector,Re-processing of secondary glass into new glass,None
Sector,Re-processing of secondary lead into new lead,None
Sector,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,None
Sector,Re-processing of secondary paper into new pulp,None
Sector,Re-processing of secondary plastic into new plastic,None
Sector,Re-processing of secondary preciuos metals into new preciuos metals,None
Sector,Re-processing of secondary steel into new steel,None
Sector,Re-processing of secondary wood material into new wood material,None
Sector,Real estate activities (70),None
Sector,"Recreational, cultural and sporting activities (92)",None
Sector,Recycling of bottles by direct reuse,None
Sector,Recycling of waste and scrap,None
Sector,Renting of machinery and equipment without operator and of personal and household goods (71),None
Sector,Research and development (73),None
Sector,Retail sale of automotive fuel,None
Sector,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",None
Sector,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",None
Sector,Sea and coastal water transport,None
Sector,Steam and hot water supply,None
Sector,Steel production through 100%H2-DR,0.0
Sector,Steel production through NG-DR,0.0
Sector,Steel production with H2 inj to BF,0.0
Sector,Sugar refining,None
Sector,Supporting and auxiliary transport activities; activities of travel agencies (63),None
Sector,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",None
Sector,Transmission of electricity,None
Sector,Transport via pipelines,None
Sector,Transport via railways,None
Sector,"Waste water treatment, food",None
Sector,"Waste water treatment, other",None
Sector,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",None
Sector,"Wool, silk-worm cocoons",None
Factor of production,None,None
Satellite account,Aquatic plants (resource),tonne
Satellite account,Bauxite and aluminium ores (resource),tonne
Satellite account,Building stones (resource),tonne
Satellite account,Chemical and fertilizer minerals (resource),tonne
Satellite account,Clays and kaolin (resource),tonne
Satellite account,Copper ores (resource),tonne
Satellite account,Gold ores (resource),tonne
Satellite account,Gravel and sand (resource),tonne
Satellite account,Inland waters fish catch (resource),tonne
Satellite account,Iron ores (resource),tonne
Satellite account,Lead ores (resource),tonne
Satellite account,"Limestone, gypsum, chalk, dolomite (resource)",tonne
Satellite account,Marine fish catch (resource),tonne
Satellite account,Nickel ores (resource),tonne
Satellite account,Other (e.g. Aquatic mammals) (resource),tonne
Satellite account,Other minerals (resource),tonne
Satellite account,Other non-ferrous metal ores (resource),tonne
Satellite account,PGM ores (resource),tonne
Satellite account,Salt (resource),tonne
Satellite account,Silver ores (resource),tonne
Satellite account,Slate (resource),tonne
Satellite account,Tin ores (resource),tonne
Satellite account,Uranium and thorium ores (resource),tonne
Satellite account,Zinc ores (resource),tonne
Satellite account,Crude oil (resource),tonne
Satellite account,Natural gas (resource),tonne
Satellite account,Natural gas liquids (resource),tonne
Satellite account,Peat (resource),tonne
Satellite account,Anthracite (resource),tonne
Satellite account,Coking coal (resource),tonne
Satellite account,Lignite/brown coal (resource),tonne
Satellite account,Other bituminous coal (resource),tonne
Satellite account,Sub-bituminous coal (resource),tonne
Satellite account,"Carbon dioxide, in air (resource)",tonne
Satellite account,Minerals nec. (incl nitrogen and hydrogen) (resource),tonne
Satellite account,Oxygen (resource),tonne
Satellite account,Water Consumption Blue (resource),Mm3
Satellite account,Water Consumption Green (resource),Mm3
Satellite account,Water Withdrawal Blue (resource),Mm3
Satellite account,"Land use, arable land (Land)",ha
Satellite account,"Land use, forest land (Land)",ha
Satellite account,"Land use, grassland (Land)",ha
Satellite account,"Land use, other land for woodfuel (Land)",ha
Satellite account,"Land use, infrastructure land (Land)",ha
Satellite account,CO2,tonnes
Satellite account,N2O,tonnes
Satellite account,CH4,tonnes
Satellite account,HFCs (air - Emiss),tonnes
Satellite account,PFCs (air - Emiss),tonnes
Satellite account,SF6 (air - Emiss),tonnes
Satellite account,NOX  (air - Emiss),tonnes
Satellite account,SOx (air - Emiss),tonnes
Satellite account,NH3 (air - Emiss),tonnes
Satellite account,NMVOC (air - Emiss),tonnes
Satellite account,CO  (air - Emiss),tonnes
Satellite account,CFCs (air - Emiss),tonnes
Satellite account,HCFCs (air - Emiss),tonnes
Satellite account,Pb (air - Emiss),tonnes
Satellite account,Cd (air - Emiss),tonnes
Satellite account,Hg (air - Emiss),tonnes
Satellite account,As (air - Emiss),tonnes
Satellite account,Cr (air - Emiss),tonnes
Satellite account,Cu (air - Emiss),tonnes
Satellite account,Ni (air - Emiss),tonnes
Satellite account,Se (air - Emiss),tonnes
Satellite account,Zn (air - Emiss),tonnes
Satellite account,Aldrin (air - Emiss),tonnes
Satellite account,Chlordane (air - Emiss),tonnes
Satellite account,Chlordecone (air - Emiss),tonnes
Satellite account,Dieldrin (air - Emiss),tonnes
Satellite account,Endrin (air - Emiss),tonnes
Satellite account,Heptachlor (air - Emiss),tonnes
Satellite account,Hexabr.-biph. (air - Emiss),tonnes
Satellite account,Mirex (air - Emiss),tonnes
Satellite account,Toxaphene (air - Emiss),tonnes
Satellite account,HCH (air - Emiss),tonnes
Satellite account,DDT (air - Emiss),tonnes
Satellite account,PCB (air - Emiss),tonnes
Satellite account,dioxin (air - Emiss),tonnes
Satellite account,PM10 (air - Emiss),tonnes
Satellite account,"PAH (total of 4 components, sum of EM_AIR.43, 45, 46, 47) (air - Emiss)",tonnes
Satellite account,Benzene (air - Emiss),tonnes
Satellite account,"1,3 Butadiene (air - Emiss)",tonnes
Satellite account,Formaldehyd (air - Emiss),tonnes
Satellite account,PM2.5 (air - Emiss),tonnes
Satellite account,Furans (air - Emiss),tonnes
