Region,,,China,EU27,India,RoW,Russia,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption,Final consumption,Final consumption,Final consumption,Final consumption,Final consumption
Region,Level,Item,,,,,,
China,Sector,Activities auxiliary to financial intermediation (67),14894.69926564123,11.639475080050756,6.429324085065054,29.738922752966808,0.8803811753135592,5.92067538064872
China,Sector,Activities of membership organisation n.e.c. (91),74264.09210610783,23.677869580065693,0.8278613835420989,32.09723170494188,0.2209662365726744,3.29237987753049
China,Sector,Air transport (62),8454.404720031196,877.7246750182666,73.90785170102934,1063.2893633670365,132.27427044422362,478.0775531534984
China,Sector,Aluminium production,62996.881225125995,28587.989549605503,8860.023016285628,10761.038735575004,310.4533403201187,568.881609052838
China,Sector,Animal products nec,247490.06669536658,8940.418062775398,2042.021590549808,11428.056350844467,434.84141231339703,2232.863698868183
China,Sector,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Biogasification of sewage slugde, incl. land application",4974.90061063812,0.002237847496969828,0.0,5.022711631723913,0.045401914355607455,7.896243216644432e-05
China,Sector,Casting of metals,28833.65836595737,0.0,0.0,0.0,0.0,0.0
China,Sector,Cattle farming,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Chemicals nec,17420999.44329923,6436124.981842226,1597410.5843774013,6804816.015662028,237391.6615657354,2707547.2219593907
China,Sector,"Collection, purification and distribution of water (41)",10188.424496846303,0.0,0.0,0.0,0.0,0.0
China,Sector,"Composting of food waste, incl. land application",312043.91220151156,0.09283311622106015,0.0,1.5606518261745104,0.0002586756414736291,0.003275615810164202
China,Sector,"Composting of paper and wood, incl. land application",29236.690162585546,0.04382117109191008,0.0,0.7366939027092215,0.00012210588207841523,0.001546229693571331
China,Sector,Computer and related activities (72),72109.79083174007,22.867321253305345,26.66623363428985,596.5204659614736,0.0,141.35220050516466
China,Sector,Construction (45),1319172.1243887627,1532.6961025170035,45.2393287587557,4552.801970877062,418.25124398279894,242.16878605399492
China,Sector,Copper production,13177.4338398397,140.78006056171495,859.497829090654,759.4720550495396,57.81334710143824,38.81341258230555
China,Sector,Cultivation of cereal grains nec,9343914.41070162,1460.7320071180884,459.4596996144936,19265.762886924414,41.00878545981269,473.44580507474757
China,Sector,Cultivation of crops nec,2025.9588984770132,76.34640158973727,44.95076609392746,326.5285214465297,28.218991594465564,13.799545382205702
China,Sector,Cultivation of oil seeds,570688.428706849,3259.3545230272116,17.057729374583815,2308.202079757032,0.12219086202456843,1200.9937837578602
China,Sector,Cultivation of paddy rice,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cultivation of plant-based fibers,180387.9226355683,1011.1451004133199,5.263134749495761,882.6308076361906,0.03770179241737672,370.56468527650185
China,Sector,"Cultivation of sugar cane, sugar beet",3598429.9065726115,0.0,0.0,0.0017279306222116478,11.14545455019909,0.001377974698724715
China,Sector,"Cultivation of vegetables, fruit, nuts",71349866.51269436,77522.09133938786,40205.294409573034,1049918.8930400638,119869.43900091836,72286.43321800428
China,Sector,Cultivation of wheat,23877889.57700371,11.252949669111329,0.0,9257.086855597949,11.378904346101384,30.296534277607417
China,Sector,Distribution and trade of electricity,12744.484770676027,0.0,0.0,0.0,0.0,0.0
China,Sector,Distribution of gaseous fuels through mains,9132.567598665155,0.0,0.0,0.0,0.0,0.0
China,Sector,Education (80),323783.2574598555,86.59635983357363,7.294239882568706,112.47215225289735,3.19032513268413,10.068200874249994
China,Sector,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-466405.7727076502,0.0,0.0,26.23684109374566,0.0,33.50979327222957
China,Sector,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",11606128.184138056,15.56391982420024,113.20141243465365,326375.76750188135,0.8175277810891333,95.64658118003501
China,Sector,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Financial intermediation, except insurance and pension funding (65)",15207.769119815266,77.87693062218496,5.1433571553247335,102.87166490629323,0.49568333853843505,8.710635730311582
China,Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",606571.4174294638,1042.2875414194802,88.16735496076603,79845.81108637268,361.04193609259676,1142.5871455047354
China,Sector,"Forestry, logging and related service activities (02)",60853462.66609057,489190.557458571,663711.8949887282,1734584.5295607282,38099.05496873779,42199.798234344555
China,Sector,Health and social work (85),293649.20941278426,146.35437324245723,12.641951610903567,194.1117080365302,5.038566732447746,20.331805136899074
China,Sector,Hotels and restaurants (55),79471.84268258185,6010.270230189627,412.4220527591169,7096.391134557979,491.41277838438447,5394.162334339725
China,Sector,Hydrogen production with electrolysis,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Hydrogen production with steam reforming,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Incineration of waste: Food,227553.6145991226,0.0,0.0,13.089615496206783,0.11919783543017991,0.0
China,Sector,Incineration of waste: Metals and Inert materials,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Incineration of waste: Oil/Hazardous waste,1664.5135622056487,0.0,0.0,3.4501397088387473,0.031417972922463996,0.0
China,Sector,Incineration of waste: Paper,3654489.0356880226,0.0,0.0,9.130892849425251,0.08314855875726816,0.0
China,Sector,Incineration of waste: Plastic,15808680.797275573,786025.7413063147,4362.191755743746,962477.5039044645,1733.5845587001686,129050.49363204025
China,Sector,Incineration of waste: Textiles,123518.63343242004,0.0,0.0,2.8861384169042004,0.026282013566140287,0.0
China,Sector,Incineration of waste: Wood,5884.5631760394635,0.0,0.0,3.6068507686413027,0.03284502928801172,0.0
China,Sector,Inland water transport,430.315909186906,3.1540628441140655,0.19369190058575797,3.3453545200266204,0.0970332217053242,0.3124559091508232
China,Sector,"Insurance and pension funding, except compulsory social security (66)",68114.9391955134,527.9760336494038,17.110303110201798,508.4231382550475,9.48028488401357,161.10828755541962
China,Sector,Landfill of waste: Food,28569894.09196521,0.0,0.0,0.0,0.0,0.0
China,Sector,Landfill of waste: Inert/metal/hazardous,119531870.3129575,0.0,0.0,0.0,0.0,0.0
China,Sector,Landfill of waste: Paper,6183725.934627763,0.0,0.0,0.0,0.0,0.0
China,Sector,Landfill of waste: Plastic,1540204.571788221,0.0,0.0,0.0,0.0,0.0
China,Sector,Landfill of waste: Textiles,2594967.3218149785,0.0,0.0,0.0,0.0,0.0
China,Sector,Landfill of waste: Wood,126387.8198628606,0.0,0.0,0.0,0.0,0.0
China,Sector,"Lead, zinc and tin production",78828.87310326778,1598.5520899421422,1364243.5317687504,15453.410259375154,126.82513899308678,208.8655077671162
China,Sector,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,902178166.8295369,66805.67170639204,528328.1050274527,332372.8404823932,124.56417395443044,12845.472425273992
China,Sector,Manufacture of beverages,10093700.456411118,1777.3607788625184,1373.2973932576779,91295.53195435253,862.944831789986,4420.555047620508
China,Sector,"Manufacture of bricks, tiles and construction products, in baked clay",234556.8573736253,186.89275828921123,498.94719978639876,885.4564703700403,235.13351093633221,59.69767341104019
China,Sector,"Manufacture of cement, lime and plaster",5792218.744667269,10223.721027279404,10466.282650763744,42157.58342548507,19369.434183737914,3640.4517978031627
China,Sector,Manufacture of ceramic goods,166668.86278101802,32334.958036562875,927.9342513833789,57626.047882711304,5569.5863197767485,53593.29533794733
China,Sector,Manufacture of coke oven products,35273772.56146523,134259.79968667365,0.0,468928.09556405013,1112.5996976797987,498.72094901873203
China,Sector,Manufacture of electrical machinery and apparatus n.e.c. (31),62255340.52379923,1294500.9566228103,469993.1743726418,7123895.763842279,3291.3094317461246,2218414.097464284
China,Sector,"Manufacture of fabricated metal products, except machinery and equipment (28)",5918221.591634637,872201.7536724842,193121.16620900077,2980873.975297995,401958.004045792,602903.5751586842
China,Sector,Manufacture of fish products,1796937.7120979505,0.0,0.0,0.0,0.0,0.0
China,Sector,Manufacture of furniture; manufacturing n.e.c. (36),20714128.583727065,2519521.4608178823,163087.6616616401,5846377.308001234,41845.28259518369,5983990.381262879
China,Sector,Manufacture of gas;,4705057.378270069,0.0,0.0,0.0,0.0,0.0
China,Sector,Manufacture of glass and glass products,110655.5433623954,818.1050465043622,954.210106466276,10350.18285800616,423.33940423230666,11569.626271455716
China,Sector,Manufacture of machinery and equipment n.e.c. (29),109565605.94813266,4559638.891497435,1501378.365658797,17275533.065501012,1240513.8964855182,7576933.838552917
