Region,,,China,EU27,India,RoW,Russia,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption,Final consumption,Final consumption,Final consumption,Final consumption,Final consumption
Region,Level,Item,,,,,,
China,Sector,Activities auxiliary to financial intermediation (67),14894.69926564048,11.63947508005017,6.42932408506473,29.73892275296531,0.8803811753135148,5.920675380648421
China,Sector,Activities of membership organisation n.e.c. (91),74264.09210606977,23.67786958005356,0.8278613835416746,32.097231704925434,0.22096623657256115,3.292379877528803
China,Sector,Air transport (62),8454.404720031613,877.7246750183098,73.90785170103298,1063.2893633670888,132.27427044423013,478.077553153522
China,Sector,Aluminium production,62996.88122512584,28587.98954960543,8860.023016285606,10761.038735574977,310.45334032011795,568.8816090528367
China,Sector,Animal products nec,247490.06669536766,8940.418062775436,2042.021590549817,11428.056350844516,434.8414123133989,2232.863698868193
China,Sector,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Biogasification of sewage slugde, incl. land application",4974.900610638397,0.002237847496969822,0.0,5.022711631724066,0.04540191435560885,7.896243216644424e-05
China,Sector,Casting of metals,28833.658365957388,0.0,0.0,0.0,0.0,0.0
China,Sector,Cattle farming,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Chemicals nec,17420999.443299092,6436124.981842171,1597410.5843773873,6804816.01566197,237391.66156573335,2707547.221959367
China,Sector,"Collection, purification and distribution of water (41)",10188.424496910035,0.0,0.0,0.0,0.0,0.0
China,Sector,"Composting of food waste, incl. land application",312043.9122015089,0.09283311622105993,0.0,1.5606518261745075,0.00025867564147362887,0.003275615810164199
China,Sector,"Composting of paper and wood, incl. land application",29236.690162585197,0.04382117109190996,0.0,0.73669390270922,0.00012210588207841512,0.0015462296935713298
China,Sector,Computer and related activities (72),72109.7908317327,22.867321253303007,26.66623363428712,596.5204659614126,0.0,141.3522005051502
China,Sector,Construction (45),1319172.1243886794,1532.6961025169064,45.23932875875283,4552.801970876773,418.25124398277245,242.1687860539796
China,Sector,Copper production,13177.433839839705,140.780060561715,859.4978290906542,759.4720550495398,57.813347101438254,38.81341258230556
China,Sector,Cultivation of cereal grains nec,9343914.410701651,1460.7320071180934,459.4596996144952,19265.76288692448,41.008785459812835,473.4458050747492
China,Sector,Cultivation of crops nec,2025.9588984770223,76.34640158973761,44.95076609392766,326.5285214465311,28.218991594465688,13.799545382205762
China,Sector,Cultivation of oil seeds,570688.4287068489,3259.354523027211,17.05772937458381,2308.2020797570317,0.12219086202456841,1200.99378375786
China,Sector,Cultivation of paddy rice,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cultivation of plant-based fibers,180387.92263556828,1011.1451004133198,5.263134749495761,882.6308076361901,0.03770179241737672,370.56468527650185
China,Sector,"Cultivation of sugar cane, sugar beet",3598429.906572592,0.0,0.0,0.0017279306222116385,11.14545455019903,0.0013779746987247076
China,Sector,"Cultivation of vegetables, fruit, nuts",71349866.51269391,77522.09133938738,40205.29440957278,1049918.8930400573,119869.43900091761,72286.43321800383
China,Sector,Cultivation of wheat,23877889.57700416,11.25294966911154,0.0,9257.086855598121,11.378904346101598,30.296534277607986
China,Sector,Distribution and trade of electricity,12744.484770676754,0.0,0.0,0.0,0.0,0.0
China,Sector,Distribution of gaseous fuels through mains,9132.56759884504,0.0,0.0,0.0,0.0,0.0
China,Sector,Education (80),323783.25745987456,86.59635983357873,7.294239882569136,112.47215225290397,3.190325132684318,10.068200874250586
China,Sector,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-466405.77270765114,0.0,0.0,26.236841093745713,0.0,33.509793272229636
China,Sector,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",11606128.184138082,15.563919824200275,113.2014124346539,326375.7675018821,0.817527781089135,95.64658118003523
China,Sector,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Financial intermediation, except insurance and pension funding (65)",15207.769119812541,77.876930622171,5.1433571553238115,102.8716649062748,0.49568333853834623,8.71063573031002
China,Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",606571.4174295024,1042.2875414195462,88.16735496077163,79845.81108637774,361.04193609261966,1142.587145504808
China,Sector,"Forestry, logging and related service activities (02)",60853462.66609054,489190.55745857075,663711.894988728,1734584.5295607275,38099.05496873777,42199.79823434454
China,Sector,Health and social work (85),293649.2094133246,146.35437324272652,12.64195161092683,194.1117080368874,5.038566732457017,20.331805136936485
China,Sector,Hotels and restaurants (55),79471.84268257061,6010.2702301887775,412.4220527590586,7096.391134556976,491.412778384315,5394.162334338963
China,Sector,Hydrogen production with electrolysis,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Hydrogen production with steam reforming,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Incineration of waste: Food,227553.6145991216,0.0,0.0,13.089615496207182,0.11919783543018353,0.0
China,Sector,Incineration of waste: Metals and Inert materials,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Incineration of waste: Oil/Hazardous waste,1664.5135622057328,0.0,0.0,3.4501397088388526,0.031417972922464954,0.0
China,Sector,Incineration of waste: Paper,3654489.0356880277,0.0,0.0,9.130892849425528,0.08314855875727069,0.0
China,Sector,Incineration of waste: Plastic,15808680.797275594,786025.7413063156,4362.191755743751,962477.5039044657,1733.5845587001709,129050.4936320404
China,Sector,Incineration of waste: Textiles,123518.63343242054,0.0,0.0,2.8861384169042887,0.026282013566141096,0.0
China,Sector,Incineration of waste: Wood,5884.563176039584,0.0,0.0,3.606850768641412,0.032845029288012716,0.0
China,Sector,Inland water transport,430.3159091891876,3.154062844130789,0.19369190058678495,3.345354520044358,0.0970332217058387,0.3124559091524799
China,Sector,"Insurance and pension funding, except compulsory social security (66)",68114.93919549535,527.9760336492639,17.110303110197265,508.4231382549127,9.480284884011056,161.1082875553769
China,Sector,Landfill of waste: Food,28569894.091965217,0.0,0.0,0.0,0.0,0.0
China,Sector,Landfill of waste: Inert/metal/hazardous,119531870.312958,0.0,0.0,0.0,0.0,0.0
China,Sector,Landfill of waste: Paper,6183725.934627766,0.0,0.0,0.0,0.0,0.0
China,Sector,Landfill of waste: Plastic,1540204.5717882223,0.0,0.0,0.0,0.0,0.0
China,Sector,Landfill of waste: Textiles,2594967.3218149794,0.0,0.0,0.0,0.0,0.0
China,Sector,Landfill of waste: Wood,126387.81986286066,0.0,0.0,0.0,0.0,0.0
China,Sector,"Lead, zinc and tin production",78828.87310326747,1598.552089942136,1364243.5317687453,15453.410259375096,126.8251389930863,208.86550776711545
China,Sector,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,900744160.5274122,47634.02385021438,376710.43360242574,237011.7336179434,89.0178853197163,9159.125628763448
China,Sector,Manufacture of beverages,10093700.456410913,1777.3607788624824,1373.29739325765,91295.53195435068,862.9448317899685,4420.555047620418
China,Sector,"Manufacture of bricks, tiles and construction products, in baked clay",234556.8573736241,186.89275828921026,498.94719978639625,885.4564703700357,235.13351093633102,59.69767341103989
China,Sector,"Manufacture of cement, lime and plaster",5792218.744667285,10223.721027279431,10466.282650763773,42157.58342548519,19369.434183737965,3640.451797803172
China,Sector,Manufacture of ceramic goods,166668.86278101895,32334.958036563057,927.934251383384,57626.047882711624,5569.586319776779,53593.29533794763
China,Sector,Manufacture of coke oven products,35273772.56146503,134259.799686673,0.0,468928.0955640479,1112.5996976797935,498.7209490187297
China,Sector,Manufacture of electrical machinery and apparatus n.e.c. (31),62255340.523799315,1294500.956622812,469993.1743726424,7123895.763842288,3291.309431746129,2218414.097464287
China,Sector,"Manufacture of fabricated metal products, except machinery and equipment (28)",5918221.591634637,872201.7536724842,193121.16620900077,2980873.975297995,401958.004045792,602903.5751586842
China,Sector,Manufacture of fish products,1796937.712097923,0.0,0.0,0.0,0.0,0.0
China,Sector,Manufacture of furniture; manufacturing n.e.c. (36),20714128.583727308,2519521.460817912,163087.66166164202,5846377.308001303,41845.28259518419,5983990.381262949
China,Sector,Manufacture of gas;,4705057.378270214,0.0,0.0,0.0,0.0,0.0
China,Sector,Manufacture of glass and glass products,110655.54336239619,818.105046504368,954.2101064662828,10350.182858006232,423.3394042323097,11569.626271455798
China,Sector,Manufacture of machinery and equipment n.e.c. (29),109565605.94813274,4559638.891497438,1501378.365658798,17275533.065501023,1240513.8964855191,7576933.838552923
