Region,,,China,EU27,India,RoW,Russia,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption,Final consumption,Final consumption,Final consumption,Final consumption,Final consumption
Region,Level,Item,,,,,,
China,Sector,Activities auxiliary to financial intermediation (67),14894.699265639989,11.639475080049786,6.429324085064518,29.73892275296433,0.8803811753134858,5.920675380648227
China,Sector,Activities of membership organisation n.e.c. (91),74264.09210609204,23.677869580060655,0.8278613835419228,32.097231704935055,0.2209662365726274,3.2923798775297897
China,Sector,Air transport (62),8454.404720031609,877.7246750183094,73.90785170103295,1063.2893633670883,132.27427044423007,478.07755315352176
China,Sector,Aluminium production,62996.88122512586,28587.98954960544,8860.023016285608,10761.03873557498,310.453340320118,568.8816090528368
China,Sector,Animal products nec,247490.06669536876,8940.418062775478,2042.0215905498262,11428.056350844568,434.8414123134009,2232.863698868203
China,Sector,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Biogasification of sewage slugde, incl. land application",4974.900610638318,0.0022378474969698254,0.0,5.022711631724099,0.04540191435560915,7.896243216644432e-05
China,Sector,Casting of metals,28833.65836595737,0.0,0.0,0.0,0.0,0.0
China,Sector,Cattle farming,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Chemicals nec,17420999.44329907,6436124.981842165,1597410.584377386,6804816.015661964,237391.66156573314,2707547.2219593646
China,Sector,"Collection, purification and distribution of water (41)",10188.424496948337,0.0,0.0,0.0,0.0,0.0
China,Sector,"Composting of food waste, incl. land application",312043.9122015088,0.09283311622106002,0.0,1.5606518261745093,0.0002586756414736291,0.0032756158101642026
China,Sector,"Composting of paper and wood, incl. land application",29236.69016258499,0.043821171091910034,0.0,0.736693902709221,0.00012210588207841526,0.0015462296935713313
China,Sector,Computer and related activities (72),72109.79083173143,22.867321253302606,26.66623363428665,596.5204659614021,0.0,141.3522005051477
China,Sector,Construction (45),1319172.1243883306,1532.6961025165015,45.23932875874088,4552.80197087557,418.25124398266195,242.16878605391562
China,Sector,Copper production,13177.433839839696,140.78006056171492,859.4978290906537,759.4720550495393,57.81334710143822,38.81341258230554
China,Sector,Cultivation of cereal grains nec,9343914.410701653,1460.7320071180936,459.45969961449526,19265.762886924487,41.00878545981284,473.44580507474933
China,Sector,Cultivation of crops nec,2025.958898477026,76.34640158973775,44.95076609392775,326.52852144653167,28.218991594465738,13.799545382205787
China,Sector,Cultivation of oil seeds,570688.4287068484,3259.3545230272084,17.057729374583797,2308.20207975703,0.1221908620245683,1200.9937837578589
China,Sector,Cultivation of paddy rice,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cultivation of plant-based fibers,180387.92263556813,1011.145100413319,5.263134749495757,882.6308076361893,0.03770179241737669,370.56468527650156
China,Sector,"Cultivation of sugar cane, sugar beet",3598429.906572584,0.0,0.0,0.0017279306222116346,11.145454550199005,0.0013779746987247045
China,Sector,"Cultivation of vegetables, fruit, nuts",71349866.51269381,77522.09133938726,40205.29440957272,1049918.8930400559,119869.43900091744,72286.43321800373
China,Sector,Cultivation of wheat,23877889.57700405,11.252949669111489,0.0,9257.08685559808,11.378904346101546,30.296534277607847
China,Sector,Distribution and trade of electricity,12744.484770674158,0.0,0.0,0.0,0.0,0.0
China,Sector,Distribution of gaseous fuels through mains,9132.567598810838,0.0,0.0,0.0,0.0,0.0
China,Sector,Education (80),323783.2574599054,86.59635983358697,7.294239882569831,112.47215225291468,3.1903251326846216,10.068200874251545
China,Sector,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-466405.77270765154,0.0,0.0,26.23684109374574,0.0,33.509793272229665
China,Sector,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",11606128.18413809,15.563919824200283,113.20141243465396,326375.7675018823,0.8175277810891355,95.64658118003528
China,Sector,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Financial intermediation, except insurance and pension funding (65)",15207.769119812781,77.87693062217222,5.143357155323893,102.87166490627642,0.49568333853835406,8.710635730310159
China,Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",606571.4174294864,1042.287541419519,88.16735496076932,79845.81108637564,361.0419360926102,1142.587145504778
China,Sector,"Forestry, logging and related service activities (02)",60853462.66609066,489190.5574585717,663711.8949887293,1734584.5295607308,38099.054968737844,42199.79823434462
China,Sector,Health and social work (85),293649.20941323723,146.35437324268298,12.641951610923067,194.1117080368296,5.038566732455518,20.331805136930438
China,Sector,Hotels and restaurants (55),79471.84268257453,6010.270230189074,412.42205275907895,7096.391134557325,491.4127783843392,5394.162334339228
China,Sector,Hydrogen production with electrolysis,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Hydrogen production with steam reforming,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Incineration of waste: Food,227553.6145991207,0.0,0.0,13.089615496207266,0.1191978354301843,0.0
China,Sector,Incineration of waste: Metals and Inert materials,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Incineration of waste: Oil/Hazardous waste,1664.5135622057132,0.0,0.0,3.4501397088388748,0.031417972922465155,0.0
China,Sector,Incineration of waste: Paper,3654489.0356880263,0.0,0.0,9.130892849425589,0.08314855875727123,0.0
China,Sector,Incineration of waste: Plastic,15808680.797275582,786025.7413063152,4362.191755743748,962477.503904465,1733.5845587001697,129050.4936320403
China,Sector,Incineration of waste: Textiles,123518.63343242192,0.0,0.0,2.8861384169043074,0.026282013566141266,0.0
China,Sector,Incineration of waste: Wood,5884.563176039536,0.0,0.0,3.606850768641436,0.03284502928801294,0.0
China,Sector,Inland water transport,430.31590919388026,3.154062844165184,0.19369190058889718,3.3453545200808397,0.09703322170689684,0.3124559091558872
China,Sector,"Insurance and pension funding, except compulsory social security (66)",68114.93919550368,527.9760336493285,17.11030311019936,508.423138254975,9.480284884012217,161.10828755539666
China,Sector,Landfill of waste: Food,28569894.091965254,0.0,0.0,0.0,0.0,0.0
China,Sector,Landfill of waste: Inert/metal/hazardous,119531870.31295793,0.0,0.0,0.0,0.0,0.0
China,Sector,Landfill of waste: Paper,6183725.934627763,0.0,0.0,0.0,0.0,0.0
China,Sector,Landfill of waste: Plastic,1540204.571788226,0.0,0.0,0.0,0.0,0.0
China,Sector,Landfill of waste: Textiles,2594967.3218149887,0.0,0.0,0.0,0.0,0.0
China,Sector,Landfill of waste: Wood,126387.81986286108,0.0,0.0,0.0,0.0,0.0
China,Sector,"Lead, zinc and tin production",78828.87310326731,1598.5520899421329,1364243.5317687425,15453.410259375065,126.82513899308604,208.86550776711502
China,Sector,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,902289935.8649628,68296.40688737933,540117.4826828444,339789.57432932453,127.34376125085939,13132.112723494747
China,Sector,Manufacture of beverages,10093700.456410872,1777.3607788624752,1373.2973932576442,91295.5319543503,862.9448317899648,4420.5550476204
China,Sector,"Manufacture of bricks, tiles and construction products, in baked clay",234556.8573736235,186.89275828920978,498.9471997863949,885.4564703700335,235.1335109363304,59.69767341103973
China,Sector,"Manufacture of cement, lime and plaster",5792218.744667271,10223.721027279407,10466.282650763747,42157.58342548509,19369.43418373792,3640.451797803164
China,Sector,Manufacture of ceramic goods,166668.8627810197,32334.958036563206,927.9342513833883,57626.04788271189,5569.586319776806,53593.29533794788
China,Sector,Manufacture of coke oven products,35273772.56146517,134259.79968667286,0.0,468928.09556404734,1112.5996976797921,498.72094901872913
China,Sector,Manufacture of electrical machinery and apparatus n.e.c. (31),62255340.52379939,1294500.9566228134,469993.17437264294,7123895.763842297,3291.3094317461328,2218414.0974642895
China,Sector,"Manufacture of fabricated metal products, except machinery and equipment (28)",5918221.59163464,872201.7536724845,193121.16620900086,2980873.9752979963,401958.00404579216,602903.5751586844
China,Sector,Manufacture of fish products,1796937.71209796,0.0,0.0,0.0,0.0,0.0
China,Sector,Manufacture of furniture; manufacturing n.e.c. (36),20714128.583727244,2519521.460817904,163087.6616616415,5846377.308001285,41845.28259518406,5983990.38126293
China,Sector,Manufacture of gas;,4705057.378270172,0.0,0.0,0.0,0.0,0.0
China,Sector,Manufacture of glass and glass products,110655.54336239577,818.105046504365,954.2101064662792,10350.182858006194,423.3394042323081,11569.626271455754
China,Sector,Manufacture of machinery and equipment n.e.c. (29),109565605.94813266,4559638.891497435,1501378.365658797,17275533.065501012,1240513.8964855182,7576933.838552917
